dataset,source_file,source_directory,source_officielle,version,sha256,nombre_lignes,nombre_colonnes,unite_observation,labels,classes,date_fichier,usage_experimental,remarque
CICIDS2017,data/raw/Datasets/MachineLearningCSV/MachineLearningCVE/Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,data/raw/Datasets/MachineLearningCSV/MachineLearningCVE,INFORMATION À VÉRIFIER.,CICIDS2017,6ff1580f5f81c0ae28a26f7631721018577f5f7c5e0feac28b795fcfe7b411ee,225745,79,network flow,Label,"[""BENIGN"", ""DDoS""]",2018-06-07T12:37:00+00:00,PHASE 1; PHASE 2,Provenance locale gelée; URL et checksum officiels non présents dans le dépôt.
CICIDS2017,data/raw/Datasets/MachineLearningCSV/MachineLearningCVE/Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,data/raw/Datasets/MachineLearningCSV/MachineLearningCVE,INFORMATION À VÉRIFIER.,CICIDS2017,ca1824c51bfbb7b3c72290a11be04366ba8815878c6a1cc5c44cb1cee269e99b,286467,79,network flow,Label,"[""BENIGN"", ""PortScan""]",2018-06-07T12:42:28+00:00,PHASE 1; PHASE 2,Provenance locale gelée; URL et checksum officiels non présents dans le dépôt.
CICIDS2017,data/raw/Datasets/MachineLearningCSV/MachineLearningCVE/Friday-WorkingHours-Morning.pcap_ISCX.csv,data/raw/Datasets/MachineLearningCSV/MachineLearningCVE,INFORMATION À VÉRIFIER.,CICIDS2017,53a41c24d570ea83b7ac55b2e94df94e7a8216aeb80a2af0246b6bc8bb543000,191033,79,network flow,Label,"[""BENIGN"", ""Bot""]",2018-06-07T12:51:46+00:00,PHASE 1; PHASE 2,Provenance locale gelée; URL et checksum officiels non présents dans le dépôt.
CICIDS2017,data/raw/Datasets/MachineLearningCSV/MachineLearningCVE/Monday-WorkingHours.pcap_ISCX.csv,data/raw/Datasets/MachineLearningCSV/MachineLearningCVE,INFORMATION À VÉRIFIER.,CICIDS2017,852c4beb34eda186f32561fa79df7a0747e92e1a6535b01270820dd9ffe17f34,529918,79,network flow,Label,"[""BENIGN""]",2018-06-07T13:13:44+00:00,PHASE 1; PHASE 2,Provenance locale gelée; URL et checksum officiels non présents dans le dépôt.
CICIDS2017,data/raw/Datasets/MachineLearningCSV/MachineLearningCVE/Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,data/raw/Datasets/MachineLearningCSV/MachineLearningCVE,INFORMATION À VÉRIFIER.,CICIDS2017,6bcda3857c2504676034e3ea57762d38393cc734cb377a726bd5cb153961b1b5,288602,79,network flow,Label,"[""BENIGN"", ""Infiltration""]",2018-06-07T13:19:24+00:00,PHASE 1; PHASE 2,Provenance locale gelée; URL et checksum officiels non présents dans le dépôt.
CICIDS2017,data/raw/Datasets/MachineLearningCSV/MachineLearningCVE/Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,data/raw/Datasets/MachineLearningCSV/MachineLearningCVE,INFORMATION À VÉRIFIER.,CICIDS2017,d67066211fb1689c78406f1506f4c44704ecb92088353d5c96d96d6474eb819d,170366,79,network flow,Label,"[""BENIGN"", ""Web Attack � Brute Force"", ""Web Attack � Sql Injection"", ""Web Attack � XSS""]",2018-06-07T13:22:46+00:00,PHASE 1; PHASE 2,Provenance locale gelée; URL et checksum officiels non présents dans le dépôt.
CICIDS2017,data/raw/Datasets/MachineLearningCSV/MachineLearningCVE/Tuesday-WorkingHours.pcap_ISCX.csv,data/raw/Datasets/MachineLearningCSV/MachineLearningCVE,INFORMATION À VÉRIFIER.,CICIDS2017,52b8692ae8c7d2ed04671fe2b98335693c0a92c7ab157d8c8b534d6523080851,445909,79,network flow,Label,"[""BENIGN"", ""FTP-Patator"", ""SSH-Patator""]",2018-06-07T13:31:12+00:00,PHASE 1; PHASE 2,Provenance locale gelée; URL et checksum officiels non présents dans le dépôt.
CICIDS2017,data/raw/Datasets/MachineLearningCSV/MachineLearningCVE/Wednesday-workingHours.pcap_ISCX.csv,data/raw/Datasets/MachineLearningCSV/MachineLearningCVE,INFORMATION À VÉRIFIER.,CICIDS2017,893c27dc968bf7a8adef1689f90be55ca4a4dc3088fb63d6ff247ac56856df2a,692703,79,network flow,Label,"[""BENIGN"", ""DoS GoldenEye"", ""DoS Hulk"", ""DoS Slowhttptest"", ""DoS slowloris"", ""Heartbleed""]",2018-06-07T15:26:40+00:00,PHASE 1; PHASE 2,Provenance locale gelée; URL et checksum officiels non présents dans le dépôt.
HDFS,data/raw/Datasets/HDFS_1/anomaly_label.csv,data/raw/Datasets/HDFS_1,INFORMATION À VÉRIFIER.,HDFS_1,1c711ed6c8848fc3243fb4d092f172f31d128c8a6ec7f26ebba72ab931885ed8,575061,2,block label,Label,"[""Anomaly"", ""Normal""]",2018-01-20T07:44:31+00:00,PHASE 3,Provenance locale gelée; URL et checksum officiels non présents dans le dépôt.
HDFS,data/raw/Datasets/HDFS_1/HDFS.log,data/raw/Datasets/HDFS_1,INFORMATION À VÉRIFIER.,HDFS_1,0783096174d7832c618337f9609e06e04abd86ddd7089b3c12b407e63bfebc52,11175629,1,raw log line,BlockId linked through anomaly_label.csv,"[""Anomaly"", ""Normal""]",2015-11-17T08:23:34+00:00,PHASE 3,Provenance locale gelée; URL et checksum officiels non présents dans le dépôt.
