source_name,category,public_dataset_name,institution,official_reference,publication_year,doi,official_download_source,usage_or_license,local_file,local_sha256,public_sha256,exact_hash_match,semantic_match,number_of_records,number_of_columns,format,collection_environment,operating_system,collection_method,collection_period,anonymization,preprocessing,experimental_usage,traceability_status,evidence,notes
CICIDS2017,A DATASET PUBLIC,CIC-IDS2017,Canadian Institute for Cybersecurity - University of New Brunswick,"Sharafaldin, Lashkari & Ghorbani, Toward Generating a New Intrusion Detection Dataset and Intrusion Traffic Characterization",2018,10.5220/0006639801080116,https://www.unb.ca/cic/datasets/ids-2017.html,"Public for research; cite related paper","8 CSV files under data/raw/Datasets/MachineLearningCSV/MachineLearningCVE","See dataset_manifest_final.csv","",false,false,"see manifest",79,CSV,official capture described by producer,not applicable,local frozen copy,3-7 July 2017,not applicable,"CICFlowMeter CSV; local archive extraction","PHASE 1; PHASE 2",PUBLIC_LOCAL_COPY_STRONGLY_MATCHED,"Official page identifies CIC-IDS2017 and MachineLearningCSV.zip; local archive contains the eight canonical files with matching names, sizes, columns and hashes recorded in manifest.","Archive provenance is not declared bit-for-bit identical to the official download."
HDFS.log,A DATASET PUBLIC,HDFS_v1,Loghub/LogPAI; original HDFS study,"Xu et al., Detecting Large-Scale System Problems by Mining Console Logs",2009,10.1145/1629575.1629587,https://zenodo.org/records/8196385,"Loghub: free research/academic use; cite repository/paper",data/raw/Datasets/HDFS_1/HDFS.log,0783096174d7832c618337f9609e06e04abd86ddd7089b3c12b407e63bfebc52,0783096174d7832c618337f9609e06e04abd86ddd7089b3c12b407e63bfebc52,true,false,11175629,1,raw text log,private-cloud benchmark described by source,not applicable,public archive extraction,38.7 hours,not applicable,none,PHASE 3,PUBLIC_LOCAL_COPY_EXACT_MATCH,"HDFS_v1.zip MD5 76a24b4d9a6164d543fb275f89773260; extracted file SHA-256 equals local file.","Truth is attached to block_id traces via anomaly_label.csv."
anomaly_label.csv,A DATASET PUBLIC,HDFS_v1,Loghub/LogPAI; original HDFS study,"Xu et al.; Zhu et al. Loghub",2009/2023,10.1145/1629575.1629587; 10.1109/ISSRE59848.2023.00071,https://zenodo.org/records/8196385,"Loghub: free research/academic use; cite repository/paper",data/raw/Datasets/HDFS_1/anomaly_label.csv,1c711ed6c8848fc3243fb4d092f172f31d128c8a6ec7f26ebba72ab931885ed8,1c711ed6c8848fc3243fb4d092f172f31d128c8a6ec7f26ebba72ab931885ed8,true,false,575061,2,CSV labels,public archive,not applicable,public archive extraction,38.7 hours,not applicable,none,PHASE 3,PUBLIC_LOCAL_COPY_EXACT_MATCH,"Extracted from the same checksum-verified HDFS_v1.zip; SHA-256 equal.","Labels are block/trace truth, not independently authored event-line truth."
BGL.log,A DATASET PUBLIC,BGL,Loghub/LogPAI; Lawrence Livermore National Laboratory,"Oliner & Stearley, What Supercomputers Say: A Study of Five System Logs",2007,10.1109/DSN.2007.103,https://zenodo.org/records/8196385,"Loghub: free research/academic use; cite repository/paper",data/raw/Datasets/BGL/BGL.log,666130b15ef44eb32fd02bd053e6c6e007c37696b5e7e8b9d8e45b729876a5d2,"",false,false,4747963,1,raw text log,Blue Gene/L supercomputer,not applicable,local frozen copy,214.7 days,not applicable,none,PHASE 3,PUBLIC_LOCAL_COPY_MATCH_NOT_PROVEN,"Official Loghub page identifies BGL and 4,747,963 lines; no completed public-file hash comparison in this phase.","Do not call the local copy bit-identical."
Linux_2k.log,A DATASET PUBLIC,Linux (Loghub),Loghub/LogPAI,"Zhu et al., Loghub: A Large Collection of System Log Datasets for AI-driven Log Analytics",2023,10.1109/ISSRE59848.2023.00071,https://raw.githubusercontent.com/logpai/loghub/master/Linux/Linux_2k.log,"Loghub: free research/academic use; cite repository/paper",data/raw/Datasets/Linux_2k.log,b3e20bc1afe732ab1bf3ed1de4bf9c809e4194e02f7dea911d918e5342e8e173,b3e20bc1afe732ab1bf3ed1de4bf9c809e4194e02f7dea911d918e5342e8e173,true,false,2000,1,raw text log,server /var/log/messages described by Loghub,not applicable,public raw-file download,more than 260 days,not applicable,none,PHASE 5,PUBLIC_LOCAL_COPY_EXACT_MATCH,"Raw official Loghub file; SHA-256, size and 2,000 lines equal.",""
Application.evtx,B COLLECTE LOCALE SUR UN PC/SYSTÈME,,,,,,,data/raw/windows_events/Application.evtx,c67d5cde2677a6399298bf3488855e0a15cd4542f209cd85178c29b804280f26,,,false,false,,,EVTX,local Windows test workstation,Windows,Windows Event Log export via wevtutil,period not fixed,not documented,EVTX retained for adapter validation,PHASE 5; PHASE 6,LOCAL_COLLECTION_DOCUMENTED,"Repository path, export command and validation configuration.","Describe neutrally; omit personal host identifiers."
06-20-October.csv,C EXPORT D’UN OUTIL LOCAL/SYSTÈME,,,,,,,data/raw/Datasets/06-20-October.csv,fd20eb2c552d7090dc3eede662f0185a256ddb1253107ef9c045fb398d577e29,,,false,false,4953,136,CSV,Wazuh/Elastic local export,not applicable,local export,October period encoded by filename,not documented,CSV export retained,PHASE 5; PHASE 6,LOCAL_EXPORT_DOCUMENTED,"Repository path and multiformat protocol identify Wazuh/Elastic export.","No public-dataset attribution."
linux_auth_logs_labeled.csv,E ORIGINE INDÉTERMINÉE,,,,,,,data/raw/Datasets/linux_auth_logs_labeled.csv,fa5f0a3e9532c16320a290fa1e626b632318a577b4bf00025c2063540144d38f,,,false,false,500000,11,CSV,repository-local corpus,not established,local file retained,not established,not established,labelled CSV used by protocols,PHASE 5; PHASE 6,PARTIALLY_DOCUMENTED,"Path, size, schema and experimental use are established; acquisition provenance is not established.","Do not call it a PC capture or public dataset."
apache_access.log,D DONNÉE SYNTHÉTIQUE / FIXTURE,,,,,,,data/processed/robustness_scalability_inputs/apache_access.log,795ff201d7a354d429de197f97dce1ee70701296a85cde137b0381dc11a9ecd4,,,false,false,1,1,text log,repository fixture,not applicable,controlled one-line fixture,2026 fixture timestamp,not applicable,none,PHASE 5; PHASE 6,SYNTHETIC_DOCUMENTED,"Validation configuration and fixture file contain one controlled line.","Not a real incident or SOC validation."
phase8 correlation events,D DONNÉE SYNTHÉTIQUE / FIXTURE,,,,,,,data/processed/final_experiments_2026/phase_8/correlation_synthetic_input.csv,,,false,false,19,,CSV,controlled repository scenario,not applicable,synthetic event generation,controlled protocol,not applicable,separate truth file,PHASE 8,SYNTHETIC_DOCUMENTED,"correlation_synthetic_protocol.json and input/truth artifacts.","Not production or observed incidents."
