experiment_id,phase,run_id,dataset,scenario,seed,model,status,started_at,completed_at,command,config_path,raw_result_path,summary_path,figure_path,error_path,git_commit,notes

e1_holdout_ddos_seed42,1,e1_holdout_ddos_seed42,CICIDS2017,DDoS,42,RandomForest,PLANNED,,,scripts/run_final_experiments.py --resume --phase 1 --experiment cicids_holdout_multiseed --scenario DDoS,docs/memoire/final_experiments_2026/configs/cicids_final_protocol.json,data/processed/final_experiments_2026/phase_1/e1_holdout_ddos_seed42.json,,,,4db70f0b86f62e0d94aa7fe3a1e4f174a5e1ff69,
e1_holdout_ddos_seed42,1,e1_holdout_ddos_seed42,CICIDS2017,DDoS,42,RandomForest,RUNNING,2026-09-07T20:20:07.100488+00:00,,scripts/run_final_experiments.py --resume --phase 1 --experiment cicids_holdout_multiseed --scenario DDoS,docs/memoire/final_experiments_2026/configs/cicids_final_protocol.json,data/processed/final_experiments_2026/phase_1/e1_holdout_ddos_seed42.json,,,,4db70f0b86f62e0d94aa7fe3a1e4f174a5e1ff69,
e1_holdout_ddos_seed42,1,e1_holdout_ddos_seed42,CICIDS2017,DDoS,42,RandomForest,COMPLETED,2026-09-07T20:20:07.100488+00:00,2026-09-07T20:20:15.482633+00:00,scripts/run_final_experiments.py --resume --phase 1 --experiment cicids_holdout_multiseed --scenario DDoS,docs/memoire/final_experiments_2026/configs/cicids_final_protocol.json,data/processed/final_experiments_2026/phase_1/e1_holdout_ddos_seed42.json,,,,4db70f0b86f62e0d94aa7fe3a1e4f174a5e1ff69,
e1_holdout_ddos_seed43,1,e1_holdout_ddos_seed43,CICIDS2017,DDoS,43,RandomForest,PLANNED,,,scripts/run_final_experiments.py --resume --phase 1 --experiment cicids_holdout_multiseed --scenario DDoS,docs/memoire/final_experiments_2026/configs/cicids_final_protocol.json,data/processed/final_experiments_2026/phase_1/e1_holdout_ddos_seed43.json,,,,4db70f0b86f62e0d94aa7fe3a1e4f174a5e1ff69,
e1_holdout_ddos_seed43,1,e1_holdout_ddos_seed43,CICIDS2017,DDoS,43,RandomForest,RUNNING,2026-09-07T20:20:45.695842+00:00,,scripts/run_final_experiments.py --resume --phase 1 --experiment cicids_holdout_multiseed --scenario DDoS,docs/memoire/final_experiments_2026/configs/cicids_final_protocol.json,data/processed/final_experiments_2026/phase_1/e1_holdout_ddos_seed43.json,,,,4db70f0b86f62e0d94aa7fe3a1e4f174a5e1ff69,
e1_holdout_ddos_seed43,1,e1_holdout_ddos_seed43,CICIDS2017,DDoS,43,RandomForest,COMPLETED,2026-09-07T20:20:45.695842+00:00,2026-09-07T20:20:48.113523+00:00,scripts/run_final_experiments.py --resume --phase 1 --experiment cicids_holdout_multiseed --scenario DDoS,docs/memoire/final_experiments_2026/configs/cicids_final_protocol.json,data/processed/final_experiments_2026/phase_1/e1_holdout_ddos_seed43.json,,,,4db70f0b86f62e0d94aa7fe3a1e4f174a5e1ff69,
e1_holdout_ddos_seed44,1,e1_holdout_ddos_seed44,CICIDS2017,DDoS,44,RandomForest,PLANNED,,,scripts/run_final_experiments.py --resume --phase 1 --experiment cicids_holdout_multiseed --scenario DDoS,docs/memoire/final_experiments_2026/configs/cicids_final_protocol.json,data/processed/final_experiments_2026/phase_1/e1_holdout_ddos_seed44.json,,,,4db70f0b86f62e0d94aa7fe3a1e4f174a5e1ff69,
e1_holdout_ddos_seed44,1,e1_holdout_ddos_seed44,CICIDS2017,DDoS,44,RandomForest,RUNNING,2026-09-07T20:21:07.325097+00:00,,scripts/run_final_experiments.py --resume --phase 1 --experiment cicids_holdout_multiseed --scenario DDoS,docs/memoire/final_experiments_2026/configs/cicids_final_protocol.json,data/processed/final_experiments_2026/phase_1/e1_holdout_ddos_seed44.json,,,,4db70f0b86f62e0d94aa7fe3a1e4f174a5e1ff69,
e1_holdout_ddos_seed44,1,e1_holdout_ddos_seed44,CICIDS2017,DDoS,44,RandomForest,COMPLETED,2026-09-07T20:21:07.325097+00:00,2026-09-07T20:21:10.532397+00:00,scripts/run_final_experiments.py --resume --phase 1 --experiment cicids_holdout_multiseed --scenario DDoS,docs/memoire/final_experiments_2026/configs/cicids_final_protocol.json,data/processed/final_experiments_2026/phase_1/e1_holdout_ddos_seed44.json,,,,4db70f0b86f62e0d94aa7fe3a1e4f174a5e1ff69,
e1_holdout_ddos_seed45,1,e1_holdout_ddos_seed45,CICIDS2017,DDoS,45,RandomForest,PLANNED,,,scripts/run_final_experiments.py --resume --phase 1 --experiment cicids_holdout_multiseed --scenario DDoS,docs/memoire/final_experiments_2026/configs/cicids_final_protocol.json,data/processed/final_experiments_2026/phase_1/e1_holdout_ddos_seed45.json,,,,d3f13fd7a7fa9b8ee71f2326d2fbc976a9214d3c,
e1_holdout_ddos_seed45,1,e1_holdout_ddos_seed45,CICIDS2017,DDoS,45,RandomForest,RUNNING,2026-09-07T20:21:31.031983+00:00,,scripts/run_final_experiments.py --resume --phase 1 --experiment cicids_holdout_multiseed --scenario DDoS,docs/memoire/final_experiments_2026/configs/cicids_final_protocol.json,data/processed/final_experiments_2026/phase_1/e1_holdout_ddos_seed45.json,,,,d3f13fd7a7fa9b8ee71f2326d2fbc976a9214d3c,
e1_holdout_ddos_seed45,1,e1_holdout_ddos_seed45,CICIDS2017,DDoS,45,RandomForest,COMPLETED,2026-09-07T20:21:31.031983+00:00,2026-09-07T20:21:35.800886+00:00,scripts/run_final_experiments.py --resume --phase 1 --experiment cicids_holdout_multiseed --scenario DDoS,docs/memoire/final_experiments_2026/configs/cicids_final_protocol.json,data/processed/final_experiments_2026/phase_1/e1_holdout_ddos_seed45.json,,,,d3f13fd7a7fa9b8ee71f2326d2fbc976a9214d3c,
e1_holdout_ddos_seed46,1,e1_holdout_ddos_seed46,CICIDS2017,DDoS,46,RandomForest,PLANNED,,,scripts/run_final_experiments.py --resume --phase 1 --experiment cicids_holdout_multiseed --scenario DDoS,docs/memoire/final_experiments_2026/configs/cicids_final_protocol.json,data/processed/final_experiments_2026/phase_1/e1_holdout_ddos_seed46.json,,,,d3f13fd7a7fa9b8ee71f2326d2fbc976a9214d3c,
