dataset,model,seed,split,heldout_file,feature_count,train_rows,test_rows,train_positive_rate,test_positive_rate,tn,fp,fn,tp,precision,recall,f1,accuracy,pr_auc,mcc,duration_sec,notes
CICIDS2017,RandomForest,42,file_or_scenario_holdout,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,78,16000,8000,0.5,0.5,4000,0,1447,2553,1.0,0.63825,0.7791851060582939,0.819125,0.9535319698241957,0.684615487754307,1.640548299998045,"test_labels={'DDoS': 61194, 'BENIGN': 38806}"
CICIDS2017,ExtraTrees,42,file_or_scenario_holdout,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,78,16000,8000,0.5,0.5,4000,0,1792,2208,1.0,0.552,0.711340206185567,0.776,0.9518273043020475,0.6174264892384029,1.1332258000038564,"test_labels={'DDoS': 61194, 'BENIGN': 38806}"
CICIDS2017,HistGradientBoosting,42,file_or_scenario_holdout,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,78,16000,8000,0.5,0.5,4000,0,3964,36,1.0,0.009,0.017839444995044598,0.5045,0.8934236578072647,0.0672334852355292,5.071289800107479,"test_labels={'DDoS': 61194, 'BENIGN': 38806}"
CICIDS2017,LogisticRegression,42,file_or_scenario_holdout,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,78,16000,8000,0.5,0.5,3980,20,1737,2263,0.991239597021463,0.56575,0.7203565175871399,0.780375,0.8117877900565182,0.6208579144864458,0.5985106001608074,"test_labels={'DDoS': 61194, 'BENIGN': 38806}"
CICIDS2017,SGDLogistic,42,file_or_scenario_holdout,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,78,16000,8000,0.5,0.5,3979,21,1765,2235,0.9906914893617021,0.55875,0.7145140664961637,0.77675,0.8602619807254536,0.6150364476842706,0.47567939991131425,"test_labels={'DDoS': 61194, 'BENIGN': 38806}"
CICIDS2017,RandomForest,43,file_or_scenario_holdout,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,78,16000,8000,0.5,0.5,3999,1,3980,20,0.9523809523809523,0.005,0.009947774185525988,0.502375,0.9158574655883294,0.046416214779103605,1.7408488001674414,"test_labels={'BENIGN': 87512, 'PortScan': 12488}"
CICIDS2017,ExtraTrees,43,file_or_scenario_holdout,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,78,16000,8000,0.5,0.5,3999,1,3990,10,0.9090909090909091,0.0025,0.004986287708800797,0.501125,0.8689326356631484,0.030359873403639832,1.1525963998865336,"test_labels={'BENIGN': 87512, 'PortScan': 12488}"
CICIDS2017,HistGradientBoosting,43,file_or_scenario_holdout,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,78,16000,8000,0.5,0.5,3998,2,4000,0,0.0,0.0,0.0,0.49975,0.7835659433579155,-0.015813365095036135,0.9152247998863459,"test_labels={'BENIGN': 87512, 'PortScan': 12488}"
CICIDS2017,LogisticRegression,43,file_or_scenario_holdout,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,78,16000,8000,0.5,0.5,3978,22,3999,1,0.043478260869565216,0.00025,0.0004971414367387521,0.497375,0.527866111321504,-0.049027029515372425,0.29159239982254803,"test_labels={'BENIGN': 87512, 'PortScan': 12488}"
CICIDS2017,SGDLogistic,43,file_or_scenario_holdout,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,78,16000,8000,0.5,0.5,3980,20,3993,7,0.25925925925925924,0.00175,0.003476533399553017,0.498375,0.7651506098126885,-0.028018868190863987,0.27641170006245375,"test_labels={'BENIGN': 87512, 'PortScan': 12488}"
