cycle;status;run_id;workflow_sec;input_rows;anomalies_rows;incidents_rows;agent;cpu_equiv_core_percent;cpu_machine_percent;memory_mb;logical_cpus;error
1;ok;resource-campaign-1780489712-1;5.1172;8537;8537;0;API / Orchestrateur;80.1;10.01;221.2;8;
1;ok;resource-campaign-1780489712-1;5.1172;8537;8537;0;Processus Logminer;10.5;1.31;655.39;8;
2;ok;resource-campaign-1780489726-2;16.1174;8537;8537;0;API / Orchestrateur;98.3;12.29;195.56;8;
2;ok;resource-campaign-1780489726-2;16.1174;8537;8537;0;Processus Logminer;1.0;0.12;653.31;8;
3;ok;resource-campaign-1780489754-3;5.5247;8537;8537;0;API / Orchestrateur;51.0;6.38;165.49;8;
3;ok;resource-campaign-1780489754-3;5.5247;8537;8537;0;Processus Logminer;2.4;0.3;653.97;8;
4;ok;resource-campaign-1780489768-4;3.6375;8537;8537;0;API / Orchestrateur;38.6;4.83;167.47;8;
4;ok;resource-campaign-1780489768-4;3.6375;8537;8537;0;Processus Logminer;0.6;0.07;620.66;8;
5;ok;resource-campaign-1780489781-5;10.7903;8537;8537;0;API / Orchestrateur;69.7;8.71;176.08;8;
5;ok;resource-campaign-1780489781-5;10.7903;8537;8537;0;Processus Logminer;1.3;0.16;581.7;8;
6;ok;resource-campaign-1780489801-6;11.5793;8537;8537;0;API / Orchestrateur;85.5;10.69;196.6;8;
6;ok;resource-campaign-1780489801-6;11.5793;8537;8537;0;Processus Logminer;0.0;0.0;583.09;8;
7;ok;resource-campaign-1780489822-7;7.8617;8537;8537;0;API / Orchestrateur;104.0;13.0;192.49;8;
7;ok;resource-campaign-1780489822-7;7.8617;8537;8537;0;Processus Logminer;0.3;0.04;454.24;8;
8;ok;resource-campaign-1780489836-8;17.1083;8537;8537;0;API / Orchestrateur;32.0;4.0;191.18;8;
8;ok;resource-campaign-1780489836-8;17.1083;8537;8537;0;Processus Logminer;0.2;0.03;456.4;8;
9;ok;resource-campaign-1780489862-9;12.847;8537;8537;0;API / Orchestrateur;62.9;7.86;195.97;8;
9;ok;resource-campaign-1780489862-9;12.847;8537;8537;0;Processus Logminer;0.0;0.0;444.35;8;
10;ok;resource-campaign-1780489883-10;3.7224;8537;8537;0;API / Orchestrateur;41.8;5.22;199.47;8;
10;ok;resource-campaign-1780489883-10;3.7224;8537;8537;0;Processus Logminer;0.0;0.0;451.95;8;
11;ok;resource-campaign-1780489893-11;8.1302;8537;8537;0;API / Orchestrateur;62.5;7.81;188.9;8;
11;ok;resource-campaign-1780489893-11;8.1302;8537;8537;0;Processus Logminer;0.0;0.0;409.54;8;
12;ok;resource-campaign-1780489906-12;7.9974;8537;8537;0;API / Orchestrateur;57.8;7.22;177.24;8;
12;ok;resource-campaign-1780489906-12;7.9974;8537;8537;0;Processus Logminer;3.4;0.42;394.68;8;
13;ok;resource-campaign-1780489925-13;5.4714;8537;8537;0;API / Orchestrateur;67.5;8.44;195.1;8;
13;ok;resource-campaign-1780489925-13;5.4714;8537;8537;0;Processus Logminer;12.5;1.56;405.59;8;
14;ok;resource-campaign-1780489938-14;5.3109;8537;8537;0;API / Orchestrateur;49.4;6.17;176.53;8;
14;ok;resource-campaign-1780489938-14;5.3109;8537;8537;0;Processus Logminer;16.7;2.09;393.81;8;
15;ok;resource-campaign-1780489949-15;7.783;8537;8537;0;API / Orchestrateur;86.2;10.78;207.45;8;
15;ok;resource-campaign-1780489949-15;7.783;8537;8537;0;Processus Logminer;0.0;0.0;283.14;8;
16;ok;resource-campaign-1780489961-16;5.6736;8537;8537;0;API / Orchestrateur;46.3;5.79;171.72;8;
16;ok;resource-campaign-1780489961-16;5.6736;8537;8537;0;Processus Logminer;5.6;0.7;315.46;8;
17;ok;resource-campaign-1780489972-17;5.3693;8537;8537;0;API / Orchestrateur;61.4;7.67;201.86;8;
17;ok;resource-campaign-1780489972-17;5.3693;8537;8537;0;Processus Logminer;19.9;2.49;473.68;8;
18;ok;resource-campaign-1780489985-18;5.9995;8537;8537;0;API / Orchestrateur;41.8;5.22;193.24;8;
18;ok;resource-campaign-1780489985-18;5.9995;8537;8537;0;Processus Logminer;17.7;2.21;536.45;8;
19;ok;resource-campaign-1780489997-19;16.5568;8537;8537;0;API / Orchestrateur;22.9;2.86;175.73;8;
19;ok;resource-campaign-1780489997-19;16.5568;8537;8537;0;Processus Logminer;0.0;0.0;537.99;8;
20;ok;resource-campaign-1780490028-20;21.6007;8537;8537;0;API / Orchestrateur;28.3;3.54;162.49;8;
20;ok;resource-campaign-1780490028-20;21.6007;8537;8537;0;Processus Logminer;1.6;0.2;539.13;8;
21;ok;resource-campaign-1780490064-21;7.797;8537;8537;0;API / Orchestrateur;100.8;12.6;177.62;8;
21;ok;resource-campaign-1780490064-21;7.797;8537;8537;0;Processus Logminer;0.0;0.0;529.3;8;
22;ok;resource-campaign-1780490080-22;2.4371;8537;8537;0;API / Orchestrateur;82.4;10.3;179.69;8;
22;ok;resource-campaign-1780490080-22;2.4371;8537;8537;0;Processus Logminer;0.0;0.0;548.49;8;
23;ok;resource-campaign-1780490090-23;9.8512;8537;8537;0;API / Orchestrateur;38.0;4.75;195.22;8;
23;ok;resource-campaign-1780490090-23;9.8512;8537;8537;0;Processus Logminer;1.6;0.2;535.15;8;
24;ok;resource-campaign-1780490108-24;10.6618;8537;8537;0;API / Orchestrateur;36.1;4.51;209.57;8;
24;ok;resource-campaign-1780490108-24;10.6618;8537;8537;0;Processus Logminer;0.0;0.0;548.14;8;
25;ok;resource-campaign-1780490127-25;9.9254;8537;8537;0;API / Orchestrateur;39.7;4.96;198.04;8;
25;ok;resource-campaign-1780490127-25;9.9254;8537;8537;0;Processus Logminer;0.0;0.0;534.85;8;
26;ok;resource-campaign-1780490145-26;9.8042;8537;8537;0;API / Orchestrateur;38.4;4.8;196.69;8;
26;ok;resource-campaign-1780490145-26;9.8042;8537;8537;0;Processus Logminer;0.0;0.0;563.79;8;
27;ok;resource-campaign-1780490164-27;13.992;8537;8537;0;API / Orchestrateur;58.9;7.36;188.55;8;
27;ok;resource-campaign-1780490164-27;13.992;8537;8537;0;Processus Logminer;0.7;0.09;429.61;8;
28;ok;resource-campaign-1780490183-28;10.6195;8537;8537;0;API / Orchestrateur;79.8;9.97;189.34;8;
28;ok;resource-campaign-1780490183-28;10.6195;8537;8537;0;Processus Logminer;0.0;0.0;423.38;8;
29;ok;resource-campaign-1780490200-29;9.28;8537;8537;0;API / Orchestrateur;67.0;8.38;165.44;8;
29;ok;resource-campaign-1780490200-29;9.28;8537;8537;0;Processus Logminer;1.7;0.21;444.68;8;
30;ok;resource-campaign-1780490215-30;11.3319;8537;8537;0;API / Orchestrateur;59.2;7.4;182.76;8;
30;ok;resource-campaign-1780490215-30;11.3319;8537;8537;0;Processus Logminer;0.0;0.0;460.28;8;
