cycle;status;run_id;workflow_sec;parse_sec;route_sec;detect_sec;correlate_sec;input_rows;anomalies_rows;incidents_rows;agent;cpu_equiv_core_percent;cpu_machine_percent;memory_mb;logical_cpus;error
1;ok;resource-campaign-1780588970-1;3.5756;;0.1488;2.7293;0.2099;8537;8537;0;API / Orchestrateur;0.4;0.05;151.14;8;
1;ok;resource-campaign-1780588970-1;3.5756;;0.1488;2.7293;0.2099;8537;8537;0;Processus Logminer;0.0;0.0;34.94;8;
2;ok;resource-campaign-1780588980-2;6.2015;;0.1917;3.6565;1.6856;8537;8537;0;API / Orchestrateur;45.4;5.67;150.88;8;
2;ok;resource-campaign-1780588980-2;6.2015;;0.1917;3.6565;1.6856;8537;8537;0;Processus Logminer;0.0;0.0;34.94;8;
3;ok;resource-campaign-1780588993-3;8.9843;;0.278;4.7813;1.5003;8537;8537;0;API / Orchestrateur;42.2;5.28;151.19;8;
3;ok;resource-campaign-1780588993-3;8.9843;;0.278;4.7813;1.5003;8537;8537;0;Processus Logminer;0.0;0.0;34.98;8;
4;ok;resource-campaign-1780589008-4;8.9021;;0.214;5.3046;2.5792;8537;8537;0;API / Orchestrateur;36.4;4.55;151.55;8;
4;ok;resource-campaign-1780589008-4;8.9021;;0.214;5.3046;2.5792;8537;8537;0;Processus Logminer;0.0;0.0;34.98;8;
5;ok;resource-campaign-1780589026-5;8.0802;;0.3235;6.9951;0.282;8537;8537;0;API / Orchestrateur;36.5;4.56;153.38;8;
5;ok;resource-campaign-1780589026-5;8.0802;;0.3235;6.9951;0.282;8537;8537;0;Processus Logminer;0.1;0.01;35.2;8;
6;ok;resource-campaign-1780589040-6;6.1347;;0.1456;3.9256;0.1978;8537;8537;0;API / Orchestrateur;48.9;6.11;153.6;8;
6;ok;resource-campaign-1780589040-6;6.1347;;0.1456;3.9256;0.1978;8537;8537;0;Processus Logminer;0.1;0.01;35.2;8;
7;ok;resource-campaign-1780589053-7;5.0476;;0.1943;3.1731;0.3148;8537;8537;0;API / Orchestrateur;41.2;5.15;153.68;8;
7;ok;resource-campaign-1780589053-7;5.0476;;0.1943;3.1731;0.3148;8537;8537;0;Processus Logminer;0.3;0.04;35.2;8;
8;ok;resource-campaign-1780589063-8;2.3215;;0.1325;1.8051;0.192;8537;8537;0;API / Orchestrateur;69.0;8.62;153.88;8;
8;ok;resource-campaign-1780589063-8;2.3215;;0.1325;1.8051;0.192;8537;8537;0;Processus Logminer;0.4;0.05;35.21;8;
9;ok;resource-campaign-1780589070-9;2.6019;;0.1315;2.0057;0.2158;8537;8537;0;API / Orchestrateur;68.9;8.61;153.83;8;
9;ok;resource-campaign-1780589070-9;2.6019;;0.1315;2.0057;0.2158;8537;8537;0;Processus Logminer;0.2;0.03;35.21;8;
10;ok;resource-campaign-1780589078-10;2.2134;;0.1229;1.6534;0.1833;8537;8537;0;API / Orchestrateur;68.5;8.56;153.23;8;
10;ok;resource-campaign-1780589078-10;2.2134;;0.1229;1.6534;0.1833;8537;8537;0;Processus Logminer;0.0;0.0;35.21;8;
