task_index,task_id,task_type,submitted_at,completed_at,campaign_elapsed_sec,winner,status,latency_ms,reassignments,proposals_json,refusals_json,result_pid,result_host,idempotency_replayed
0,cnp_endurance_multivm_20260918T124034Z-task-0000000,parse.synthetic,2026-09-18T12:45:05.516702+00:00,2026-09-18T12:45:05.605820+00:00,0.078,ubuntu-beta,ok,88.378,1,"{""debian-alpha"": 0.86, ""ubuntu-beta"": 0.809}",{},3690,andy-VirtualBox,False
1,cnp_endurance_multivm_20260918T124034Z-task-0000001,route.synthetic,2026-09-18T12:45:05.728383+00:00,2026-09-18T12:45:05.792440+00:00,0.266,ubuntu-beta,ok,64.013,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.863}",{},3690,andy-VirtualBox,False
2,cnp_endurance_multivm_20260918T124034Z-task-0000002,detect.synthetic,2026-09-18T12:45:05.922655+00:00,2026-09-18T12:45:05.991805+00:00,0.469,ubuntu-beta,ok,69.244,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.839}",{},3690,andy-VirtualBox,False
3,cnp_endurance_multivm_20260918T124034Z-task-0000003,correlate.synthetic,2026-09-18T12:45:06.123862+00:00,2026-09-18T12:45:06.165306+00:00,0.641,ubuntu-beta,ok,41.673,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.821}",{},3690,andy-VirtualBox,False
4,cnp_endurance_multivm_20260918T124034Z-task-0000004,parse.synthetic,2026-09-18T12:45:06.329194+00:00,2026-09-18T12:45:06.375412+00:00,0.86,ubuntu-beta,ok,46.53,0,"{""debian-alpha"": 0.850677, ""ubuntu-beta"": 0.866635}",{},3690,andy-VirtualBox,False
5,cnp_endurance_multivm_20260918T124034Z-task-0000005,route.synthetic,2026-09-18T12:45:06.516283+00:00,2026-09-18T12:45:06.574270+00:00,1.047,ubuntu-beta,ok,58.383,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.920358}",{},3690,andy-VirtualBox,False
6,cnp_endurance_multivm_20260918T124034Z-task-0000006,detect.synthetic,2026-09-18T12:45:06.728255+00:00,2026-09-18T12:45:06.772262+00:00,1.25,ubuntu-beta,ok,43.86,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.896577}",{},3690,andy-VirtualBox,False
7,cnp_endurance_multivm_20260918T124034Z-task-0000007,correlate.synthetic,2026-09-18T12:45:06.923046+00:00,2026-09-18T12:45:06.960429+00:00,1.438,ubuntu-beta,ok,37.578,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.878709}",{},3690,andy-VirtualBox,False
8,cnp_endurance_multivm_20260918T124034Z-task-0000008,parse.synthetic,2026-09-18T12:45:07.123225+00:00,2026-09-18T12:45:07.170438+00:00,1.656,ubuntu-beta,ok,47.235,0,"{""debian-alpha"": 0.850677, ""ubuntu-beta"": 0.883359}",{},3690,andy-VirtualBox,False
9,cnp_endurance_multivm_20260918T124034Z-task-0000009,route.synthetic,2026-09-18T12:45:07.326078+00:00,2026-09-18T12:45:07.372729+00:00,1.86,ubuntu-beta,ok,46.963,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.937128}",{},3690,andy-VirtualBox,False
