expected_route,predicted_family,count
bgl,bgl,1
bgl,fallback,0
bgl,hdfs,0
bgl,linux,0
bgl,linux_auth,0
bgl,network,0
bgl,network_cicids,0
bgl,wazuh,0
bgl,windows,0
fallback,bgl,0
fallback,fallback,0
fallback,hdfs,0
fallback,linux,0
fallback,linux_auth,0
fallback,network,3
fallback,network_cicids,0
fallback,wazuh,0
fallback,windows,0
hdfs,bgl,0
hdfs,fallback,0
hdfs,hdfs,1
hdfs,linux,0
hdfs,linux_auth,0
hdfs,network,0
hdfs,network_cicids,0
hdfs,wazuh,0
hdfs,windows,0
linux,bgl,0
linux,fallback,0
linux,hdfs,0
linux,linux,1
linux,linux_auth,0
linux,network,0
linux,network_cicids,0
linux,wazuh,0
linux,windows,0
linux_auth,bgl,0
linux_auth,fallback,0
linux_auth,hdfs,0
linux_auth,linux,0
linux_auth,linux_auth,3
linux_auth,network,0
linux_auth,network_cicids,0
linux_auth,wazuh,0
linux_auth,windows,0
network,bgl,0
network,fallback,0
network,hdfs,0
network,linux,0
network,linux_auth,0
network,network,0
network,network_cicids,0
network,wazuh,0
network,windows,0
network_cicids,bgl,0
network_cicids,fallback,0
network_cicids,hdfs,0
network_cicids,linux,0
network_cicids,linux_auth,0
network_cicids,network,0
network_cicids,network_cicids,8
network_cicids,wazuh,0
network_cicids,windows,0
wazuh,bgl,0
wazuh,fallback,0
wazuh,hdfs,0
wazuh,linux,0
wazuh,linux_auth,0
wazuh,network,0
wazuh,network_cicids,0
wazuh,wazuh,7
wazuh,windows,0
windows,bgl,0
windows,fallback,0
windows,hdfs,0
windows,linux,0
windows,linux_auth,0
windows,network,0
windows,network_cicids,0
windows,wazuh,0
windows,windows,7
