block_id,partition,label,selection_seed
blk_-1608999687919862906,train,0,42
blk_-5114249203202400596,train,0,42
blk_6021477756386488418,train,0,42
blk_-3616976684127351139,train,0,42
blk_6402803854715743550,train,0,42
blk_8653331095267766448,train,0,42
blk_3837161082742671754,train,0,42
blk_5087957844448820410,train,0,42
blk_1573881407620578711,train,0,42
blk_377618740330978260,train,0,42
blk_-1671908550880445633,train,0,42
blk_-800622121569571679,train,0,42
blk_-4187354324048472434,train,0,42
blk_-7830755405319927223,train,0,42
blk_5725888601974460806,train,0,42
blk_2469689119699068840,train,0,42
blk_350696426895410369,train,0,42
blk_-6740367283071055571,train,0,42
blk_7494566123003739045,train,0,42
blk_4071082175154068150,train,0,42
blk_-306433960000893115,train,0,42
blk_243475770002126841,train,0,42
blk_-1608339630694730738,train,0,42
blk_-4577896710791249166,train,0,42
blk_444041676607581816,train,0,42
blk_-7725563819912150372,train,0,42
blk_51963377114659155,train,0,42
blk_4005961392876834016,train,0,42
blk_30592765769050543,train,0,42
blk_8396995301913478018,train,0,42
blk_-4976561959554107929,train,0,42
blk_-5904835675315322018,train,0,42
blk_7246939535792124054,train,0,42
blk_4698487191493023808,train,0,42
blk_-1455221633490309763,train,0,42
blk_-4526460280838537726,train,0,42
blk_-5548274594871385910,train,0,42
blk_-3004305218355783749,train,0,42
blk_3804615896420653453,train,0,42
blk_-3881267399645697356,train,0,42
blk_1118280264213894389,train,0,42
blk_-5907050650192233811,train,0,42
blk_-46556259380530564,train,0,42
blk_4369831876549054440,train,0,42
blk_-1966946637220555511,train,0,42
blk_-4734376377273630539,train,0,42
blk_1086420193925825135,train,0,42
blk_-6530960515863328774,train,0,42
blk_268921466088002153,train,0,42
blk_-6670958622368987959,train,0,42
blk_291249785923698087,train,0,42
blk_6728503176963410390,train,0,42
blk_-5355468392029027183,train,0,42
blk_1968368452697134719,train,0,42
blk_-7654560734491838127,train,0,42
blk_7373552687636226736,train,0,42
blk_5761183754006128452,train,0,42
blk_8634740884129172520,train,0,42
blk_4661888047313237695,train,0,42
blk_-5159481822711582642,train,0,42
blk_3227908264057433494,train,0,42
blk_5192032012976533948,train,0,42
blk_-8144749538854728020,train,0,42
blk_81484413561340482,train,0,42
blk_-6091929444695782420,train,0,42
blk_6048785466633428269,train,0,42
blk_5167504939897379757,train,0,42
blk_-1954562868979169509,train,0,42
blk_7888946331804732825,train,0,42
blk_921411419154121436,train,0,42
blk_2127818749817765643,train,0,42
blk_7322175837830064286,train,0,42
blk_7019571787243184958,train,0,42
blk_1131212494337742674,train,0,42
blk_5984597015849730101,train,0,42
blk_-7202537022312810163,train,0,42
blk_2781161634750750250,train,0,42
blk_-7342966161423583663,train,0,42
blk_-2255948639551698043,train,0,42
blk_6236687718597980422,train,0,42
blk_-4185061721519070490,train,0,42
blk_3240210533909340791,train,0,42
blk_4615214238992239411,train,0,42
blk_7430047493224031494,train,0,42
blk_-879840374252135313,train,0,42
blk_1505710729616382661,train,0,42
blk_6488319953421271780,train,0,42
blk_-1674235443242948188,train,0,42
blk_6529645318353738416,train,0,42
blk_4857789889401753382,train,0,42
blk_-6899869435641005946,train,0,42
blk_-8049323531450781652,train,0,42
blk_-520547713927059824,train,0,42
blk_-6869109743241938944,train,0,42
blk_7932082564461777897,train,0,42
blk_5463099606755053815,train,0,42
blk_-3154001868332857129,train,0,42
blk_271745319033279389,train,1,42
blk_4283809515924186979,train,0,42
blk_8955601839320747060,train,0,42
blk_2723225040568147445,train,0,42
blk_8918440911006295945,train,1,42
blk_-2131677938619736596,train,0,42
blk_4195258326983430474,train,0,42
blk_-8791986192941881127,train,0,42
blk_-6713704050176884816,train,0,42
blk_-3564956484589349010,train,0,42
blk_529113433718674850,train,0,42
blk_6220506076382901934,train,0,42
blk_-135596392481914191,train,0,42
blk_4034419514593703427,train,0,42
blk_-4878768203334368239,train,0,42
blk_-8063518465769810034,train,0,42
blk_7888733806209341233,train,0,42
blk_7945627948899699014,train,0,42
