dataset;subtype;filepath;lineno;recno;timestamp_iso;severity;event;source;component;host;pid;tid;session;user;uid;gid;auid;euid;egid;exe;path;path_all;exec_args;exec_args_all;exec_env_all;src_ip;src_port;dst_ip;dst_port;proto;length;flags;http_method;http_url;http_status;bytes_sent;user_agent;referrer;category;subcategory;message
bgl;bgl;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\bgl.log;1;;2005-06-03T15:42:50.363779+00:00;INFO;-;KERNEL;KERNEL;R02-M1-N0-C:J12-U11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;bgl;instruction cache parity error corrected
bgl;bgl;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\bgl.log;2;;2005-06-03T15:42:50.527847+00:00;INFO;-;KERNEL;KERNEL;R02-M1-N0-C:J12-U11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;bgl;instruction cache parity error corrected
bgl;bgl;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\bgl.log;3;;2005-06-03T15:42:50.675872+00:00;INFO;-;KERNEL;KERNEL;R02-M1-N0-C:J12-U11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;bgl;instruction cache parity error corrected
bgl;bgl;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\bgl.log;4;;2005-06-03T15:42:50.823719+00:00;INFO;-;KERNEL;KERNEL;R02-M1-N0-C:J12-U11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;bgl;instruction cache parity error corrected
bgl;bgl;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\bgl.log;5;;2005-06-03T15:42:50.982731+00:00;INFO;-;KERNEL;KERNEL;R02-M1-N0-C:J12-U11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;bgl;instruction cache parity error corrected
bgl;bgl;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\bgl.log;6;;2005-06-03T15:42:51.131467+00:00;INFO;-;KERNEL;KERNEL;R02-M1-N0-C:J12-U11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;bgl;instruction cache parity error corrected
bgl;bgl;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\bgl.log;7;;2005-06-03T15:42:51.293532+00:00;INFO;-;KERNEL;KERNEL;R02-M1-N0-C:J12-U11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;bgl;instruction cache parity error corrected
bgl;bgl;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\bgl.log;8;;2005-06-03T15:42:51.428563+00:00;INFO;-;KERNEL;KERNEL;R02-M1-N0-C:J12-U11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;bgl;instruction cache parity error corrected
bgl;bgl;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\bgl.log;9;;2005-06-03T15:42:51.601412+00:00;INFO;-;KERNEL;KERNEL;R02-M1-N0-C:J12-U11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;bgl;instruction cache parity error corrected
bgl;bgl;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\bgl.log;10;;2005-06-03T15:42:51.749199+00:00;INFO;-;KERNEL;KERNEL;R02-M1-N0-C:J12-U11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;bgl;instruction cache parity error corrected
