dataset;subtype;filepath;lineno;recno;timestamp_iso;severity;event;source;component;host;pid;tid;session;user;uid;gid;auid;euid;egid;exe;path;path_all;exec_args;exec_args_all;exec_env_all;src_ip;src_port;dst_ip;dst_port;proto;length;flags;http_method;http_url;http_status;bytes_sent;user_agent;referrer;category;subcategory;message
hdfs;hdfs;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\hdfs.log;1;;2008-11-09T20:35:18+00:00;INFO;blk_-1608999687919862906;dfs.DataNode$DataXceiver;dfs.DataNode$DataXceiver;;143;;;;;;;;;;;;;;;10.250.19.102;54106;10.250.19.102;50010;;;;;;;;;;system;hdfs;Receiving block blk_-1608999687919862906 src: /10.250.19.102:54106 dest: /10.250.19.102:50010
hdfs;hdfs;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\hdfs.log;2;;2008-11-09T20:35:18+00:00;INFO;blk_-1608999687919862906;dfs.FSNamesystem;dfs.FSNamesystem;;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;hdfs;BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0001/job.jar. blk_-1608999687919862906
hdfs;hdfs;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\hdfs.log;3;;2008-11-09T20:35:19+00:00;INFO;blk_-1608999687919862906;dfs.DataNode$DataXceiver;dfs.DataNode$DataXceiver;;143;;;;;;;;;;;;;;;10.250.10.6;40524;10.250.10.6;50010;;;;;;;;;;system;hdfs;Receiving block blk_-1608999687919862906 src: /10.250.10.6:40524 dest: /10.250.10.6:50010
hdfs;hdfs;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\hdfs.log;4;;2008-11-09T20:35:19+00:00;INFO;blk_-1608999687919862906;dfs.DataNode$DataXceiver;dfs.DataNode$DataXceiver;;145;;;;;;;;;;;;;;;10.250.14.224;42420;10.250.14.224;50010;;;;;;;;;;system;hdfs;Receiving block blk_-1608999687919862906 src: /10.250.14.224:42420 dest: /10.250.14.224:50010
hdfs;hdfs;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\hdfs.log;5;;2008-11-09T20:35:19+00:00;INFO;blk_-1608999687919862906;dfs.DataNode$PacketResponder;dfs.DataNode$PacketResponder;;145;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;hdfs;PacketResponder 1 for block blk_-1608999687919862906 terminating
hdfs;hdfs;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\hdfs.log;6;;2008-11-09T20:35:19+00:00;INFO;blk_-1608999687919862906;dfs.DataNode$PacketResponder;dfs.DataNode$PacketResponder;;145;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;hdfs;PacketResponder 2 for block blk_-1608999687919862906 terminating
hdfs;hdfs;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\hdfs.log;7;;2008-11-09T20:35:19+00:00;INFO;blk_-1608999687919862906;dfs.DataNode$PacketResponder;dfs.DataNode$PacketResponder;;145;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;hdfs;Received block blk_-1608999687919862906 of size 91178 from /10.250.10.6
hdfs;hdfs;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\hdfs.log;8;;2008-11-09T20:35:19+00:00;INFO;blk_-1608999687919862906;dfs.DataNode$PacketResponder;dfs.DataNode$PacketResponder;;145;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;hdfs;Received block blk_-1608999687919862906 of size 91178 from /10.250.19.102
hdfs;hdfs;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\hdfs.log;9;;2008-11-09T20:35:19+00:00;INFO;blk_-1608999687919862906;dfs.DataNode$PacketResponder;dfs.DataNode$PacketResponder;;147;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;hdfs;PacketResponder 0 for block blk_-1608999687919862906 terminating
hdfs;hdfs;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\hdfs.log;10;;2008-11-09T20:35:19+00:00;INFO;blk_-1608999687919862906;dfs.DataNode$PacketResponder;dfs.DataNode$PacketResponder;;147;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;hdfs;Received block blk_-1608999687919862906 of size 91178 from /10.250.14.224
hdfs;hdfs;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\hdfs.log;11;;2008-11-09T20:35:19+00:00;INFO;blk_-1608999687919862906;dfs.FSNamesystem;dfs.FSNamesystem;;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;hdfs;BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.10.6:50010 is added to blk_-1608999687919862906 size 91178
hdfs;hdfs;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\hdfs.log;12;;2008-11-09T20:35:19+00:00;INFO;blk_-1608999687919862906;dfs.FSNamesystem;dfs.FSNamesystem;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;hdfs;BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.209:50010 is added to blk_-1608999687919862906 size 91178
hdfs;hdfs;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\hdfs.log;13;;2008-11-09T20:35:19+00:00;INFO;blk_-1608999687919862906;dfs.FSNamesystem;dfs.FSNamesystem;;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;hdfs;BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.14.224:50010 is added to blk_-1608999687919862906 size 91178
hdfs;hdfs;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\hdfs.log;14;;2008-11-09T20:35:20+00:00;INFO;blk_7503483334202473044;dfs.DataNode$DataXceiver;dfs.DataNode$DataXceiver;;142;;;;;;;;;;;;;;;10.251.215.16;55695;10.251.215.16;50010;;;;;;;;;;system;hdfs;Receiving block blk_7503483334202473044 src: /10.251.215.16:55695 dest: /10.251.215.16:50010
hdfs;hdfs;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\hdfs.log;15;;2008-11-09T20:35:20+00:00;INFO;blk_7503483334202473044;dfs.DataNode$DataXceiver;dfs.DataNode$DataXceiver;;145;;;;;;;;;;;;;;;10.250.19.102;34232;10.250.19.102;50010;;;;;;;;;;system;hdfs;Receiving block blk_7503483334202473044 src: /10.250.19.102:34232 dest: /10.250.19.102:50010
hdfs;hdfs;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\hdfs.log;16;;2008-11-09T20:35:20+00:00;INFO;blk_7503483334202473044;dfs.FSNamesystem;dfs.FSNamesystem;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;system;hdfs;BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0001/job.split. blk_7503483334202473044
hdfs;hdfs;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\hdfs.log;17;;2008-11-09T20:35:21+00:00;INFO;blk_-1608999687919862906;dfs.DataNode$DataXceiver;dfs.DataNode$DataXceiver;;143;;;;;;;;;;;;;;;10.251.215.16;52002;10.251.215.16;50010;;;;;;;;;;system;hdfs;Received block blk_-1608999687919862906 src: /10.251.215.16:52002 dest: /10.251.215.16:50010 of size 91178
hdfs;hdfs;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T093742Z\samples\hdfs.log;18;;2008-11-09T20:35:21+00:00;INFO;blk_-1608999687919862906;dfs.DataNode$DataXceiver;dfs.DataNode$DataXceiver;;143;;;;;;;;;;;;;;;10.251.215.16;52002;10.251.215.16;50010;;;;;;;;;;system;hdfs;Receiving block blk_-1608999687919862906 src: /10.251.215.16:52002 dest: /10.251.215.16:50010
