dataset;subtype;filepath;lineno;recno;timestamp_iso;severity;event;source;component;host;pid;tid;session;user;uid;gid;auid;euid;egid;exe;path;path_all;exec_args;exec_args_all;exec_env_all;src_ip;src_port;dst_ip;dst_port;proto;length;flags;http_method;http_url;http_status;bytes_sent;user_agent;referrer;category;subcategory;message;wazuh_rule_level;wazuh_rule_id;wazuh_decoder;wazuh_groups;wazuh_rule_description
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;1;1;;WARNING;510;rootcheck; ;ubuntu; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;rootcheck;Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).;7;510;rootcheck;"[""ossec"",""rootcheck""]";Host-based anomaly detection event (rootcheck).
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;2;2;;INFO;81102;kernel;kernel;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;kernel;Oct  6 23:14:04 sohaib-virtual-machine kernel: [13210.600871] usb 1-2.1: USB disconnect, device number 4;3;81102;kernel;"[""usb""]";USB device disconnected
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;3;3;;INFO;81101;kernel;kernel;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;kernel;Oct  6 23:23:54 sohaib-virtual-machine kernel: [13211.825771] usb 1-2.1: New USB device found, idVendor=0e0f, idProduct=0008, bcdDevice= 1.00;3;81101;kernel;"[""usb""]";Attached USB Storage
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;4;4;;WARNING;2902;dpkg-decoder; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;package;dpkg-decoder;2023-10-06 23:24:49 status installed linux-modules-extra-6.2.0-26-generic:amd64 6.2.0-26.26~22.04.1;7;2902;dpkg-decoder;"[""syslog"",""dpkg"",""config_changed""]";New dpkg (Debian Package) installed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;5;5;;WARNING;2501; ; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;authentication; ;"Oct  6 23:24:52 sohaib-virtual-machine gdm-password]: pam_unix(gdm-password:auth): authentication failure; logname= uid=0 euid=0 tty=/dev/tty1 ruser= rhost=  user=sohaib";5;2501; ;"[""syslog"",""access_control"",""authentication_failed""]";syslog: User authentication failure.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;6;6;;WARNING;550;syscheck_integrity_changed; ;machine-1; ;; ; ; ; ; ;;; ;/etc/opt/kaspersky/klnagent/1103/1.0.0.0/NagentFlags/KLNAG_FLAGS_DETECT_REVERT_ID;; ;;; ; ;;; ;;;; ;;;;;file_integrity;syscheck_integrity_changed;"File '/etc/opt/kaspersky/klnagent/1103/1.0.0.0/NagentFlags/KLNAG_FLAGS_DETECT_REVERT_ID' modified
Mode: scheduled
Changed attributes: mtime,inode,md5,sha1,sha256
Old modification time was: '1696529162', now it is '1696536226'
Old inode was: '132851', now it is '132896'
Old md5sum was: '82b64f6e8ee3835c4eb0babb394d5f6a'
New md5sum is : 'a0711e9dfd26d2ba3cdd36d4d557cd73'
Old sha1sum was: '317938fbe5671eeccee445fa8184fa08731bd43d'
New sha1sum is : '4d0cc180e804d57cdecbc994213c175817474e9b'
Old sha256sum was: '4f9d402a5ef58d3dfe14c39c6b047c412f4093f4269f73189a04fd36ef77216e'
New sha256sum is : '6507f936a2fc6a88e310041d9367f42305647153ae93c757624f4d7ac9ae5293'
";7;550;syscheck_integrity_changed;"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]";Integrity checksum changed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;7;7;;WARNING;510;rootcheck; ;ubuntu; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;rootcheck;Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).;7;510;rootcheck;"[""ossec"",""rootcheck""]";Host-based anomaly detection event (rootcheck).
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;8;8;;INFO;502;ossec; ;ubuntu; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;ossec;ossec: Manager started.;3;502;ossec;"[""ossec""]";Wazuh server started.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;9;9;;WARNING;510;rootcheck; ;ubuntu; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;rootcheck;Trojaned version of file '/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).;7;510;rootcheck;"[""ossec"",""rootcheck""]";Host-based anomaly detection event (rootcheck).
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;10;10;;INFO;502;ossec; ;ubuntu; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;ossec;ossec: Manager started.;3;502;ossec;"[""ossec""]";Wazuh server started.
