timestamp,source_ip,server,username,service,attempts,status,port,protocol,comment,anomaly_label,hour,weekday
2023-03-01T02:34:21.401236,195.241.151.7,proxy-mow-01,achang,sudo,3,Failed,22,TELNET,User achang failed login via sudo,normal,2,2
2024-08-14T04:53:31.834545,164.218.94.112,srv-ldn-02,www-data,sudo,4,Failed,443,RDP,User www-data failed login via sudo,normal,4,2
2026-11-13T23:42:42.559210,45.250.247.54,backup-prk-01,www-data,su,2,Failed,22,TELNET,User www-data failed login via su,normal,23,4
2025-06-21T19:38:58.716613,114.89.244.50,srv-tok-03,juancampos,login,1,Success,22,SSH2,User juancampos success login via login,normal,19,5
2024-03-28T19:34:14.984218,186.144.249.195,srv-tok-03,nginx,cron,3,Failed,80,N/A,User nginx failed login via cron,normal,19,3
2024-11-20T07:52:50.698067,91.201.120.168,db-ber-01,admin,login,1,Failed,443,RDP,User admin failed login via login,normal,7,2
2024-11-27T10:25:21.253466,216.85.243.248,web-sgp-02,cheryl38,login,1,Success,2222,RDP,User cheryl38 success login via login,normal,10,2
2023-04-01T22:16:36.351390,208.115.7.149,web-sgp-02,ec2-user,su,3,Failed,443,N/A,User ec2-user failed login via su,normal,22,5
2026-04-19T06:34:04.797387,128.18.185.81,monitor-car-01,cortezraymond,ssh,1,Success,80,RDP,User cortezraymond success login via ssh,normal,6,6
2025-06-12T08:52:25.866796,174.170.66.193,vpn-thr-02,www-data,su,2,Failed,80,SSH2,User www-data failed login via su,normal,8,3
2023-12-23T02:38:13.654050,36.7.239.51,db-ber-01,ubuntu,login,1,Success,2222,N/A,User ubuntu success login via login,normal,2,5
2023-10-06T22:59:27.190478,143.69.123.189,srv-ldn-02,ec2-user,login,2,Failed,22,SSH2,User ec2-user failed login via login,normal,22,4
2026-03-18T21:12:38.510219,92.171.136.145,proxy-mow-01,admin,su,1,Failed,443,N/A,User admin failed login via su,normal,21,2
2023-05-14T04:12:25.279960,199.250.131.204,srv-tok-03,root,cron,1,Success,22,RDP,User root success login via cron,normal,4,6
2023-06-09T05:23:12.917133,4.255.156.194,db-ber-01,nginx,sudo,1,Success,22,N/A,User nginx success login via sudo,normal,5,4
2026-11-08T04:54:09.543319,146.104.250.3,srv-tok-03,lisa83,cron,1,Success,22,N/A,User lisa83 success login via cron,normal,4,6
2024-10-11T16:24:55.730499,152.162.56.105,web-sgp-02,admin,sudo,1,Success,80,N/A,User admin success login via sudo,normal,16,4
2023-10-04T12:16:19.749161,98.20.152.89,db-ber-01,barbara42,cron,1,Success,22,N/A,User barbara42 success login via cron,normal,12,2
2024-11-26T17:38:45.456031,72.85.152.234,db-ber-01,nginx,cron,2,Failed,22,RDP,User nginx failed login via cron,normal,17,1
2026-07-04T02:02:01.657068,210.145.100.235,web-sgp-02,mysql,sudo,1,Success,2222,N/A,User mysql executed sudo with elevated privileges,privilege_escalation,2,5
2024-02-07T10:13:10.598797,163.113.118.232,backup-prk-01,nginx,login,1,Failed,49377,TELNET,Port scan detected from 163.113.118.232 on port 49377,port_scan,10,2
2026-07-30T18:09:55.507071,154.215.212.144,monitor-car-01,www-data,sudo,4,Failed,443,N/A,User www-data failed login via sudo,normal,18,3
2025-04-26T08:30:47.435494,27.111.142.19,backup-prk-01,ubuntu,su,1,Failed,22,N/A,User ubuntu failed login via su,normal,8,5
2023-05-01T06:20:58.223078,159.33.230.221,srv-ldn-02,root,cron,1,Success,22,TELNET,User root success login via cron,normal,6,0
2025-12-03T23:22:56.267441,78.28.6.133,db-ber-01,megan30,ssh,1,Success,22,N/A,User megan30 success login via ssh,normal,23,2
2026-04-06T05:35:41.649142,73.93.239.254,db-ber-01,laura56,su,3,Failed,22,SSH2,User laura56 failed login via su,normal,5,0
2026-06-02T18:30:16.515498,113.47.23.95,srv-nyc-01,root,login,1,Failed,22,RDP,User root failed login via login,normal,18,1
2023-02-08T23:27:20.465869,135.169.23.53,srv-nyc-01,nginx,su,1,Success,22,TELNET,User nginx success login via su,normal,23,2
2024-07-25T03:58:39.729619,39.109.76.205,monitor-car-01,ec2-user,login,1,Success,2222,N/A,User ec2-user success login via login,normal,3,3
2023-02-23T03:10:37.192463,75.214.148.138,srv-tok-03,root,login,2,Failed,2222,TELNET,User root failed login via login,normal,3,3
2025-11-14T10:41:27.452887,17.244.104.76,proxy-mow-01,ubuntu,login,1,Success,22,RDP,User ubuntu success login via login,normal,10,4
2026-09-29T23:23:57.548062,91.61.86.197,vpn-thr-02,nginx,cron,2,Success,22,RDP,Login from unusual server vpn-thr-02,geo_anomaly,23,1
2025-06-25T01:49:22.739018,172.143.94.106,proxy-mow-01,www-data,sudo,1,Failed,443,SSH2,User www-data failed login via sudo,normal,1,2
