dataset;subtype;filepath;lineno;recno;timestamp_iso;severity;event;source;component;host;pid;tid;session;user;uid;gid;auid;euid;egid;exe;path;path_all;exec_args;exec_args_all;exec_env_all;src_ip;src_port;dst_ip;dst_port;proto;length;flags;http_method;http_url;http_status;bytes_sent;user_agent;referrer;category;subcategory;message
windows_event;win_event;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T094422Z\samples\windows_event.xml;;1;2025-08-21T22:42:02.233624+00:00;INFO;34;Oracle.xe;Oracle.xe;andy-aaron;8052;0;;;;;;;;;;;;;;;;;;;;;;;;;;;INFORMATIONAL;generic;"<string>LENGTH: '686' ACTION :[435] 'select /*+ no_parallel(t) no_parallel_index(t) dbms_stats cursor_sharing_exact use_weak_name_resl dynamic_sampling(0) no_monitoring xmlindex_sel_idx_tbl opt_param('optimizer_inmemory_aware' 'false') no_substrb_pad leading(r t) use_nl(t) rowid(t) */ substrb(dump(t.""OBJ#"",16,0,64),1,240) d_3404126564, r.rwid, r.freq from ""SYS"".""WRI$_OPTSTAT_HISTGRM_HISTORY"" t, table(:topntab) r where t.rowid = chartorowid(r.rwid) order by t.""OBJ#""' DATABASE USER:[3] 'SYS' PRIVILEGE :[4] 'NONE' CLIENT USER:[0] '' CLIENT TERMINAL:[10] 'ANDY-AARON' STATUS:[1] '0' DBID:[10] '3074368596' SESSIONID:[6] '400227' USERHOST:[10] 'ANDY-AARON' CLIENT ADDRESS:[0] '' ACTION NUMBER:[1] '3' </string>"
windows_event;win_event;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T094422Z\samples\windows_event.xml;;2;2025-08-21T22:42:02.238184+00:00;INFO;34;Oracle.xe;Oracle.xe;andy-aaron;8052;0;;;;;;;;;;;;;;;;;;;;;;;;;;;INFORMATIONAL;generic;"<string>LENGTH: '692' ACTION :[441] 'select /*+ no_parallel(t) no_parallel_index(t) dbms_stats cursor_sharing_exact use_weak_name_resl dynamic_sampling(0) no_monitoring xmlindex_sel_idx_tbl opt_param('optimizer_inmemory_aware' 'false') no_substrb_pad leading(r t) use_nl(t) rowid(t) */ substrb(dump(t.""INTCOL#"",16,0,64),1,240) d_1254105588, r.rwid, r.freq from ""SYS"".""WRI$_OPTSTAT_HISTGRM_HISTORY"" t, table(:topntab) r where t.rowid = chartorowid(r.rwid) order by t.""INTCOL#""' DATABASE USER:[3] 'SYS' PRIVILEGE :[4] 'NONE' CLIENT USER:[0] '' CLIENT TERMINAL:[10] 'ANDY-AARON' STATUS:[1] '0' DBID:[10] '3074368596' SESSIONID:[6] '400227' USERHOST:[10] 'ANDY-AARON' CLIENT ADDRESS:[0] '' ACTION NUMBER:[1] '3' </string>"
windows_event;win_event;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T094422Z\samples\windows_event.xml;;3;2025-08-21T22:42:02.249062+00:00;INFO;34;Oracle.xe;Oracle.xe;andy-aaron;8052;0;;;;;;;;;;;;;;;;;;;;;;;;;;;INFORMATIONAL;generic;"<string>LENGTH: '692' ACTION :[441] 'select /*+ no_parallel(t) no_parallel_index(t) dbms_stats cursor_sharing_exact use_weak_name_resl dynamic_sampling(0) no_monitoring xmlindex_sel_idx_tbl opt_param('optimizer_inmemory_aware' 'false') no_substrb_pad leading(r t) use_nl(t) rowid(t) */ substrb(dump(t.""INTCOL#"",16,0,64),1,240) d_1254105588, r.rwid, r.freq from ""SYS"".""WRI$_OPTSTAT_HISTGRM_HISTORY"" t, table(:topntab) r where t.rowid = chartorowid(r.rwid) order by t.""INTCOL#""' DATABASE USER:[3] 'SYS' PRIVILEGE :[4] 'NONE' CLIENT USER:[0] '' CLIENT TERMINAL:[10] 'ANDY-AARON' STATUS:[1] '0' DBID:[10] '3074368596' SESSIONID:[6] '400227' USERHOST:[10] 'ANDY-AARON' CLIENT ADDRESS:[0] '' ACTION NUMBER:[1] '3' </string>"
windows_event;win_event;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T094422Z\samples\windows_event.xml;;4;2025-08-21T22:42:02.252434+00:00;INFO;34;Oracle.xe;Oracle.xe;andy-aaron;8052;0;;;;;;;;;;;;;;;;;;;;;;;;;;;INFORMATIONAL;generic;"<string>LENGTH: '702' ACTION :[451] 'select /*+ no_parallel(t) no_parallel_index(t) dbms_stats cursor_sharing_exact use_weak_name_resl dynamic_sampling(0) no_monitoring xmlindex_sel_idx_tbl opt_param('optimizer_inmemory_aware' 'false') no_substrb_pad leading(r t) use_nl(t) rowid(t) */ substrb(dump(t.""SAVTIME_DATE"",16,0,64),1,240) d_1538534408, r.rwid, r.freq from ""SYS"".""WRI$_OPTSTAT_HISTGRM_HISTORY"" t, table(:topntab) r where t.rowid = chartorowid(r.rwid) order by t.""SAVTIME_DATE""' DATABASE USER:[3] 'SYS' PRIVILEGE :[4] 'NONE' CLIENT USER:[0] '' CLIENT TERMINAL:[10] 'ANDY-AARON' STATUS:[1] '0' DBID:[10] '3074368596' SESSIONID:[6] '400227' USERHOST:[10] 'ANDY-AARON' CLIENT ADDRESS:[0] '' ACTION NUMBER:[1] '3' </string>"
windows_event;win_event;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T094422Z\samples\windows_event.xml;;5;2025-08-21T22:42:02.260702+00:00;INFO;34;Oracle.xe;Oracle.xe;andy-aaron;8052;0;;;;;;;;;;;;;;;;;;;;;;;;;;;INFORMATIONAL;generic;"<string>LENGTH: '702' ACTION :[451] 'select /*+ no_parallel(t) no_parallel_index(t) dbms_stats cursor_sharing_exact use_weak_name_resl dynamic_sampling(0) no_monitoring xmlindex_sel_idx_tbl opt_param('optimizer_inmemory_aware' 'false') no_substrb_pad leading(r t) use_nl(t) rowid(t) */ substrb(dump(t.""SAVTIME_DATE"",16,0,64),1,240) d_1538534408, r.rwid, r.freq from ""SYS"".""WRI$_OPTSTAT_HISTGRM_HISTORY"" t, table(:topntab) r where t.rowid = chartorowid(r.rwid) order by t.""SAVTIME_DATE""' DATABASE USER:[3] 'SYS' PRIVILEGE :[4] 'NONE' CLIENT USER:[0] '' CLIENT TERMINAL:[10] 'ANDY-AARON' STATUS:[1] '0' DBID:[10] '3074368596' SESSIONID:[6] '400227' USERHOST:[10] 'ANDY-AARON' CLIENT ADDRESS:[0] '' ACTION NUMBER:[1] '3' </string>"
windows_event;win_event;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T094422Z\samples\windows_event.xml;;6;2025-08-21T22:42:04.363901+00:00;INFO;34;Oracle.xe;Oracle.xe;andy-aaron;8052;0;;;;;;;;;;;;;;;;;;;;;;;;;;;INFORMATIONAL;generic;"<string>LENGTH: '662' ACTION :[411] 'select /*+ no_parallel(t) no_parallel_index(t) dbms_stats cursor_sharing_exact use_weak_name_resl dynamic_sampling(0) no_monitoring xmlindex_sel_idx_tbl opt_param('optimizer_inmemory_aware' 'false') no_substrb_pad leading(r t) use_nl(t) rowid(t) */ substrb(dump(t.""OBJ#"",16,0,64),1,240) d_3404126564, r.rwid, r.freq from ""SYS"".""CLU$"" t, table(:topntab) r where t.rowid = chartorowid(r.rwid) order by t.""OBJ#""' DATABASE USER:[3] 'SYS' PRIVILEGE :[4] 'NONE' CLIENT USER:[0] '' CLIENT TERMINAL:[10] 'ANDY-AARON' STATUS:[1] '0' DBID:[10] '3074368596' SESSIONID:[6] '400227' USERHOST:[10] 'ANDY-AARON' CLIENT ADDRESS:[0] '' ACTION NUMBER:[1] '3' </string>"
windows_event;win_event;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T094422Z\samples\windows_event.xml;;7;2025-08-21T22:42:04.370382+00:00;INFO;34;Oracle.xe;Oracle.xe;andy-aaron;8052;0;;;;;;;;;;;;;;;;;;;;;;;;;;;INFORMATIONAL;generic;"<string>LENGTH: '662' ACTION :[411] 'select /*+ no_parallel(t) no_parallel_index(t) dbms_stats cursor_sharing_exact use_weak_name_resl dynamic_sampling(0) no_monitoring xmlindex_sel_idx_tbl opt_param('optimizer_inmemory_aware' 'false') no_substrb_pad leading(r t) use_nl(t) rowid(t) */ substrb(dump(t.""OBJ#"",16,0,64),1,240) d_3404126564, r.rwid, r.freq from ""SYS"".""CLU$"" t, table(:topntab) r where t.rowid = chartorowid(r.rwid) order by t.""OBJ#""' DATABASE USER:[3] 'SYS' PRIVILEGE :[4] 'NONE' CLIENT USER:[0] '' CLIENT TERMINAL:[10] 'ANDY-AARON' STATUS:[1] '0' DBID:[10] '3074368596' SESSIONID:[6] '400227' USERHOST:[10] 'ANDY-AARON' CLIENT ADDRESS:[0] '' ACTION NUMBER:[1] '3' </string>"
windows_event;win_event;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T094422Z\samples\windows_event.xml;;8;2025-08-21T22:42:04.478832+00:00;INFO;34;Oracle.xe;Oracle.xe;andy-aaron;8052;0;;;;;;;;;;;;;;;;;;;;;;;;;;;INFORMATIONAL;generic;"<string>LENGTH: '664' ACTION :[413] 'select /*+ no_parallel(t) no_parallel_index(t) dbms_stats cursor_sharing_exact use_weak_name_resl dynamic_sampling(0) no_monitoring xmlindex_sel_idx_tbl opt_param('optimizer_inmemory_aware' 'false') no_substrb_pad leading(r t) use_nl(t) rowid(t) */ substrb(dump(t.""FLAGS"",16,0,64),1,240) d_2385161744, r.rwid, r.freq from ""SYS"".""SEQ$"" t, table(:topntab) r where t.rowid = chartorowid(r.rwid) order by t.""FLAGS""' DATABASE USER:[3] 'SYS' PRIVILEGE :[4] 'NONE' CLIENT USER:[0] '' CLIENT TERMINAL:[10] 'ANDY-AARON' STATUS:[1] '0' DBID:[10] '3074368596' SESSIONID:[6] '400227' USERHOST:[10] 'ANDY-AARON' CLIENT ADDRESS:[0] '' ACTION NUMBER:[1] '3' </string>"
windows_event;win_event;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T094422Z\samples\windows_event.xml;;9;2025-08-21T22:42:04.486715+00:00;INFO;34;Oracle.xe;Oracle.xe;andy-aaron;8052;0;;;;;;;;;;;;;;;;;;;;;;;;;;;INFORMATIONAL;generic;"<string>LENGTH: '664' ACTION :[413] 'select /*+ no_parallel(t) no_parallel_index(t) dbms_stats cursor_sharing_exact use_weak_name_resl dynamic_sampling(0) no_monitoring xmlindex_sel_idx_tbl opt_param('optimizer_inmemory_aware' 'false') no_substrb_pad leading(r t) use_nl(t) rowid(t) */ substrb(dump(t.""FLAGS"",16,0,64),1,240) d_2385161744, r.rwid, r.freq from ""SYS"".""SEQ$"" t, table(:topntab) r where t.rowid = chartorowid(r.rwid) order by t.""FLAGS""' DATABASE USER:[3] 'SYS' PRIVILEGE :[4] 'NONE' CLIENT USER:[0] '' CLIENT TERMINAL:[10] 'ANDY-AARON' STATUS:[1] '0' DBID:[10] '3074368596' SESSIONID:[6] '400227' USERHOST:[10] 'ANDY-AARON' CLIENT ADDRESS:[0] '' ACTION NUMBER:[1] '3' </string>"
windows_event;win_event;E:\Cours\TFE\experiments\phase_dataset_strengthening\processed\multiformat_balanced_20260910T094422Z\samples\windows_event.xml;;10;2025-08-21T22:42:04.707699+00:00;INFO;34;Oracle.xe;Oracle.xe;andy-aaron;8052;0;;;;;;;;;;;;;;;;;;;;;;;;;;;INFORMATIONAL;generic;"<string>LENGTH: '684' ACTION :[433] 'select /*+ no_parallel(t) no_parallel_index(t) dbms_stats cursor_sharing_exact use_weak_name_resl dynamic_sampling(0) no_monitoring xmlindex_sel_idx_tbl opt_param('optimizer_inmemory_aware' 'false') no_substrb_pad leading(r t) use_nl(t) rowid(t) */ substrb(dump(t.""ADVISOR_ID"",16,0,64),1,240) d_2026044459, r.rwid, r.freq from ""SYS"".""WRI$_ADV_USAGE"" t, table(:topntab) r where t.rowid = chartorowid(r.rwid) order by t.""ADVISOR_ID""' DATABASE USER:[3] 'SYS' PRIVILEGE :[4] 'NONE' CLIENT USER:[0] '' CLIENT TERMINAL:[10] 'ANDY-AARON' STATUS:[1] '0' DBID:[10] '3074368596' SESSIONID:[6] '400227' USERHOST:[10] 'ANDY-AARON' CLIENT ADDRESS:[0] '' ACTION NUMBER:[1] '3' </string>"
