dataset,subtype,lineno,timestamp_iso,severity,event,source,component,host,message
bgl,bgl,1,2005-06-03T15:42:50.363779+00:00,INFO,-,KERNEL,KERNEL,R02-M1-N0-C:J12-U11,instruction cache parity error corrected
bgl,bgl,2,2005-06-03T15:42:50.527847+00:00,INFO,-,KERNEL,KERNEL,R02-M1-N0-C:J12-U11,instruction cache parity error corrected
bgl,bgl,3,2005-06-03T15:42:50.675872+00:00,INFO,-,KERNEL,KERNEL,R02-M1-N0-C:J12-U11,instruction cache parity error corrected
bgl,bgl,4,2005-06-03T15:42:50.823719+00:00,INFO,-,KERNEL,KERNEL,R02-M1-N0-C:J12-U11,instruction cache parity error corrected
bgl,bgl,5,2005-06-03T15:42:50.982731+00:00,INFO,-,KERNEL,KERNEL,R02-M1-N0-C:J12-U11,instruction cache parity error corrected
bgl,bgl,6,2005-06-03T15:42:51.131467+00:00,INFO,-,KERNEL,KERNEL,R02-M1-N0-C:J12-U11,instruction cache parity error corrected
bgl,bgl,7,2005-06-03T15:42:51.293532+00:00,INFO,-,KERNEL,KERNEL,R02-M1-N0-C:J12-U11,instruction cache parity error corrected
bgl,bgl,8,2005-06-03T15:42:51.428563+00:00,INFO,-,KERNEL,KERNEL,R02-M1-N0-C:J12-U11,instruction cache parity error corrected
bgl,bgl,9,2005-06-03T15:42:51.601412+00:00,INFO,-,KERNEL,KERNEL,R02-M1-N0-C:J12-U11,instruction cache parity error corrected
bgl,bgl,10,2005-06-03T15:42:51.749199+00:00,INFO,-,KERNEL,KERNEL,R02-M1-N0-C:J12-U11,instruction cache parity error corrected
bgl,bgl,11,2005-06-03T15:42:51.885834+00:00,INFO,-,KERNEL,KERNEL,R02-M1-N0-C:J12-U11,instruction cache parity error corrected
bgl,bgl,12,2005-06-03T15:42:52.041388+00:00,INFO,-,KERNEL,KERNEL,R02-M1-N0-C:J12-U11,instruction cache parity error corrected
bgl,bgl,13,2005-06-03T15:42:52.199063+00:00,INFO,-,KERNEL,KERNEL,R02-M1-N0-C:J12-U11,instruction cache parity error corrected
bgl,bgl,14,2005-06-03T15:42:52.345821+00:00,INFO,-,KERNEL,KERNEL,R02-M1-N0-C:J12-U11,instruction cache parity error corrected
bgl,bgl,15,2005-06-03T15:42:52.493353+00:00,INFO,-,KERNEL,KERNEL,R02-M1-N0-C:J12-U11,instruction cache parity error corrected
bgl,bgl,16,2005-06-03T15:42:52.638135+00:00,INFO,-,KERNEL,KERNEL,R02-M1-N0-C:J12-U11,instruction cache parity error corrected
bgl,bgl,17,2005-06-03T15:42:52.807927+00:00,INFO,-,KERNEL,KERNEL,R02-M1-N0-C:J12-U11,instruction cache parity error corrected
bgl,bgl,18,2005-06-03T15:42:52.951717+00:00,INFO,-,KERNEL,KERNEL,R02-M1-N0-C:J12-U11,instruction cache parity error corrected
bgl,bgl,19,2005-06-03T15:42:53.125780+00:00,INFO,-,KERNEL,KERNEL,R02-M1-N0-C:J12-U11,instruction cache parity error corrected
bgl,bgl,20,2005-06-03T15:42:53.276129+00:00,INFO,-,KERNEL,KERNEL,R02-M1-N0-C:J12-U11,instruction cache parity error corrected
bgl,bgl,21,2005-06-03T15:42:53.414979+00:00,INFO,-,KERNEL,KERNEL,R02-M1-N0-C:J12-U11,instruction cache parity error corrected
