Timestamp,Source IP,Destination IP,Source Port,Destination Port,Protocol,Log Type
2023-06-11 12:49:34,194.52.21.82,177.215.155.91,50898,14458,HTTP,Cloud Service
2023-06-04 14:58:16,33.203.231.62,251.163.209.181,35353,2887,SSH,Cloud Service
2023-06-28 10:19:15,68.66.56.95,35.116.160.251,5104,36128,HTTP,Cloud Service
2023-06-29 03:53:32,171.159.98.88,86.121.100.72,62269,37592,MySQL,Cloud Service
2023-06-25 22:33:36,91.187.149.252,179.177.190.146,28025,12897,SSH,Cloud Service
2023-06-04 17:40:09,1.21.126.172,14.188.158.9,49371,9457,FTP,Cloud Service
2023-06-19 13:24:22,246.1.40.254,136.155.22.106,8660,8630,FTP,Cloud Service
2023-06-12 05:05:21,4.11.209.160,121.112.136.180,60777,46729,HTTP,Cloud Service
2023-06-05 04:04:40,26.146.10.9,174.62.228.49,55333,45760,SMTP,Cloud Service
2023-06-27 03:27:55,189.53.34.87,144.217.22.210,441,31258,SMTP,Cloud Service
2023-06-07 16:38:57,165.129.215.140,136.136.130.141,49085,24321,SMTP,Cloud Service
2023-06-10 06:18:54,41.194.110.249,248.166.31.162,64512,3299,MySQL,Cloud Service
2023-06-19 07:52:32,109.192.64.181,55.217.176.134,21660,41705,SSH,Cloud Service
2023-06-21 12:28:08,115.67.157.163,98.48.187.13,3407,29994,MySQL,Cloud Service
2023-06-20 03:27:07,3.148.240.241,179.188.115.22,8999,59160,SSH,Cloud Service
2023-06-07 06:57:03,250.12.55.180,155.151.216.96,20086,39632,MySQL,Cloud Service
2023-06-04 10:31:29,132.13.42.113,199.21.254.214,37235,28301,SMTP,Cloud Service
2023-06-22 06:14:34,138.11.102.239,46.94.21.175,58609,8683,MySQL,Cloud Service
2023-06-06 09:19:20,85.201.230.177,117.232.10.125,14370,1878,MySQL,Cloud Service
2023-06-03 22:03:43,255.219.190.5,212.98.171.134,41689,47583,SSH,Cloud Service
2023-06-02 01:32:57,186.187.106.52,19.132.236.175,22676,6845,SMTP,Cloud Service
2023-06-12 00:07:34,21.51.139.178,30.177.97.106,39412,59409,MySQL,Cloud Service
2023-06-18 04:37:08,23.166.128.160,249.147.231.7,58248,16712,SSH,Cloud Service
2023-06-24 00:06:34,185.233.34.79,0.138.237.153,57992,28154,SSH,Cloud Service
2023-06-01 18:17:48,12.83.75.69,32.157.244.137,62686,43701,FTP,Cloud Service
2023-06-01 21:31:32,42.117.237.202,229.211.201.49,40091,55462,MySQL,Cloud Service
