timestamp,source_ip,city,username,service,attempts,status,port,protocol
1992-08-08T23:59:11.713727,164.218.94.112,Berlin,nginx,sudo,1,Success,22,N/A
2024-01-09T23:45:07.484945,45.250.247.54,Berlin,nginx,cron,1,Success,22,TELNET
1998-03-04T19:23:04.009277,126.48.141.168,New York,ubuntu,cron,1,Failed,2222,TELNET
2004-07-08T14:46:58.281633,114.89.244.50,London,ec2-user,su,2,Failed,443,TELNET
1987-04-25T10:38:42.577672,186.144.249.195,New York,ec2-user,su,1,Success,2222,N/A
1994-03-28T02:41:36.755638,141.22.41.210,New York,wcastro,cron,1,Success,22,N/A
1984-07-17T01:08:09.201708,160.57.131.202,Tokyo,hramos,ssh,4,Failed,80,SSH2
1975-03-17T16:09:37.924786,170.1.43.149,Tokyo,admin,login,1,Failed,22,N/A
2004-02-27T15:55:16.107385,174.170.66.193,Singapore,www-data,su,1,Success,22,SSH2
1973-07-08T03:42:58.306653,215.24.50.197,Tokyo,jessicapadilla,cron,1,Success,443,RDP
2000-04-23T18:00:39.483619,84.123.198.72,London,lindathomas,sudo,1,Failed,22,N/A
2018-11-06T17:12:01.309397,198.126.160.243,New York,nginx,sudo,1,Success,2222,SSH2
1976-02-02T12:37:11.922890,4.255.156.194,Berlin,ubuntu,login,1,Success,22,SSH2
2000-07-23T11:58:09.651808,163.64.80.149,Berlin,nginx,sudo,1,Success,80,N/A
2023-10-21T05:19:12.311891,146.104.250.3,London,www-data,login,1,Failed,443,RDP
1991-06-27T13:21:47.976580,146.148.194.51,New York,zdavis,login,2,Failed,2222,RDP
2004-03-16T12:36:55.677355,158.127.123.223,London,jaimelopez,cron,2,Failed,2222,RDP
2018-12-11T00:46:24.548733,210.145.100.235,London,daviskatherine,sudo,2,Failed,443,TELNET
2020-02-20T09:39:09.753025,220.133.127.72,Berlin,www-data,sudo,3,Failed,80,TELNET
2016-10-08T19:33:19.675434,11.196.157.118,Berlin,www-data,ssh,3,Success,22,SSH2
2023-01-07T06:44:03.947014,156.214.6.160,Berlin,pattylawrence,sudo,1,Success,22,N/A
1997-07-02T12:05:52.446563,150.223.28.38,Singapore,ec2-user,cron,1,Success,22,RDP
1974-08-07T11:04:44.403280,159.33.230.221,Tokyo,nginx,login,1,Success,443,TELNET
2002-10-09T13:44:01.234486,44.47.42.195,New York,admin,login,1,Success,443,TELNET
1983-07-27T03:09:34.404590,179.191.144.106,Berlin,ubuntu,login,1,Success,22,RDP
1993-10-15T04:11:09.987429,73.93.239.254,Berlin,nathanjackson,ssh,1,Failed,2222,TELNET
2017-09-29T17:52:27.489031,113.47.23.95,Singapore,www-data,cron,3,Success,2222,SSH2
1971-06-29T07:22:55.209891,135.169.23.53,London,root,ssh,1,Failed,80,SSH2
1991-11-03T04:08:52.440096,39.109.76.205,New York,ec2-user,login,1,Success,22,SSH2
2024-03-08T22:50:13.518058,191.85.225.209,Tokyo,jacobsjames,su,3,Failed,22,SSH2
1981-10-03T08:08:14.548488,160.93.81.67,London,ubuntu,ssh,1,Success,22,N/A
2000-05-19T03:26:28.969397,144.162.135.8,New York,ec2-user,su,1,Success,80,N/A
1989-07-21T23:14:26.624610,111.121.94.152,Berlin,walkerdeborah,cron,2,Failed,22,SSH2
1991-11-04T12:49:43.595146,123.195.0.176,Berlin,carlsonholly,cron,1,Success,22,N/A
2012-11-01T01:57:00.431985,162.136.5.197,New York,heidiharris,sudo,1,Success,22,RDP
2017-03-11T22:31:58.263463,48.11.66.235,Tokyo,admin,login,1,Failed,2222,SSH2
1979-10-05T07:22:01.658465,29.29.241.235,Tokyo,carlsonscott,sudo,1,Success,80,RDP
1978-07-25T20:32:55.393293,157.79.31.38,New York,ec2-user,login,1,Failed,36100,N/A
2011-05-25T14:07:51.493548,34.236.176.252,Berlin,admin,cron,4,Success,22,SSH2
2000-05-20T20:35:12.344712,94.214.65.70,Tokyo,nginx,su,4,Failed,22,SSH2
2022-11-09T23:44:19.554289,136.120.84.37,New York,chelsea59,ssh,1,Failed,22,SSH2
2009-12-12T09:42:49.046766,58.133.211.7,New York,admin,cron,4,Failed,22,N/A
2016-04-09T02:00:31.227366,76.78.204.173,New York,admin,su,1,Success,22,N/A
2008-12-30T01:15:59.687235,107.145.207.4,Singapore,ubuntu,login,3,Failed,443,RDP
2005-07-31T14:48:58.451725,58.133.162.107,New York,root,sudo,5,Failed,22,RDP
1971-10-06T03:57:32.849781,221.98.28.167,Berlin,ubuntu,su,1,Failed,443,TELNET
2013-02-07T16:59:39.072154,138.154.107.49,Berlin,ec2-user,cron,1,Success,443,N/A
1994-11-11T01:30:32.643563,121.66.241.45,Tokyo,admin,su,4,Success,22,SSH2
1994-12-01T16:57:38.134937,208.0.145.9,New York,admin,su,1,Failed,22,TELNET
1996-01-24T05:34:12.273963,166.164.103.33,London,simpsonlarry,sudo,1,Success,80,SSH2
2024-08-16T14:37:50.285758,173.11.78.252,Singapore,amymccarty,cron,3,Failed,2222,SSH2
2025-01-31T19:25:15.947009,58.184.19.84,New York,ec2-user,ssh,1,Success,22,TELNET
1987-08-26T09:03:26.516981,100.128.154.129,New York,admin,ssh,1,Success,22,N/A
2024-09-19T17:13:00.228002,134.66.25.69,London,nginx,sudo,1,Failed,22,TELNET
1980-08-19T04:36:44.798074,140.180.126.6,Berlin,ec2-user,su,1,Success,22,TELNET
1996-07-19T21:10:09.610295,210.154.97.183,London,joshua21,cron,2,Failed,22,TELNET
1971-03-22T09:31:36.421672,211.180.118.252,London,www-data,sudo,2,Failed,22,SSH2
2018-01-30T20:03:44.070678,86.54.29.221,Tokyo,admin,su,1,Failed,80,N/A
1976-06-04T21:45:50.569277,104.76.20.152,Tokyo,ec2-user,login,1,Success,22,N/A
1972-05-12T09:13:52.500707,103.9.230.197,London,ubuntu,cron,4,Failed,2222,RDP
2017-03-31T00:12:40.440914,203.254.150.156,Tokyo,stacey90,login,2,Failed,80,RDP
2009-10-06T21:41:11.974677,221.239.33.43,Pyongyang,admin,ssh,1,Success,443,RDP
1990-10-16T16:21:29.851575,5.169.170.43,Tokyo,ubuntu,sudo,4,Failed,22,RDP
1990-12-19T11:46:31.780915,40.220.122.139,London,ec2-user,sudo,1,Failed,22,SSH2
1978-06-07T03:15:41.602070,55.128.58.155,Berlin,nginx,login,4,Failed,22,RDP
1972-04-20T01:35:29.494496,108.161.235.27,New York,morganchristine,ssh,1,Success,443,TELNET
1990-02-23T08:15:43.119118,196.132.192.152,Tokyo,admin,su,1,Success,22,N/A
1986-05-19T03:05:01.501866,23.171.172.23,London,admin,login,3,Success,22,RDP
2022-02-14T20:16:08.253525,36.137.4.121,Singapore,root,ssh,1,Success,22,TELNET
1986-11-24T00:00:51.821203,174.100.208.87,Berlin,nginx,cron,1,Failed,22,SSH2
