_index,_id,_version,_score,_source.agent.name,_source.agent.id,_source.manager.name,_source.data.file,_source.data.title,_source.rule.firedtimes,_source.rule.mail,_source.rule.level,_source.rule.pci_dss,_source.rule.description,_source.rule.groups,_source.rule.id,_source.rule.gdpr,_source.decoder.name,_source.full_log,_source.input.type,_source.@timestamp,_source.location,_source.id,_source.timestamp,_source.predecoder.hostname,_source.predecoder.program_name,_source.predecoder.timestamp,_source.agent.ip,_source.data.id,_source.decoder.parent,_source.rule.gpg13,_source.data.dpkg_status,_source.data.package,_source.data.arch,_source.data.version,_source.rule.hipaa,_source.rule.tsc,_source.rule.nist_800_53,_source.decoder,_source.syscheck.uname_after,_source.syscheck.mtime_after,_source.syscheck.inode_before,_source.syscheck.size_after,_source.syscheck.gid_after,_source.syscheck.md5_before,_source.syscheck.sha256_before,_source.syscheck.mtime_before,_source.syscheck.mode,_source.syscheck.path,_source.syscheck.sha1_after,_source.syscheck.changed_attributes,_source.syscheck.gname_after,_source.syscheck.uid_after,_source.syscheck.perm_after,_source.syscheck.event,_source.syscheck.md5_after,_source.syscheck.sha1_before,_source.syscheck.sha256_after,_source.syscheck.inode_after,_source.rule.mitre.technique,_source.rule.mitre.id,_source.rule.mitre.tactic,_source.data.extra_data,_source.data.status,_source.data.srcuser,_source.data.dstuser,_source.data.tty,_source.data.pwd,_source.data.command,_source.decoder.ftscomment,_source.data.uid,_source.data.srcip,_source.data.srcport,_source.data.protocol,_source.data.url,_source.data.level,_source.data.sca.scan_id,_source.data.sca.check.result,_source.data.sca.check.remediation,_source.data.sca.check.previous_result,_source.data.sca.check.file,_source.data.sca.check.compliance.cis_csc_v8,_source.data.sca.check.compliance.soc_2,_source.data.sca.check.compliance.hipaa,_source.data.sca.check.compliance.pci_dss_4.0,_source.data.sca.check.compliance.nist_sp_800-53,_source.data.sca.check.compliance.pci_dss_3.2.1,_source.data.sca.check.compliance.mitre_tactics,_source.data.sca.check.compliance.mitre_techniques,_source.data.sca.check.compliance.cis,_source.data.sca.check.compliance.cmmc_v2.0,_source.data.sca.check.compliance.cis_csc_v7,_source.data.sca.check.description,_source.data.sca.check.id,_source.data.sca.check.title,_source.data.sca.check.rationale,_source.data.sca.type,_source.data.sca.policy,_source.rule.cis_csc_v8,_source.rule.nist_sp_800-53,_source.rule.mitre_tactics,_source.rule.mitre_techniques,_source.rule.cis,_source.rule.soc_2,_source.rule.cis_csc_v7,_source.data.audit.pid,_source.data.audit.id,_source.data.audit.type,_source.data.audit.command,_source.data.sca.check.compliance.pci_dss_v4.0,_source.data.sca.check.compliance.pci_dss_v3.2.1,_source.data.sca.check.compliance.mitre_mitigations,_source.data.sca.check.command,_source.rule.mitre_mitigations,_source.data.sca.check.directory,_source.data.sca.check.reason,_source.data.sca.check.references,_source.data.audit.uid,_source.data.audit.res,_source.data.audit.auid,_source.data.audit.gid,_source.data.audit.exe,_source.data.audit.session,_source.syscheck.size_before,_source.syscheck.perm_before,_source.data.audit.list,_source.data.audit.key,_source.data.sca.score,_source.data.sca.total_checks,_source.data.sca.file,_source.data.sca.policy_id,_source.data.sca.invalid,_source.data.sca.description,_source.data.sca.passed,_source.data.sca.failed,_source.data.euid
wazuh-alerts-4.x-2023.10.06,u64uBosBxn6h-__mXaAv,1,1,ubuntu,000,ubuntu,/usr/bin/diff,Trojaned version of file detected.,2,false,7,"[""10.6.1""]",Host-based anomaly detection event (rootcheck).,"[""ossec"",""rootcheck""]",510,"[""IV_35.7.d""]",rootcheck,Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).,log,"Oct 6, 2023 @ 18:09:18.982",rootcheck,1696615758.370,"Oct 6, 2023 @ 18:09:18.982", , , , , , , , , , , , , , ,"{""name"":""rootcheck""}", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.06,w647BosBxn6h-__mk6Cw,1,1,machine-1,001,ubuntu, , ,2,false,3, ,USB device disconnected,"[""usb""]",81102, ,kernel,"Oct  6 23:14:04 sohaib-virtual-machine kernel: [13210.600871] usb 1-2.1: USB disconnect, device number 4",log,"Oct 6, 2023 @ 18:24:01.733",/var/log/kern.log,1696616641.6520,"Oct 6, 2023 @ 18:24:01.733",sohaib-virtual-machine,kernel,Oct  6 23:14:04,192.168.204.130,usb,kernel, , , , , , , , ,"{""parent"":""kernel"",""name"":""kernel""}", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.06,xK47BosBxn6h-__mk6Cw,1,1,machine-1,001,ubuntu, , ,1,false,3, ,Attached USB Storage,"[""usb""]",81101, ,kernel,"Oct  6 23:23:54 sohaib-virtual-machine kernel: [13211.825771] usb 1-2.1: New USB device found, idVendor=0e0f, idProduct=0008, bcdDevice= 1.00",log,"Oct 6, 2023 @ 18:24:02.038",/var/log/kern.log,1696616642.6766,"Oct 6, 2023 @ 18:24:02.038",sohaib-virtual-machine,kernel,Oct  6 23:23:54,192.168.204.130,usb,kernel,"[""4.8""]", , , , , , , ,"{""parent"":""kernel"",""name"":""kernel""}", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.06,x648BosBxn6h-__mVaDC,1,1,machine-1,001,ubuntu, , ,1,false,7,"[""10.6.1"",""10.2.7""]",New dpkg (Debian Package) installed.,"[""syslog"",""dpkg"",""config_changed""]",2902,"[""IV_35.7.d""]",dpkg-decoder,2023-10-06 23:24:49 status installed linux-modules-extra-6.2.0-26-generic:amd64 6.2.0-26.26~22.04.1,log,"Oct 6, 2023 @ 18:24:51.482",/var/log/dpkg.log,1696616691.8702,"Oct 6, 2023 @ 18:24:51.482", , , ,192.168.204.130, , ,"[""4.10""]",status installed,linux-modules-extra-6.2.0-26-generic,amd64,6.2.0-26.26~22.04.1,"[""164.312.b""]","[""CC7.2"",""CC7.3"",""CC6.8"",""CC8.1""]","[""AU.6"",""AU.14""]","{""name"":""dpkg-decoder""}", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.06,yK48BosBxn6h-__mVaDC,1,1,machine-1,001,ubuntu, , ,1,false,5,"[""10.2.4"",""10.2.5""]",syslog: User authentication failure.,"[""syslog"",""access_control"",""authentication_failed""]",2501,"[""IV_35.7.d"",""IV_32.2""]", ,Oct  6 23:24:52 sohaib-virtual-machine gdm-password]: pam_unix(gdm-password:auth): authentication failure; logname= uid=0 euid=0 tty=/dev/tty1 ruser= rhost=  user=sohaib,log,"Oct 6, 2023 @ 18:24:54.818",/var/log/auth.log,1696616694.9242,"Oct 6, 2023 @ 18:24:54.818",sohaib-virtual-machine, ,Oct  6 23:24:52,192.168.204.130, , ,"[""7.8""]", , , , ,"[""164.312.b""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]","[""AU.14"",""AC.7""]",{}, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.06,za48BosBxn6h-__muKAf,1,1,machine-1,001,ubuntu, , ,4,false,7,"[""11.5""]",Integrity checksum changed.,"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]",550,"[""II_5.1.f""]",syscheck_integrity_changed,"File '/etc/opt/kaspersky/klnagent/1103/1.0.0.0/NagentFlags/KLNAG_FLAGS_DETECT_REVERT_ID' modified
Mode: scheduled
Changed attributes: mtime,inode,md5,sha1,sha256
Old modification time was: '1696529162', now it is '1696536226'
Old inode was: '132851', now it is '132896'
Old md5sum was: '82b64f6e8ee3835c4eb0babb394d5f6a'
New md5sum is : 'a0711e9dfd26d2ba3cdd36d4d557cd73'
Old sha1sum was: '317938fbe5671eeccee445fa8184fa08731bd43d'
New sha1sum is : '4d0cc180e804d57cdecbc994213c175817474e9b'
Old sha256sum was: '4f9d402a5ef58d3dfe14c39c6b047c412f4093f4269f73189a04fd36ef77216e'
New sha256sum is : '6507f936a2fc6a88e310041d9367f42305647153ae93c757624f4d7ac9ae5293'
",log,"Oct 6, 2023 @ 18:25:17.361",syscheck,1696616717.12343,"Oct 6, 2023 @ 18:25:17.361", , , ,192.168.204.130, , ,"[""4.11""]", , , , ,"[""164.312.c.1"",""164.312.c.2""]","[""PI1.4"",""PI1.5"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]","[""SI.7""]","{""name"":""syscheck_integrity_changed""}",root,2023-10-05T20:03:46,132851,32,0,82b64f6e8ee3835c4eb0babb394d5f6a,4f9d402a5ef58d3dfe14c39c6b047c412f4093f4269f73189a04fd36ef77216e,2023-10-05T18:06:02,scheduled,/etc/opt/kaspersky/klnagent/1103/1.0.0.0/NagentFlags/KLNAG_FLAGS_DETECT_REVERT_ID,4d0cc180e804d57cdecbc994213c175817474e9b,"[""mtime"",""inode"",""md5"",""sha1"",""sha256""]",root,0,rw-rw----,modified,a0711e9dfd26d2ba3cdd36d4d557cd73,317938fbe5671eeccee445fa8184fa08731bd43d,6507f936a2fc6a88e310041d9367f42305647153ae93c757624f4d7ac9ae5293,132896,"[""Stored Data Manipulation""]","[""T1565.001""]","[""Impact""]", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.07,j6s1C4sBRGOl_uvR9Jd0,1,1,ubuntu,000,ubuntu,/usr/bin/diff,Trojaned version of file detected.,2,false,7,"[""10.6.1""]",Host-based anomaly detection event (rootcheck).,"[""ossec"",""rootcheck""]",510,"[""IV_35.7.d""]",rootcheck,Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).,log,"Oct 7, 2023 @ 16:39:24.151",rootcheck,1696696764.370,"Oct 7, 2023 @ 16:39:24.151", , , , , , , , , , , , , , ,"{""name"":""rootcheck""}", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.07,kKs1C4sBRGOl_uvR9JeB,1,1,ubuntu,000,ubuntu, , ,1,false,3,"[""10.6.1""]",Wazuh server started.,"[""ossec""]",502,"[""IV_35.7.d""]",ossec,ossec: Manager started.,log,"Oct 7, 2023 @ 16:39:32.555",wazuh-monitord,1696696772.750,"Oct 7, 2023 @ 16:39:32.555", , , , , , ,"[""10.1""]", , , , ,"[""164.312.b""]","[""CC7.2"",""CC7.3""]","[""AU.6""]","{""name"":""ossec""}", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.07,kas1C4sBRGOl_uvR9JeB,1,1,ubuntu,000,ubuntu,/bin/diff,Trojaned version of file detected.,1,false,7,"[""10.6.1""]",Host-based anomaly detection event (rootcheck).,"[""ossec"",""rootcheck""]",510,"[""IV_35.7.d""]",rootcheck,Trojaned version of file '/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).,log,"Oct 7, 2023 @ 16:46:19.484",rootcheck,1696697179.994,"Oct 7, 2023 @ 16:46:19.484", , , , , , , , , , , , , , ,"{""name"":""rootcheck""}", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.07,k6s1C4sBRGOl_uvR9JeB,1,1,ubuntu,000,ubuntu, , ,1,false,3,"[""10.6.1""]",Wazuh server started.,"[""ossec""]",502,"[""IV_35.7.d""]",ossec,ossec: Manager started.,log,"Oct 7, 2023 @ 16:46:27.322",wazuh-monitord,1696697187.1747,"Oct 7, 2023 @ 16:46:27.322", , , , , , ,"[""10.1""]", , , , ,"[""164.312.b""]","[""CC7.2"",""CC7.3""]","[""AU.6""]","{""name"":""ossec""}", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.07,l6s1C4sBRGOl_uvR9JeB,1,1,machine-1,001,ubuntu, , ,1,false,3,"[""10.6.1"",""10.2.6""]",Wazuh agent started.,"[""ossec""]",503,"[""IV_35.7.d""]",ossec,ossec: Agent started: 'machine-1->any'.,log,"Oct 7, 2023 @ 17:16:03.689",wazuh-agent,1696698963.2991,"Oct 7, 2023 @ 17:16:03.689", , , ,192.168.204.130, ,ossec,"[""10.1""]", , , , ,"[""164.312.b""]","[""CC7.2"",""CC7.3"",""CC6.8""]","[""AU.6"",""AU.14"",""AU.5""]","{""parent"":""ossec"",""name"":""ossec""}", , , , , , , , , , , , , , , , , , , , , , , ,machine-1->any, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.07,mas1C4sBRGOl_uvR9JeB,1,1,machine-1,001,ubuntu,/usr/bin/diff,Trojaned version of file detected.,4,false,7,"[""10.6.1""]",Host-based anomaly detection event (rootcheck).,"[""ossec"",""rootcheck""]",510,"[""IV_35.7.d""]",rootcheck,Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).,log,"Oct 7, 2023 @ 17:16:15.939",rootcheck,1696698975.3699,"Oct 7, 2023 @ 17:16:15.939", , , , , , , , , , , , , , ,"{""name"":""rootcheck""}", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.07,m6s1C4sBRGOl_uvR9JeB,1,1,machine-1,001,ubuntu, , ,3,false,3, ,Apparmor DENIED,"[""local"",""syslog"",""apparmor""]",52002, ,kernel,"Oct  7 22:16:06 sohaib-virtual-machine kernel: [   80.888915] audit: type=1400 audit(1696698966.552:44): apparmor=""DENIED"" operation=""capable"" class=""cap"" profile=""/snap/snapd/20092/usr/lib/snapd/snap-confine"" pid=1287 comm=""snap-confine"" capability=12  capname=""net_admin""",log,"Oct 7, 2023 @ 17:16:24.551",/var/log/kern.log,1696698984.4512,"Oct 7, 2023 @ 17:16:24.551",sohaib-virtual-machine,kernel,Oct  7 22:16:06, , ,kernel, , , , , , , , ,"{""parent"":""kernel"",""name"":""kernel""}", , , , , , , , , , , , , , , , , , , , , , , ,capable,DENIED, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.07,nqs1C4sBRGOl_uvR9JeB,1,1,machine-1,001,ubuntu, , ,1,false,5, ,Systemd: Service exited due to a failure.,"[""local"",""systemd""]",40704,"[""IV_35.7.d""]",systemd,"Oct  7 22:16:09 sohaib-virtual-machine systemd[1115]: snap.snapd-desktop-integration.snapd-desktop-integration.service: Main process exited, code=exited, status=1/FAILURE",log,"Oct 7, 2023 @ 17:16:28.539",/var/log/syslog,1696698988.5781,"Oct 7, 2023 @ 17:16:28.539",sohaib-virtual-machine,systemd,Oct  7 22:16:09, , , ,"[""4.3""]", , , , , , , ,"{""name"":""systemd""}", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.07,oqs1C4sBRGOl_uvR9JeB,1,1,machine-1,001,ubuntu, , ,5,false,3, ,Apparmor DENIED,"[""local"",""syslog"",""apparmor""]",52002, ,kernel,"Oct  7 22:20:43 sohaib-virtual-machine kernel: [  358.018420] audit: type=1400 audit(1696699243.684:46): apparmor=""DENIED"" operation=""capable"" class=""cap"" profile=""/snap/snapd/20092/usr/lib/snapd/snap-confine"" pid=3597 comm=""snap-confine"" capability=12  capname=""net_admin""",log,"Oct 7, 2023 @ 17:21:02.951",/var/log/syslog,1696699262.7170,"Oct 7, 2023 @ 17:21:02.951",sohaib-virtual-machine,kernel,Oct  7 22:20:43, , ,kernel, , , , , , , , ,"{""parent"":""kernel"",""name"":""kernel""}", , , , , , , , , , , , , , , , , , , , , , , ,capable,DENIED, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
