_index,_id,_version,_score,_source.agent.ip,_source.agent.name,_source.agent.id,_source.manager.name,_source.data.protocol,_source.data.srcip,_source.data.id,_source.data.url,_source.rule.firedtimes,_source.rule.mail,_source.rule.level,_source.rule.pci_dss,_source.rule.tsc,_source.rule.description,_source.rule.groups,_source.rule.id,_source.rule.nist_800_53,_source.rule.gdpr,_source.decoder.name,_source.full_log,_source.input.type,_source.@timestamp,_source.location,_source.id,_source.timestamp,_source.rule.mitre.technique,_source.rule.mitre.id,_source.rule.mitre.tactic,_source.previous_output,_source.rule.frequency,_source.rule.info,_source.predecoder.hostname,_source.predecoder.program_name,_source.predecoder.timestamp,_source.data.dstuser,_source.data.srcport,_source.decoder.parent,_source.rule.hipaa
wazuh-alerts-4.x-2023.10.20,LMBWTosBpjjGT_ibL8hm,1,1,192.168.40.130,machine-1,001,ubuntu,GET,192.168.204.1,404,/lib.inc.php?pm_path=http://example.com&sfx=.txt,6170,false,5,"[""6.5"",""11.4""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Web server 400 error code.,"[""web"",""accesslog"",""attack""]",31101,"[""SA.11"",""SI.4""]","[""IV_35.7.d""]",web-accesslog,"192.168.204.1 - - [20/Oct/2023:23:25:44 +0500] ""GET /lib.inc.php?pm_path=http://example.com&sfx=.txt HTTP/1.1"" 404 494 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)""",log,"Oct 20, 2023 @ 18:25:46.195",/var/log/apache2/access.log,1697826346.5991782,"Oct 20, 2023 @ 18:25:46.195", , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.20,LcBWTosBpjjGT_ibL8hm,1,1,192.168.40.130,machine-1,001,ubuntu,GET,192.168.204.1,404,/plume/index.php,6171,false,5,"[""6.5"",""11.4""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Web server 400 error code.,"[""web"",""accesslog"",""attack""]",31101,"[""SA.11"",""SI.4""]","[""IV_35.7.d""]",web-accesslog,"192.168.204.1 - - [20/Oct/2023:23:25:44 +0500] ""GET /plume/index.php HTTP/1.1"" 404 494 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)""",log,"Oct 20, 2023 @ 18:25:46.196",/var/log/apache2/access.log,1697826346.5992312,"Oct 20, 2023 @ 18:25:46.196", , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.20,L8BWTosBpjjGT_ibL8hm,1,1,192.168.40.130,machine-1,001,ubuntu,GET,192.168.204.1,404,/dagent/downloadreport.asp?agentid=1111&pass=2%3bSELECT%20plus_downloadreport_sql_injections.nasl,11,false,6,"[""6.5"",""11.4"",""6.5.1""]", ,SQL injection attempt.,"[""web"",""accesslog"",""attack"",""sqlinjection""]",31171, ,"[""IV_35.7.d""]",web-accesslog,"192.168.204.1 - - [20/Oct/2023:23:25:44 +0500] ""GET /dagent/downloadreport.asp?agentid=1111&pass=2%3bSELECT%20plus_downloadreport_sql_injections.nasl HTTP/1.1"" 404 494 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)""",log,"Oct 20, 2023 @ 18:25:46.197",/var/log/apache2/access.log,1697826346.5993303,"Oct 20, 2023 @ 18:25:46.197", , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.20,NMBWTosBpjjGT_ibL8hm,1,1,192.168.40.130,machine-1,001,ubuntu,GET,192.168.204.1,404,/DVWA/server.pt?in_ra_groupoperator_1=and&in_hi_userid=1&in_hi_req_objtype=1&space=SearchResult&in_tx_fulltext=*&in_hi_groupoperator_1=and&parentid=1&in_hi_req_apps=1&cached=false&control=advancedstart&in_hi_revealed_1=0&in_hi_req_page=10&in_hi_depth_1=0&in_hi_totalgroups=1&parentname=AdvancedSearch&in_ra_topoperator=and,6176,false,5,"[""6.5"",""11.4""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Web server 400 error code.,"[""web"",""accesslog"",""attack""]",31101,"[""SA.11"",""SI.4""]","[""IV_35.7.d""]",web-accesslog,"192.168.204.1 - - [20/Oct/2023:23:25:44 +0500] ""GET /DVWA/server.pt?in_ra_groupoperator_1=and&in_hi_userid=1&in_hi_req_objtype=1&space=SearchResult&in_tx_fulltext=*&in_hi_groupoperator_1=and&parentid=1&in_hi_req_apps=1&cached=false&control=advancedstart&in_hi_revealed_1=0&in_hi_req_page=10&in_hi_depth_1=0&in_hi_totalgroups=1&parentname=AdvancedSearch&in_ra_topoperator=and HTTP/1.1"" 404 494 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)""",log,"Oct 20, 2023 @ 18:25:46.202",/var/log/apache2/access.log,1697826346.5996780,"Oct 20, 2023 @ 18:25:46.202", , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.20,NcBWTosBpjjGT_ibL8hm,1,1,192.168.40.130,machine-1,001,ubuntu,GET,192.168.204.1,404,/portal/server.pt?open=space&name=%22%3b%7d%3c%2fscript%3e%3cscript%3ealert('plumtree_name_xss.nasl')%3c%2fscript%3e,834,false,6,"[""6.5"",""11.4"",""6.5.7""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",XSS (Cross Site Scripting) attempt.,"[""web"",""accesslog"",""attack""]",31105,"[""SA.11"",""SI.4""]","[""IV_35.7.d""]",web-accesslog,"192.168.204.1 - - [20/Oct/2023:23:25:44 +0500] ""GET /portal/server.pt?open=space&name=%22%3b%7d%3c%2fscript%3e%3cscript%3ealert('plumtree_name_xss.nasl')%3c%2fscript%3e HTTP/1.1"" 404 494 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)""",log,"Oct 20, 2023 @ 18:25:46.204",/var/log/apache2/access.log,1697826346.5997584,"Oct 20, 2023 @ 18:25:46.204","[""JavaScript""]","[""T1059.007""]","[""Execution""]", , , , , , , , , , 
wazuh-alerts-4.x-2023.10.20,N8BWTosBpjjGT_ibL8hm,1,1,192.168.40.130,machine-1,001,ubuntu,GET,192.168.204.1,404,/cgi-bin/server.pt?open=space&name=%22%3b%7d%3c%2fscript%3e%3cscript%3ealert('plumtree_name_xss.nasl')%3c%2fscript%3e,835,false,6,"[""6.5"",""11.4"",""6.5.7""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",XSS (Cross Site Scripting) attempt.,"[""web"",""accesslog"",""attack""]",31105,"[""SA.11"",""SI.4""]","[""IV_35.7.d""]",web-accesslog,"192.168.204.1 - - [20/Oct/2023:23:25:44 +0500] ""GET /cgi-bin/server.pt?open=space&name=%22%3b%7d%3c%2fscript%3e%3cscript%3ealert('plumtree_name_xss.nasl')%3c%2fscript%3e HTTP/1.1"" 404 494 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)""",log,"Oct 20, 2023 @ 18:25:46.206",/var/log/apache2/access.log,1697826346.5999004,"Oct 20, 2023 @ 18:25:46.206","[""JavaScript""]","[""T1059.007""]","[""Execution""]", , , , , , , , , , 
wazuh-alerts-4.x-2023.10.20,OcBWTosBpjjGT_ibL8hm,1,1,192.168.40.130,machine-1,001,ubuntu,GET,192.168.204.1,404,/DVWA/server.pt?open=space&name=%22%3b%7d%3c%2fscript%3e%3cscript%3ealert('plumtree_name_xss.nasl')%3c%2fscript%3e,837,false,6,"[""6.5"",""11.4"",""6.5.7""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",XSS (Cross Site Scripting) attempt.,"[""web"",""accesslog"",""attack""]",31105,"[""SA.11"",""SI.4""]","[""IV_35.7.d""]",web-accesslog,"192.168.204.1 - - [20/Oct/2023:23:25:44 +0500] ""GET /DVWA/server.pt?open=space&name=%22%3b%7d%3c%2fscript%3e%3cscript%3ealert('plumtree_name_xss.nasl')%3c%2fscript%3e HTTP/1.1"" 404 494 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)""",log,"Oct 20, 2023 @ 18:25:46.207",/var/log/apache2/access.log,1697826346.6000248,"Oct 20, 2023 @ 18:25:46.207","[""JavaScript""]","[""T1059.007""]","[""Execution""]", , , , , , , , , , 
wazuh-alerts-4.x-2023.10.20,PsBWTosBpjjGT_ibL8hm,1,1,192.168.40.130,machine-1,001,ubuntu,GET,192.168.204.1,404,/scripts/update.php,6181,false,5,"[""6.5"",""11.4""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Web server 400 error code.,"[""web"",""accesslog"",""attack""]",31101,"[""SA.11"",""SI.4""]","[""IV_35.7.d""]",web-accesslog,"192.168.204.1 - - [20/Oct/2023:23:25:44 +0500] ""GET /scripts/update.php HTTP/1.1"" 404 494 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)""",log,"Oct 20, 2023 @ 18:25:46.212",/var/log/apache2/access.log,1697826346.6005706,"Oct 20, 2023 @ 18:25:46.212", , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.20,P8BWTosBpjjGT_ibL8hm,1,1,192.168.40.130,machine-1,001,ubuntu,GET,192.168.204.1,404,/DVWA/update.php,475,false,10,"[""6.5"",""11.4""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Multiple web server 400 error codes from same source ip.,"[""web"",""accesslog"",""web_scan"",""recon""]",31151,"[""SA.11"",""SI.4""]","[""IV_35.7.d""]",web-accesslog,"192.168.204.1 - - [20/Oct/2023:23:25:44 +0500] ""GET /DVWA/update.php HTTP/1.1"" 404 494 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)""",log,"Oct 20, 2023 @ 18:25:46.213",/var/log/apache2/access.log,1697826346.6006207,"Oct 20, 2023 @ 18:25:46.213","[""Vulnerability Scanning""]","[""T1595.002""]","[""Reconnaissance""]","192.168.204.1 - - [20/Oct/2023:23:25:44 +0500] ""GET /scripts/update.php HTTP/1.1"" 404 494 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)""
192.168.204.1 - - [20/Oct/2023:23:25:44 +0500] ""GET /cms/update.php HTTP/1.1"" 404 494 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)""
192.168.204.1 - - [20/Oct/2023:23:25:44 +0500] ""GET /pluck/update.php HTTP/1.1"" 404 494 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)""
192.168.204.1 - - [20/Oct/2023:23:25:44 +0500] ""GET /dagent/checkprofile.asp?agentid=11111'plus_agentid_sql_injection.nasl HTTP/1.1"" 404 494 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)""
192.168.204.1 - - [20/Oct/2023:23:25:44 +0500] ""GET /server.pt?in_ra_groupoperator_1=and&in_hi_userid=1&in_hi_req_objtype=1&space=SearchResult&in_tx_fulltext=*&in_hi_groupoperator_1=and&parentid=1&in_hi_req_apps=1&cached=false&control=advancedstart&in_hi_revealed_1=0&in_hi_req_page=10&in_hi_depth_1=0&in_hi_totalgroups=1&parentname=AdvancedSearch&in_ra_topoperator=and HTTP/1.1"" 404 494 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)""
192.168.204.1 - - [20/Oct/2023:23:25:44 +0500] ""GET /DVWA/server.pt?in_ra_groupoperator_1=and&in_hi_userid=1&in_hi_req_objtype=1&space=SearchResult&in_tx_fulltext=*&in_hi_groupoperator_1=and&parentid=1&in_hi_req_apps=1&cached=false&control=advancedstart&in_hi_revealed_1=0&in_hi_req_page=10&in_hi_depth_1=0&in_hi_totalgroups=1&parentname=AdvancedSearch&in_ra_topoperator=and HTTP/1.1"" 404 494 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)""
192.168.204.1 - - [20/Oct/2023:23:25:44 +0500] ""GET /cgi-bin/server.pt?in_ra_groupoperator_1=and&in_hi_userid=1&in_hi_req_objtype=1&space=SearchResult&in_tx_fulltext=*&in_hi_groupoperator_1=and&parentid=1&in_hi_req_apps=1&cached=false&control=advancedstart&in_hi_revealed_1=0&in_hi_req_page=10&in_hi_depth_1=0&in_hi_totalgroups=1&parentname=AdvancedSearch&in_ra_topoperator=and HTTP/1.1"" 404 494 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)""
192.168.204.1 - - [20/Oct/2023:23:25:44 +0500] ""GET /scripts/server.pt?in_ra_groupoperator_1=and&in_hi_userid=1&in_hi_req_objtype=1&space=SearchResult&in_tx_fulltext=*&in_hi_groupoperator_1=and&parentid=1&in_hi_req_apps=1&cached=false&control=advancedstart&in_hi_revealed_1=0&in_hi_req_page=10&in_hi_depth_1=0&in_hi_totalgroups=1&parentname=AdvancedSearch&in_ra_topoperator=and HTTP/1.1"" 404 494 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)""
192.168.204.1 - - [20/Oct/2023:23:25:44 +0500] ""GET /portal/server.pt?in_ra_groupoperator_1=and&in_hi_userid=1&in_hi_req_objtype=1&space=SearchResult&in_tx_fulltext=*&in_hi_groupoperator_1=and&parentid=1&in_hi_req_apps=1&cached=false&control=advancedstart&in_hi_revealed_1=0&in_hi_req_page=10&in_hi_depth_1=0&in_hi_totalgroups=1&parentname=AdvancedSearch&in_ra_topoperator=and HTTP/1.1"" 404 494 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)""
192.168.204.1 - - [20/Oct/2023:23:25:44 +0500] ""GET //index.php HTTP/1.1"" 404 493 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)""
192.168.204.1 - - [20/Oct/2023:23:25:44 +0500] ""GET /plume/index.php HTTP/1.1"" 404 494 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)""",14, , , , , , , , 
wazuh-alerts-4.x-2023.10.20,RcBWTosBpjjGT_ibL8hm,1,1,192.168.40.130,machine-1,001,ubuntu,GET,192.168.204.1,404,/cgi-bin/plog-rss.php?level=collection&id=999%20OR%20plogger_id_sql_injection.nasl,6187,false,5,"[""6.5"",""11.4""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Web server 400 error code.,"[""web"",""accesslog"",""attack""]",31101,"[""SA.11"",""SI.4""]","[""IV_35.7.d""]",web-accesslog,"192.168.204.1 - - [20/Oct/2023:23:25:44 +0500] ""GET /cgi-bin/plog-rss.php?level=collection&id=999%20OR%20plogger_id_sql_injection.nasl HTTP/1.1"" 404 494 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)""",log,"Oct 20, 2023 @ 18:25:46.216",/var/log/apache2/access.log,1697826346.6012741,"Oct 20, 2023 @ 18:25:46.216", , , , , , , , , , , , , 
