_index,_id,_version,_score,_source.agent.ip,_source.agent.name,_source.agent.id,_source.manager.name,_source.data.protocol,_source.data.srcip,_source.data.id,_source.data.url,_source.rule.firedtimes,_source.rule.mail,_source.rule.level,_source.rule.pci_dss,_source.rule.tsc,_source.rule.description,_source.rule.groups,_source.rule.mitre.technique,_source.rule.mitre.id,_source.rule.mitre.tactic,_source.rule.id,_source.rule.nist_800_53,_source.rule.gdpr,_source.decoder.name,_source.full_log,_source.input.type,_source.@timestamp,_source.location,_source.id,_source.timestamp,_source.previous_output,_source.rule.frequency
wazuh-alerts-4.x-2023.10.05,MK6BAYsBxn6h-__mz4ZG,1,1,192.168.204.130,machine-1,001,ubuntu,GET,192.168.204.1,302,/DVWA/vulnerabilities/xss_r/?name=%2e%2e%5c%5cboot%2eini&user_token=66a5bdbf45fd3b4821fb265a8c764c8b,6543,false,6,"[""6.5"",""11.4"",""6.5.1""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Common web attack.,"[""web"",""accesslog"",""attack""]","[""Process Injection"",""File and Directory Discovery"",""Exploit Public-Facing Application""]","[""T1055"",""T1083"",""T1190""]","[""Defense Evasion"",""Privilege Escalation"",""Discovery"",""Initial Access""]",31104,"[""SA.11"",""SI.4""]","[""IV_35.7.d""]",web-accesslog,"192.168.204.1 - - [06/Oct/2023:01:22:33 +0500] ""GET /DVWA/vulnerabilities/xss_r/?name=%2e%2e%5c%5cboot%2eini&user_token=66a5bdbf45fd3b4821fb265a8c764c8b HTTP/1.1"" 302 342 ""http://192.168.204.130/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36""",log,"Oct 5, 2023 @ 20:22:35.398",/var/log/apache2/access.log,1696537355.8320894,"Oct 5, 2023 @ 20:22:35.398", , 
wazuh-alerts-4.x-2023.10.05,Ma6BAYsBxn6h-__mz4ZG,1,1,192.168.204.130,machine-1,001,ubuntu,GET,192.168.204.1,302,/DVWA/vulnerabilities/xss_r/?name=%2e%2e%5c%5c%2e%2e%5c%5c%2e%2e%5c%5cetc%5c%5cpasswd&user_token=66a5bdbf45fd3b4821fb265a8c764c8b,6544,false,6,"[""6.5"",""11.4"",""6.5.1""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Common web attack.,"[""web"",""accesslog"",""attack""]","[""Process Injection"",""File and Directory Discovery"",""Exploit Public-Facing Application""]","[""T1055"",""T1083"",""T1190""]","[""Defense Evasion"",""Privilege Escalation"",""Discovery"",""Initial Access""]",31104,"[""SA.11"",""SI.4""]","[""IV_35.7.d""]",web-accesslog,"192.168.204.1 - - [06/Oct/2023:01:22:33 +0500] ""GET /DVWA/vulnerabilities/xss_r/?name=%2e%2e%5c%5c%2e%2e%5c%5c%2e%2e%5c%5cetc%5c%5cpasswd&user_token=66a5bdbf45fd3b4821fb265a8c764c8b HTTP/1.1"" 302 341 ""http://192.168.204.130/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36""",log,"Oct 5, 2023 @ 20:22:35.401",/var/log/apache2/access.log,1696537355.8321584,"Oct 5, 2023 @ 20:22:35.401", , 
wazuh-alerts-4.x-2023.10.05,Mq6BAYsBxn6h-__mz4ZG,1,1,192.168.204.130,machine-1,001,ubuntu,GET,192.168.204.1,302,/DVWA/vulnerabilities/xss_r/?name=%2e%2e%5c%5c%2e%2e%5c%5cwindows%5c%5csystem32%5c%5cdrivers%5c%5cetc%5c%5chosts&user_token=66a5bdbf45fd3b4821fb265a8c764c8b,6545,false,6,"[""6.5"",""11.4"",""6.5.1""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Common web attack.,"[""web"",""accesslog"",""attack""]","[""Process Injection"",""File and Directory Discovery"",""Exploit Public-Facing Application""]","[""T1055"",""T1083"",""T1190""]","[""Defense Evasion"",""Privilege Escalation"",""Discovery"",""Initial Access""]",31104,"[""SA.11"",""SI.4""]","[""IV_35.7.d""]",web-accesslog,"192.168.204.1 - - [06/Oct/2023:01:22:33 +0500] ""GET /DVWA/vulnerabilities/xss_r/?name=%2e%2e%5c%5c%2e%2e%5c%5cwindows%5c%5csystem32%5c%5cdrivers%5c%5cetc%5c%5chosts&user_token=66a5bdbf45fd3b4821fb265a8c764c8b HTTP/1.1"" 302 342 ""http://192.168.204.130/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36""",log,"Oct 5, 2023 @ 20:22:35.403",/var/log/apache2/access.log,1696537355.8322303,"Oct 5, 2023 @ 20:22:35.403", , 
wazuh-alerts-4.x-2023.10.05,NK6BAYsBxn6h-__mz4ZG,1,1,192.168.204.130,machine-1,001,ubuntu,GET,192.168.204.1,302,/DVWA/vulnerabilities/xss_r/?name=%2e%2e%5c%5c%2e%2e%5c%5c%2e%2e%5c%5c%2e%2e%5c%5cetc%5c%5cpasswd&user_token=66a5bdbf45fd3b4821fb265a8c764c8b,6547,false,6,"[""6.5"",""11.4"",""6.5.1""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Common web attack.,"[""web"",""accesslog"",""attack""]","[""Process Injection"",""File and Directory Discovery"",""Exploit Public-Facing Application""]","[""T1055"",""T1083"",""T1190""]","[""Defense Evasion"",""Privilege Escalation"",""Discovery"",""Initial Access""]",31104,"[""SA.11"",""SI.4""]","[""IV_35.7.d""]",web-accesslog,"192.168.204.1 - - [06/Oct/2023:01:22:33 +0500] ""GET /DVWA/vulnerabilities/xss_r/?name=%2e%2e%5c%5c%2e%2e%5c%5c%2e%2e%5c%5c%2e%2e%5c%5cetc%5c%5cpasswd&user_token=66a5bdbf45fd3b4821fb265a8c764c8b HTTP/1.1"" 302 342 ""http://192.168.204.130/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36""",log,"Oct 5, 2023 @ 20:22:35.410",/var/log/apache2/access.log,1696537355.8323783,"Oct 5, 2023 @ 20:22:35.410", , 
wazuh-alerts-4.x-2023.10.05,Na6BAYsBxn6h-__mz4ZG,1,1,192.168.204.130,machine-1,001,ubuntu,GET,192.168.204.1,302,/DVWA/vulnerabilities/xss_r/?name=%2e%2e%2f%2f%2f%2e%2e%2f%2f%2f%2e%2e%2f%2f%2f%2e%2e%2f%2f%2f%2e%2e%2f%2f%2f%2e%2e%2f%2f%2fetc%2f%2f%2fpasswd&user_token=66a5bdbf45fd3b4821fb265a8c764c8b,731,false,10,"[""6.5"",""11.4""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Multiple common web attacks from same source ip.,"[""web"",""accesslog"",""attack""]","[""Process Injection"",""File and Directory Discovery""]","[""T1055"",""T1083""]","[""Defense Evasion"",""Privilege Escalation"",""Discovery""]",31153,"[""SA.11"",""SI.4""]","[""IV_35.7.d""]",web-accesslog,"192.168.204.1 - - [06/Oct/2023:01:22:33 +0500] ""GET /DVWA/vulnerabilities/xss_r/?name=%2e%2e%2f%2f%2f%2e%2e%2f%2f%2f%2e%2e%2f%2f%2f%2e%2e%2f%2f%2f%2e%2e%2f%2f%2f%2e%2e%2f%2f%2fetc%2f%2f%2fpasswd&user_token=66a5bdbf45fd3b4821fb265a8c764c8b HTTP/1.1"" 302 342 ""http://192.168.204.130/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36""",log,"Oct 5, 2023 @ 20:22:35.417",/var/log/apache2/access.log,1696537355.8324514,"Oct 5, 2023 @ 20:22:35.417","192.168.204.1 - - [06/Oct/2023:01:22:33 +0500] ""GET /DVWA/vulnerabilities/xss_r/?name=%2e%2e%5c%5c%2e%2e%5c%5c%2e%2e%5c%5c%2e%2e%5c%5cetc%5c%5cpasswd&user_token=66a5bdbf45fd3b4821fb265a8c764c8b HTTP/1.1"" 302 342 ""http://192.168.204.130/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36""
192.168.204.1 - - [06/Oct/2023:01:22:33 +0500] ""GET /DVWA/vulnerabilities/xss_r/?name=%2e%2e%5c%5cwindows%5c%5csystem32%5c%5cdrivers%5c%5cetc%5c%5chosts&user_token=66a5bdbf45fd3b4821fb265a8c764c8b HTTP/1.1"" 302 341 ""http://192.168.204.130/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36""
192.168.204.1 - - [06/Oct/2023:01:22:33 +0500] ""GET /DVWA/vulnerabilities/xss_r/?name=%2e%2e%5c%5c%2e%2e%5c%5cwindows%5c%5csystem32%5c%5cdrivers%5c%5cetc%5c%5chosts&user_token=66a5bdbf45fd3b4821fb265a8c764c8b HTTP/1.1"" 302 342 ""http://192.168.204.130/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36""
192.168.204.1 - - [06/Oct/2023:01:22:33 +0500] ""GET /DVWA/vulnerabilities/xss_r/?name=%2e%2e%5c%5c%2e%2e%5c%5c%2e%2e%5c%5cetc%5c%5cpasswd&user_token=66a5bdbf45fd3b4821fb265a8c764c8b HTTP/1.1"" 302 341 ""http://192.168.204.130/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36""
192.168.204.1 - - [06/Oct/2023:01:22:33 +0500] ""GET /DVWA/vulnerabilities/xss_r/?name=%2e%2e%5c%5cboot%2eini&user_token=66a5bdbf45fd3b4821fb265a8c764c8b HTTP/1.1"" 302 342 ""http://192.168.204.130/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36""
192.168.204.1 - - [06/Oct/2023:01:22:33 +0500] ""GET /DVWA/vulnerabilities/xss_r/?name=%2e%2e%2f%2f%2f%2e%2e%2f%2f%2f%2e%2e%2f%2f%2f%2e%2e%2f%2f%2f%2e%2e%2f%2f%2fboot%2eini&user_token=66a5bdbf45fd3b4821fb265a8c764c8b HTTP/1.1"" 302 342 ""http://192.168.204.130/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36""
192.168.204.1 - - [06/Oct/2023:01:22:33 +0500] ""GET /DVWA/vulnerabilities/xss_r/?name=%2e%2e%5c%5c%2e%2e%5c%5c%2e%2e%5c%5cwindows%5c%5csystem32%5c%5cdrivers%5c%5cetc%5c%5chosts&user_token=66a5bdbf45fd3b4821fb265a8c764c8b HTTP/1.1"" 302 342 ""http://192.168.204.130/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36""
192.168.204.1 - - [06/Oct/2023:01:22:33 +0500] ""GET /DVWA/vulnerabilities/xss_r/?name=%2e%2e%2f%2f%2f%2e%2e%2f%2f%2f%2e%2e%2f%2f%2f%2e%2e%2f%2f%2f%2e%2e%2f%2f%2fwindows%2f%2f%2fsystem32%2f%2f%2fdrivers%2f%2f%2fetc%2f%2f%2fhosts&user_token=66a5bdbf45fd3b4821fb265a8c764c8b HTTP/1.1"" 302 342 ""http://192.168.204.130/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36""
192.168.204.1 - - [06/Oct/2023:01:22:33 +0500] ""GET /DVWA/vulnerabilities/xss_r/?name=%2e%2e%5c%5cetc%5c%5cpasswd&user_token=66a5bdbf45fd3b4821fb265a8c764c8b HTTP/1.1"" 302 342 ""http://192.168.204.130/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36""",10
wazuh-alerts-4.x-2023.10.05,Nq6BAYsBxn6h-__mz4ZG,1,1,192.168.204.130,machine-1,001,ubuntu,GET,192.168.204.1,302,/DVWA/vulnerabilities/xss_r/?name=%2e%2e%5c%5c%2e%2e%5c%5c%2e%2e%5c%5cboot%2eini&user_token=66a5bdbf45fd3b4821fb265a8c764c8b,6548,false,6,"[""6.5"",""11.4"",""6.5.1""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Common web attack.,"[""web"",""accesslog"",""attack""]","[""Process Injection"",""File and Directory Discovery"",""Exploit Public-Facing Application""]","[""T1055"",""T1083"",""T1190""]","[""Defense Evasion"",""Privilege Escalation"",""Discovery"",""Initial Access""]",31104,"[""SA.11"",""SI.4""]","[""IV_35.7.d""]",web-accesslog,"192.168.204.1 - - [06/Oct/2023:01:22:33 +0500] ""GET /DVWA/vulnerabilities/xss_r/?name=%2e%2e%5c%5c%2e%2e%5c%5c%2e%2e%5c%5cboot%2eini&user_token=66a5bdbf45fd3b4821fb265a8c764c8b HTTP/1.1"" 302 342 ""http://192.168.204.130/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36""",log,"Oct 5, 2023 @ 20:22:35.418",/var/log/apache2/access.log,1696537355.8328819,"Oct 5, 2023 @ 20:22:35.418", , 
wazuh-alerts-4.x-2023.10.05,PK6BAYsBxn6h-__mz4ZG,1,1,192.168.204.130,machine-1,001,ubuntu,GET,192.168.204.1,302,/DVWA/vulnerabilities/xss_r/?name=%2e%2e%5c%5c%2e%2e%5c%5cetc%5c%5cissue&user_token=66a5bdbf45fd3b4821fb265a8c764c8b,6554,false,6,"[""6.5"",""11.4"",""6.5.1""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Common web attack.,"[""web"",""accesslog"",""attack""]","[""Process Injection"",""File and Directory Discovery"",""Exploit Public-Facing Application""]","[""T1055"",""T1083"",""T1190""]","[""Defense Evasion"",""Privilege Escalation"",""Discovery"",""Initial Access""]",31104,"[""SA.11"",""SI.4""]","[""IV_35.7.d""]",web-accesslog,"192.168.204.1 - - [06/Oct/2023:01:22:33 +0500] ""GET /DVWA/vulnerabilities/xss_r/?name=%2e%2e%5c%5c%2e%2e%5c%5cetc%5c%5cissue&user_token=66a5bdbf45fd3b4821fb265a8c764c8b HTTP/1.1"" 302 342 ""http://192.168.204.130/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36""",log,"Oct 5, 2023 @ 20:22:35.437",/var/log/apache2/access.log,1696537355.8333239,"Oct 5, 2023 @ 20:22:35.437", , 
wazuh-alerts-4.x-2023.10.05,Q66BAYsBxn6h-__mz4ZG,1,1,192.168.204.130,machine-1,001,ubuntu,GET,192.168.204.1,302,/DVWA/vulnerabilities/xss_r/?name=%2e%2e%5c%5c%5cboot%2eini&user_token=66a5bdbf45fd3b4821fb265a8c764c8b,6560,false,6,"[""6.5"",""11.4"",""6.5.1""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Common web attack.,"[""web"",""accesslog"",""attack""]","[""Process Injection"",""File and Directory Discovery"",""Exploit Public-Facing Application""]","[""T1055"",""T1083"",""T1190""]","[""Defense Evasion"",""Privilege Escalation"",""Discovery"",""Initial Access""]",31104,"[""SA.11"",""SI.4""]","[""IV_35.7.d""]",web-accesslog,"192.168.204.1 - - [06/Oct/2023:01:22:33 +0500] ""GET /DVWA/vulnerabilities/xss_r/?name=%2e%2e%5c%5c%5cboot%2eini&user_token=66a5bdbf45fd3b4821fb265a8c764c8b HTTP/1.1"" 302 342 ""http://192.168.204.130/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36""",log,"Oct 5, 2023 @ 20:22:35.458",/var/log/apache2/access.log,1696537355.8341835,"Oct 5, 2023 @ 20:22:35.458", , 
wazuh-alerts-4.x-2023.10.05,RK6BAYsBxn6h-__mz4ZG,1,1,192.168.204.130,machine-1,001,ubuntu,GET,192.168.204.1,302,/DVWA/vulnerabilities/xss_r/?name=%2e%2e%5c%5c%2e%2e%5c%5c%2e%2e%5c%5c%2e%2e%5c%5c%2e%2e%5c%5c%2e%2e%5c%5cboot%2eini&user_token=66a5bdbf45fd3b4821fb265a8c764c8b,6561,false,6,"[""6.5"",""11.4"",""6.5.1""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Common web attack.,"[""web"",""accesslog"",""attack""]","[""Process Injection"",""File and Directory Discovery"",""Exploit Public-Facing Application""]","[""T1055"",""T1083"",""T1190""]","[""Defense Evasion"",""Privilege Escalation"",""Discovery"",""Initial Access""]",31104,"[""SA.11"",""SI.4""]","[""IV_35.7.d""]",web-accesslog,"192.168.204.1 - - [06/Oct/2023:01:22:33 +0500] ""GET /DVWA/vulnerabilities/xss_r/?name=%2e%2e%5c%5c%2e%2e%5c%5c%2e%2e%5c%5c%2e%2e%5c%5c%2e%2e%5c%5c%2e%2e%5c%5cboot%2eini&user_token=66a5bdbf45fd3b4821fb265a8c764c8b HTTP/1.1"" 302 342 ""http://192.168.204.130/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36""",log,"Oct 5, 2023 @ 20:22:35.461",/var/log/apache2/access.log,1696537355.8342528,"Oct 5, 2023 @ 20:22:35.461", , 
wazuh-alerts-4.x-2023.10.05,Rq6BAYsBxn6h-__mz4ZG,1,1,192.168.204.130,machine-1,001,ubuntu,GET,192.168.204.1,302,/DVWA/vulnerabilities/xss_r/?name=%2e%2e%5c%5c%2e%2e%5c%5c%2e%2e%5c%5c%2e%2e%5c%5c%2e%2e%5c%5cwindows%5c%5csystem32%5c%5cdrivers%5c%5cetc%5c%5chosts&user_token=66a5bdbf45fd3b4821fb265a8c764c8b,6563,false,6,"[""6.5"",""11.4"",""6.5.1""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Common web attack.,"[""web"",""accesslog"",""attack""]","[""Process Injection"",""File and Directory Discovery"",""Exploit Public-Facing Application""]","[""T1055"",""T1083"",""T1190""]","[""Defense Evasion"",""Privilege Escalation"",""Discovery"",""Initial Access""]",31104,"[""SA.11"",""SI.4""]","[""IV_35.7.d""]",web-accesslog,"192.168.204.1 - - [06/Oct/2023:01:22:33 +0500] ""GET /DVWA/vulnerabilities/xss_r/?name=%2e%2e%5c%5c%2e%2e%5c%5c%2e%2e%5c%5c%2e%2e%5c%5c%2e%2e%5c%5cwindows%5c%5csystem32%5c%5cdrivers%5c%5cetc%5c%5chosts&user_token=66a5bdbf45fd3b4821fb265a8c764c8b HTTP/1.1"" 302 342 ""http://192.168.204.130/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36""",log,"Oct 5, 2023 @ 20:22:35.465",/var/log/apache2/access.log,1696537355.8344004,"Oct 5, 2023 @ 20:22:35.465", , 
