dataset,subtype,lineno,timestamp_iso,severity,event,source,component,message
hdfs,hdfs,1,2008-11-09T20:35:18+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.250.19.102:54106 dest: /10.250.19.102:50010
hdfs,hdfs,2,2008-11-09T20:35:18+00:00,INFO,blk_-1608999687919862906,dfs.FSNamesystem,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0001/job.jar. blk_-1608999687919862906
hdfs,hdfs,3,2008-11-09T20:35:19+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.250.10.6:40524 dest: /10.250.10.6:50010
hdfs,hdfs,4,2008-11-09T20:35:19+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.250.14.224:42420 dest: /10.250.14.224:50010
hdfs,hdfs,5,2008-11-09T20:35:19+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$PacketResponder,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_-1608999687919862906 terminating
hdfs,hdfs,6,2008-11-09T20:35:19+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$PacketResponder,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-1608999687919862906 terminating
hdfs,hdfs,7,2008-11-09T20:35:19+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$PacketResponder,dfs.DataNode$PacketResponder,Received block blk_-1608999687919862906 of size 91178 from /10.250.10.6
hdfs,hdfs,8,2008-11-09T20:35:19+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$PacketResponder,dfs.DataNode$PacketResponder,Received block blk_-1608999687919862906 of size 91178 from /10.250.19.102
hdfs,hdfs,9,2008-11-09T20:35:19+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$PacketResponder,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-1608999687919862906 terminating
hdfs,hdfs,10,2008-11-09T20:35:19+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$PacketResponder,dfs.DataNode$PacketResponder,Received block blk_-1608999687919862906 of size 91178 from /10.250.14.224
hdfs,hdfs,11,2008-11-09T20:35:19+00:00,INFO,blk_-1608999687919862906,dfs.FSNamesystem,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.10.6:50010 is added to blk_-1608999687919862906 size 91178
hdfs,hdfs,12,2008-11-09T20:35:19+00:00,INFO,blk_-1608999687919862906,dfs.FSNamesystem,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.209:50010 is added to blk_-1608999687919862906 size 91178
hdfs,hdfs,13,2008-11-09T20:35:19+00:00,INFO,blk_-1608999687919862906,dfs.FSNamesystem,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.14.224:50010 is added to blk_-1608999687919862906 size 91178
hdfs,hdfs,14,2008-11-09T20:35:20+00:00,INFO,blk_7503483334202473044,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,Receiving block blk_7503483334202473044 src: /10.251.215.16:55695 dest: /10.251.215.16:50010
hdfs,hdfs,15,2008-11-09T20:35:20+00:00,INFO,blk_7503483334202473044,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,Receiving block blk_7503483334202473044 src: /10.250.19.102:34232 dest: /10.250.19.102:50010
hdfs,hdfs,16,2008-11-09T20:35:20+00:00,INFO,blk_7503483334202473044,dfs.FSNamesystem,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0001/job.split. blk_7503483334202473044
hdfs,hdfs,17,2008-11-09T20:35:21+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,Received block blk_-1608999687919862906 src: /10.251.215.16:52002 dest: /10.251.215.16:50010 of size 91178
hdfs,hdfs,18,2008-11-09T20:35:21+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.251.215.16:52002 dest: /10.251.215.16:50010
hdfs,hdfs,19,2008-11-09T20:35:21+00:00,INFO,blk_7503483334202473044,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,Receiving block blk_7503483334202473044 src: /10.251.71.16:51590 dest: /10.251.71.16:50010
hdfs,hdfs,20,2008-11-09T20:35:21+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,Receiving block blk_-3544583377289625738 src: /10.250.19.102:39325 dest: /10.250.19.102:50010
hdfs,hdfs,21,2008-11-09T20:35:21+00:00,INFO,blk_7503483334202473044,dfs.DataNode$PacketResponder,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_7503483334202473044 terminating
