Timestamp,DomainName,QueryType,ResponseIP
2023-11-10 11:32:16,example12.com,MX,203.0.113.207
2023-11-05 01:07:27,example12.com,CNAME,203.0.113.202
2023-11-06 12:57:20,example15.com,A,203.0.113.5
2023-11-27 12:15:06,example19.com,AAAA,203.0.113.128
2023-11-19 10:17:32,example2.com,CNAME,203.0.113.198
2023-11-15 19:36:25,example3.com,MX,203.0.113.48
2023-11-16 12:06:33,example9.com,AAAA,203.0.113.175
2023-11-07 18:47:49,example13.com,A,203.0.113.69
2023-11-26 07:55:41,example11.com,CNAME,203.0.113.182
2023-11-10 22:27:43,example17.com,CNAME,203.0.113.213
2023-11-23 14:25:02,example19.com,AAAA,203.0.113.120
2023-11-19 00:30:23,example4.com,A,203.0.113.104
2023-11-22 23:45:32,example3.com,AAAA,203.0.113.80
2023-11-11 10:59:10,example2.com,CNAME,203.0.113.123
2023-11-07 08:54:18,example8.com,MX,203.0.113.226
2023-11-14 22:59:57,example20.com,CNAME,203.0.113.250
2023-11-26 05:09:23,example5.com,MX,203.0.113.96
2023-11-09 12:30:45,example17.com,A,203.0.113.197
2023-11-16 10:30:06,example13.com,AAAA,203.0.113.239
2023-11-09 16:35:16,example15.com,AAAA,203.0.113.19
2023-11-28 14:40:10,example17.com,AAAA,203.0.113.76
2023-11-05 22:26:18,example7.com,CNAME,203.0.113.195
2023-11-19 05:30:26,example6.com,AAAA,203.0.113.76
2023-11-08 09:11:58,example20.com,A,203.0.113.100
2023-11-08 14:37:23,example18.com,A,203.0.113.55
2023-11-03 09:11:28,example3.com,CNAME,203.0.113.115
2023-11-23 16:26:59,example8.com,MX,203.0.113.45
2023-11-21 08:15:17,example19.com,AAAA,203.0.113.208
2023-11-05 08:43:45,example10.com,A,203.0.113.112
2023-11-12 13:32:55,example8.com,MX,203.0.113.6
2023-11-24 21:07:32,example17.com,CNAME,203.0.113.211
2023-11-19 15:16:10,example13.com,AAAA,203.0.113.26
2023-11-08 03:24:52,example19.com,MX,203.0.113.213
2023-11-26 06:30:12,example13.com,A,203.0.113.127
2023-11-17 14:21:00,example18.com,A,203.0.113.227
2023-11-02 07:15:38,example14.com,CNAME,203.0.113.65
2023-11-16 03:55:47,example12.com,CNAME,203.0.113.136
2023-11-13 21:44:44,example13.com,AAAA,203.0.113.87
2023-11-24 00:06:21,example9.com,A,203.0.113.68
2023-11-05 19:59:37,example19.com,CNAME,203.0.113.34
2023-11-26 20:28:57,example3.com,A,203.0.113.36
2023-11-01 01:25:03,example16.com,AAAA,203.0.113.16
2023-11-22 22:42:12,example3.com,CNAME,203.0.113.253
2023-11-16 01:48:11,example1.com,A,203.0.113.106
2023-11-03 17:24:32,example12.com,MX,203.0.113.127
2023-11-24 11:05:24,example13.com,MX,203.0.113.116
2023-11-05 15:04:52,example20.com,AAAA,203.0.113.171
2023-11-10 20:43:52,example12.com,CNAME,203.0.113.136
2023-11-07 09:13:01,example17.com,A,203.0.113.230
2023-11-07 04:26:40,example5.com,AAAA,203.0.113.184
