end_to_end_run_id,source_id,unit_index,task_id,contract_id,agent_id,model,routed_model,route_family,status,latency_sec,parsed,normalized,routed,detected,is_anomaly,fallback,proposals,proposal_utilities_json,refusals,refusal_reasons_json,reassignments,error
multisource_cnp_20260910T095810Z,windows_event,1,bd1b4298f3174cd2b6f752fcb3ddd757,f03c8d6a4ea348618d76db0c9b9b26e4,agent-system,e2e_lightweight_candidate_rule_v1,models/isolation_forest_windows_local.joblib,windows,ok,0.094107,True,True,True,True,0,False,2,"{""agent-security"": 0.842, ""agent-system"": 0.857}",1,"{""agent-network"": ""capability_missing""}",0,
multisource_cnp_20260910T095810Z,windows_event,2,8ed9f7ab78434858a2a67b577a9c511c,86bfa9188d9644e7bf0fc054b516d462,agent-system,e2e_lightweight_candidate_rule_v1,models/isolation_forest_windows_local.joblib,windows,ok,0.063757,True,True,True,True,0,False,2,"{""agent-security"": 0.842, ""agent-system"": 0.911121}",1,"{""agent-network"": ""capability_missing""}",0,
multisource_cnp_20260910T095810Z,windows_event,3,6b8a58de137840e69cf132c55c211db7,4aaadd56e22e47cfba1ee8caec155e36,agent-system,e2e_lightweight_candidate_rule_v1,models/isolation_forest_windows_local.joblib,windows,ok,0.060601,True,True,True,True,0,False,2,"{""agent-security"": 0.842, ""agent-system"": 0.928415}",1,"{""agent-network"": ""capability_missing""}",0,
multisource_cnp_20260910T095810Z,windows_event,4,c7db274f77c1426e884bf1b4f83bb1fe,3b2a64f192764cbc8cb7cf1f27ed8915,agent-system,e2e_lightweight_candidate_rule_v1,models/isolation_forest_windows_local.joblib,windows,ok,0.067659,True,True,True,True,0,False,2,"{""agent-security"": 0.842, ""agent-system"": 0.938678}",1,"{""agent-network"": ""capability_missing""}",0,
multisource_cnp_20260910T095810Z,windows_event,5,18ada462b6ae402785cc6875003c9191,e4ee680d398948c4ad5cfd12f686057b,agent-system,e2e_lightweight_candidate_rule_v1,models/isolation_forest_windows_local.joblib,windows,ok,0.051627,True,True,True,True,0,False,2,"{""agent-security"": 0.842, ""agent-system"": 0.945396}",1,"{""agent-network"": ""capability_missing""}",0,
multisource_cnp_20260910T095810Z,windows_event,6,e593c4f32c9646649b69932003b1d494,99fb46e173f4431ea3c763cab5c6accd,agent-system,e2e_lightweight_candidate_rule_v1,models/isolation_forest_windows_local.joblib,windows,ok,0.090712,True,True,True,True,0,False,2,"{""agent-security"": 0.842, ""agent-system"": 0.950333}",1,"{""agent-network"": ""capability_missing""}",0,
multisource_cnp_20260910T095810Z,windows_event,7,3dffb8041c394b47acf5d350dc40addc,c91328965ddd4edd9626f00ff49dfc75,agent-system,e2e_lightweight_candidate_rule_v1,models/isolation_forest_windows_local.joblib,windows,ok,0.065879,True,True,True,True,0,False,2,"{""agent-security"": 0.842, ""agent-system"": 0.953736}",1,"{""agent-network"": ""capability_missing""}",0,
multisource_cnp_20260910T095810Z,windows_event,8,6360f70d1eb74a99a22846b4a09398cb,b1b054262a404ea68ca9f4606dc5c91a,agent-system,e2e_lightweight_candidate_rule_v1,models/isolation_forest_windows_local.joblib,windows,ok,0.099707,True,True,True,True,0,False,2,"{""agent-security"": 0.842, ""agent-system"": 0.956555}",1,"{""agent-network"": ""capability_missing""}",0,
multisource_cnp_20260910T095810Z,windows_event,9,b5061d29bf89452ba1c0652690024f71,561092f1bae948ea9864df56a095d0b2,agent-system,e2e_lightweight_candidate_rule_v1,models/isolation_forest_windows_local.joblib,windows,ok,0.089207,True,True,True,True,0,False,2,"{""agent-security"": 0.842, ""agent-system"": 0.958625}",1,"{""agent-network"": ""capability_missing""}",0,
multisource_cnp_20260910T095810Z,windows_event,10,4729d13fef2c4b0fa6076c3fb9116b74,f5aab2a8e2f1431da4a5803074215380,agent-system,e2e_lightweight_candidate_rule_v1,models/isolation_forest_windows_local.joblib,windows,ok,0.073028,True,True,True,True,0,False,2,"{""agent-security"": 0.842, ""agent-system"": 0.960377}",1,"{""agent-network"": ""capability_missing""}",0,
multisource_cnp_20260910T095810Z,windows_event,11,f28b2046e94e48358e7a4e049dc171d3,68ffa46707604702b7b451a0f6747b88,agent-system,e2e_lightweight_candidate_rule_v1,models/isolation_forest_windows_local.joblib,windows,ok,0.060928,True,True,True,True,0,False,2,"{""agent-security"": 0.842, ""agent-system"": 0.961904}",1,"{""agent-network"": ""capability_missing""}",0,
multisource_cnp_20260910T095810Z,windows_event,12,a99500c4cd0145808647ac9435ac4190,bf32459093bf40749d7375c27117b76f,agent-system,e2e_lightweight_candidate_rule_v1,models/isolation_forest_windows_local.joblib,windows,ok,0.064654,True,True,True,True,0,False,2,"{""agent-security"": 0.842, ""agent-system"": 0.963247}",1,"{""agent-network"": ""capability_missing""}",0,
multisource_cnp_20260910T095810Z,windows_event,13,7d0b8efb836e48c1a17b5af32cdb4e0a,4b87c1c173a249669ed375f72a96f74f,agent-system,e2e_lightweight_candidate_rule_v1,models/isolation_forest_windows_local.joblib,windows,ok,0.059276,True,True,True,True,0,False,2,"{""agent-security"": 0.842, ""agent-system"": 0.964379}",1,"{""agent-network"": ""capability_missing""}",0,
multisource_cnp_20260910T095810Z,windows_event,14,d727c2162af7423e866a7649a2b058f3,fcf8a9242eee4a77a437be60fff0a5bb,agent-system,e2e_lightweight_candidate_rule_v1,models/isolation_forest_windows_local.joblib,windows,ok,0.067388,True,True,True,True,0,False,2,"{""agent-security"": 0.842, ""agent-system"": 0.965377}",1,"{""agent-network"": ""capability_missing""}",0,
multisource_cnp_20260910T095810Z,windows_event,15,394af30721334521a2d8d295e7c1e9eb,7f6d2714a6544bb48706e0f039c22c19,agent-system,e2e_lightweight_candidate_rule_v1,models/isolation_forest_windows_local.joblib,windows,ok,0.052137,True,True,True,True,0,False,2,"{""agent-security"": 0.842, ""agent-system"": 0.966225}",1,"{""agent-network"": ""capability_missing""}",0,
multisource_cnp_20260910T095810Z,windows_event,16,51e1a0c82c69405abb02879d5a041fbe,18d8df01cadf423d9f5b10286c676a07,agent-system,e2e_lightweight_candidate_rule_v1,models/isolation_forest_windows_local.joblib,windows,ok,0.053627,True,True,True,True,0,False,2,"{""agent-security"": 0.842, ""agent-system"": 0.967017}",1,"{""agent-network"": ""capability_missing""}",0,
multisource_cnp_20260910T095810Z,windows_event,17,db509f9d2d314955b24814b88a7f3eaa,38b69d812f2044a99ba5b0b418ca8798,agent-system,e2e_lightweight_candidate_rule_v1,models/isolation_forest_windows_local.joblib,windows,ok,0.041718,True,True,True,True,0,False,2,"{""agent-security"": 0.842, ""agent-system"": 0.967718}",1,"{""agent-network"": ""capability_missing""}",0,
