experiment_id,phase,run_id,dataset,protocol,status,started_at,completed_at,command,config_path,raw_result_path,summary_path,figure_path,error_path,git_commit,notes
final_p1_csecicids2018_lr_forensic,P1,final_csecic_lr_forensic_20260910T235954Z,CSE-CIC-IDS2018,temporal_forensic_controls_train15_test16,RUNNING,2026-09-10T23:59:54.429959+00:00,,python scripts/run_final_csecicids2018_lr_forensic.py,experiments/phase_final_scientific_consolidation/configs/final_scientific_consolidation_protocol.json,,,,experiments/phase_final_scientific_consolidation/logs/final_csecic_lr_forensic_20260910T235954Z_error.txt,38f156a,
final_p1_csecicids2018_lr_forensic,P1,final_csecic_lr_forensic_20260910T235954Z,CSE-CIC-IDS2018,temporal_forensic_controls_train15_test16,FAILED,2026-09-10T23:59:54.429959+00:00,2026-09-11T00:00:53.403440+00:00,python scripts/run_final_csecicids2018_lr_forensic.py,experiments/phase_final_scientific_consolidation/configs/final_scientific_consolidation_protocol.json,,,,experiments/phase_final_scientific_consolidation/logs/final_csecic_lr_forensic_20260910T235954Z_error.txt,38f156a,TypeError: Object of type int64 is not JSON serializable
final_p1_csecicids2018_lr_forensic,P1,final_csecic_lr_forensic_20260911T000140Z,CSE-CIC-IDS2018,temporal_forensic_controls_train15_test16,RUNNING,2026-09-11T00:01:40.025092+00:00,,python scripts/run_final_csecicids2018_lr_forensic.py,experiments/phase_final_scientific_consolidation/configs/final_scientific_consolidation_protocol.json,,,,experiments/phase_final_scientific_consolidation/logs/final_csecic_lr_forensic_20260911T000140Z_error.txt,38f156a,
final_p1_csecicids2018_lr_forensic,P1,final_csecic_lr_forensic_20260911T000140Z,CSE-CIC-IDS2018,temporal_forensic_controls_train15_test16,COMPLETED,2026-09-11T00:01:40.025092+00:00,2026-09-11T00:02:46.834800+00:00,python scripts/run_final_csecicids2018_lr_forensic.py,experiments/phase_final_scientific_consolidation/configs/final_scientific_consolidation_protocol.json,experiments/phase_final_scientific_consolidation/raw/final_csecic_lr_forensic_20260911T000140Z_label_permutation.csv,experiments/phase_final_scientific_consolidation/aggregated/external_csecicids2018_lr_forensic_summary.json,experiments/phase_final_scientific_consolidation/figures/dataset_12_external_lr_coefficients.png | experiments/phase_final_scientific_consolidation/figures/dataset_13_external_single_feature_scores.png | experiments/phase_final_scientific_consolidation/figures/dataset_14_external_feature_ablation.png | experiments/phase_final_scientific_consolidation/figures/dataset_15_external_label_permutation.png,experiments/phase_final_scientific_consolidation/logs/final_csecic_lr_forensic_20260911T000140Z_error.txt,38f156a,Conclusion B; 78 mono-features; ablations 0/1/3/5/10 train-only.
final_p2_router_open_set,P2,final_router_open_set_20260911T000746Z,router_multifamily,known_family_leave_one_out_then_frozen_open_set_test,RUNNING,2026-09-11T00:07:46.325057+00:00,,python scripts/run_router_open_set_consolidation.py,experiments/phase_final_scientific_consolidation/configs/final_scientific_consolidation_protocol.json,,,,experiments/phase_final_scientific_consolidation/logs/final_router_open_set_20260911T000746Z_error.txt,38f156a,
final_p2_router_open_set,P2,final_router_open_set_20260911T000746Z,router_multifamily,known_family_leave_one_out_then_frozen_open_set_test,COMPLETED,2026-09-11T00:07:46.325057+00:00,2026-09-11T00:07:50.354875+00:00,python scripts/run_router_open_set_consolidation.py,experiments/phase_final_scientific_consolidation/configs/final_scientific_consolidation_protocol.json,experiments/phase_final_scientific_consolidation/raw/final_router_open_set_20260911T000746Z_routes.csv,experiments/phase_final_scientific_consolidation/aggregated/router_open_set_summary.json,experiments/phase_final_scientific_consolidation/figures/dataset_16_router_open_set_tradeoff.png,experiments/phase_final_scientific_consolidation/logs/final_router_open_set_20260911T000746Z_error.txt,38f156a,Thresholds validation-only; unknown rejection=1.000000.
final_p3_multisource_cnp_model_inference,P3,multisource_cnp_model_inference_20260911T001644Z,8 real local sources,CNP_condition_H_vs_M_real_artifact_inference,RUNNING,2026-09-11T00:16:44.919294+00:00,,python scripts/run_multisource_cnp_model_inference.py,experiments/phase_final_scientific_consolidation/configs/final_scientific_consolidation_protocol.json,,,,experiments/phase_final_scientific_consolidation/logs/multisource_cnp_model_inference_20260911T001644Z_error.txt,12fe0f2,
final_p3_multisource_cnp_model_inference,P3,multisource_cnp_model_inference_20260911T001644Z,8 real local sources,CNP_condition_H_vs_M_real_artifact_inference,COMPLETED,2026-09-11T00:16:44.919294+00:00,2026-09-11T00:20:53.856218+00:00,python scripts/run_multisource_cnp_model_inference.py,experiments/phase_final_scientific_consolidation/configs/final_scientific_consolidation_protocol.json,experiments/phase_final_scientific_consolidation/raw/multisource_cnp_model_inference_20260911T001644Z_unit_trace.csv,experiments/phase_final_scientific_consolidation/aggregated/multisource_cnp_model_inference_summary.json,experiments/phase_final_scientific_consolidation/figures/dataset_17_e2e_real_model_coverage.png | experiments/phase_final_scientific_consolidation/figures/dataset_18_e2e_real_model_latency.png,experiments/phase_final_scientific_consolidation/logs/multisource_cnp_model_inference_20260911T001644Z_error.txt,12fe0f2,M real inference=1400; fallback=1; errors=0.
final_p4_hdfs_block_robustness,P4,hdfs_block_robustness_20260911T002351Z,HDFS,frozen_block_mean_bootstrap_and_positive_LOO,RUNNING,2026-09-11T00:23:51.715406+00:00,,python scripts/run_hdfs_block_robustness.py,experiments/phase_final_scientific_consolidation/configs/final_scientific_consolidation_protocol.json,,,,experiments/phase_final_scientific_consolidation/logs/hdfs_block_robustness_20260911T002351Z_error.txt,12fe0f2,
final_p4_hdfs_block_robustness,P4,hdfs_block_robustness_20260911T002351Z,HDFS,frozen_block_mean_bootstrap_and_positive_LOO,COMPLETED,2026-09-11T00:23:51.715406+00:00,2026-09-11T00:24:13.518694+00:00,python scripts/run_hdfs_block_robustness.py,experiments/phase_final_scientific_consolidation/configs/final_scientific_consolidation_protocol.json,experiments/phase_final_scientific_consolidation/raw/hdfs_block_robustness_20260911T002351Z_bootstrap_replicates.csv,experiments/phase_final_scientific_consolidation/aggregated/hdfs_block_robustness_summary.json,experiments/phase_final_scientific_consolidation/figures/dataset_19_hdfs_block_bootstrap.png | experiments/phase_final_scientific_consolidation/figures/dataset_20_hdfs_positive_sensitivity.png,experiments/phase_final_scientific_consolidation/logs/hdfs_block_robustness_20260911T002351Z_error.txt,12fe0f2,bootstrap=1000 block_id; positive_LOO=29; variable.
final_p5_p6_scientific_consolidation,P5-P6,final_scientific_consolidation_20260911T003144Z,consolidated,claim_evidence_hash_and_writing_recommendations,RUNNING,2026-09-11T00:31:44.849425+00:00,,python scripts/finalize_scientific_consolidation.py,experiments/phase_final_scientific_consolidation/configs/final_scientific_consolidation_protocol.json,,,,experiments/phase_final_scientific_consolidation/logs/final_scientific_consolidation_20260911T003144Z_error.txt,12fe0f2,
final_p5_p6_scientific_consolidation,P5-P6,final_scientific_consolidation_20260911T003144Z,consolidated,claim_evidence_hash_and_writing_recommendations,COMPLETED,2026-09-11T00:31:44.849425+00:00,2026-09-11T00:31:45.078643+00:00,python scripts/finalize_scientific_consolidation.py,experiments/phase_final_scientific_consolidation/configs/final_scientific_consolidation_protocol.json,,FINAL_SCIENTIFIC_CONSOLIDATION_REPORT.md,,experiments/phase_final_scientific_consolidation/logs/final_scientific_consolidation_20260911T003144Z_error.txt,12fe0f2,claims consolidated; 37 tests pass; manuscript unchanged.
