feature,coefficient_mean,coefficient_sample_std,absolute_coefficient_mean,positive_seed_count,negative_seed_count,n,interpretation,absolute_rank
Dst Port,-8.859390490421514,0.6270716739746476,8.859390490421514,0,5,5,association discriminante dans le modèle,1
Fwd Seg Size Min,8.503858338083202,0.19461311855133667,8.503858338083202,5,0,5,association discriminante dans le modèle,2
PSH Flag Cnt,-6.426893718621136,0.28624364674322234,6.426893718621136,0,5,5,association discriminante dans le modèle,3
Fwd Header Len,4.579428584427724,0.7076539994226719,4.579428584427724,5,0,5,association discriminante dans le modèle,4
Pkt Len Var,-3.6739692401294186,0.41777818080184626,3.6739692401294186,0,5,5,association discriminante dans le modèle,5
Pkt Len Std,2.7030604295387035,0.3146192253812349,2.7030604295387035,5,0,5,association discriminante dans le modèle,6
Bwd Pkt Len Std,2.5587727409142307,0.21294687596770004,2.5587727409142307,5,0,5,association discriminante dans le modèle,7
Pkt Len Max,1.8388597882294782,0.33583873461771135,1.8388597882294782,5,0,5,association discriminante dans le modèle,8
Bwd IAT Tot,-1.7744876059589487,0.408104945764311,1.7744876059589487,0,5,5,association discriminante dans le modèle,9
Subflow Bwd Pkts,-1.530001854606627,0.13922937194823107,1.530001854606627,0,5,5,association discriminante dans le modèle,10
Tot Bwd Pkts,-1.530001854606627,0.13922937194823107,1.530001854606627,0,5,5,association discriminante dans le modèle,11
Bwd IAT Mean,1.3566322609397723,0.42410152984716426,1.3566322609397723,5,0,5,association discriminante dans le modèle,12
Fwd Pkt Len Std,1.2979475096465514,0.6200263721230822,1.2979475096465514,5,0,5,association discriminante dans le modèle,13
Bwd IAT Std,1.1671012443242634,0.1949145583935892,1.1671012443242634,5,0,5,association discriminante dans le modèle,14
Fwd IAT Tot,-0.973613309297753,0.19091266379926947,0.973613309297753,0,5,5,association discriminante dans le modèle,15
Bwd IAT Min,0.932474552573531,0.22954457739517614,0.932474552573531,5,0,5,association discriminante dans le modèle,16
Subflow Bwd Byts,-0.9204159723533426,0.11528377066071029,0.9204159723533426,0,5,5,association discriminante dans le modèle,17
TotLen Bwd Pkts,-0.9204159723533426,0.11528377066071029,0.9204159723533426,0,5,5,association discriminante dans le modèle,18
Subflow Fwd Byts,-0.8638706104624682,0.4140632180941528,0.8638706104624682,0,5,5,association discriminante dans le modèle,19
TotLen Fwd Pkts,-0.8638706104624682,0.4140632180941528,0.8638706104624682,0,5,5,association discriminante dans le modèle,20
Flow Duration,-0.8573596962306468,0.2598188897942704,0.8573596962306468,0,5,5,association discriminante dans le modèle,21
Init Fwd Win Byts,0.8330671600478368,0.06117195907850626,0.8330671600478368,5,0,5,association discriminante dans le modèle,22
Flow Byts/s,-0.8043983639919133,0.41223746194213845,0.8043983639919133,0,5,5,association discriminante dans le modèle,23
Bwd Header Len,-0.751014887913511,0.2276633948804808,0.751014887913511,0,5,5,association discriminante dans le modèle,24
Fwd Pkts/s,0.7495966587154136,0.4400176838205247,0.7495966587154136,5,0,5,association discriminante dans le modèle,25
Flow Pkts/s,0.7113576883078933,0.38715584400016395,0.7113576883078933,5,0,5,association discriminante dans le modèle,26
Bwd IAT Max,0.7026137276583314,0.14004210130570824,0.7026137276583314,5,0,5,association discriminante dans le modèle,27
Bwd Pkt Len Mean,-0.689169533773228,0.34047942633331774,0.689169533773228,0,5,5,association discriminante dans le modèle,28
Bwd Seg Size Avg,-0.689169533773228,0.34047942633331774,0.689169533773228,0,5,5,association discriminante dans le modèle,29
Fwd IAT Min,0.6555332360422751,0.1883586251023091,0.6555332360422751,5,0,5,association discriminante dans le modèle,30
Fwd Seg Size Avg,0.6538544045601471,0.34748705054926504,0.6538544045601471,5,0,5,association discriminante dans le modèle,31
Fwd Pkt Len Mean,0.6538544045601377,0.34748705054925244,0.6538544045601377,5,0,5,association discriminante dans le modèle,32
Fwd IAT Mean,0.6247620845196947,0.2548833739512495,0.6247620845196947,5,0,5,association discriminante dans le modèle,33
Bwd Pkt Len Min,-0.6219186666635099,0.20197159213211677,0.6219186666635099,0,5,5,association discriminante dans le modèle,34
Init Bwd Win Byts,-0.5709919436606422,0.18039054311810387,0.5709919436606422,0,5,5,association discriminante dans le modèle,35
Fwd Act Data Pkts,-0.2277666523155435,0.5783945499394135,0.5076922886461205,1,4,5,association discriminante dans le modèle,36
Protocol,0.4840192716620887,0.12735545792323022,0.4840192716620887,5,0,5,association discriminante dans le modèle,37
Fwd Pkt Len Max,-0.4400656672704238,0.3676906794406692,0.45365934370579303,1,4,5,association discriminante dans le modèle,38
Pkt Size Avg,0.4387014021509613,0.08916389946777813,0.4387014021509613,5,0,5,association discriminante dans le modèle,39
Active Std,0.40951107918795027,0.3793160966056108,0.40951107918795027,5,0,5,association discriminante dans le modèle,40
Fwd Pkt Len Min,0.4022177533715171,0.1494731073481576,0.4022177533715171,5,0,5,association discriminante dans le modèle,41
FIN Flag Cnt,0.40221515078518577,0.06510850275852853,0.40221515078518577,5,0,5,association discriminante dans le modèle,42
Pkt Len Min,-0.3952172695063245,0.09708991256013197,0.3952172695063245,0,5,5,association discriminante dans le modèle,43
Idle Max,0.34432861833641254,0.11107992409131329,0.34432861833641254,5,0,5,association discriminante dans le modèle,44
