feature,seeds,precision_n,precision_mean,precision_sample_std,precision_median,precision_min,precision_max,precision_ci95_low,precision_ci95_high,recall_n,recall_mean,recall_sample_std,recall_median,recall_min,recall_max,recall_ci95_low,recall_ci95_high,f1_n,f1_mean,f1_sample_std,f1_median,f1_min,f1_max,f1_ci95_low,f1_ci95_high,pr_auc_n,pr_auc_mean,pr_auc_sample_std,pr_auc_median,pr_auc_min,pr_auc_max,pr_auc_ci95_low,pr_auc_ci95_high,mcc_n,mcc_mean,mcc_sample_std,mcc_median,mcc_min,mcc_max,mcc_ci95_low,mcc_ci95_high,fpr_n,fpr_mean,fpr_sample_std,fpr_median,fpr_min,fpr_max,fpr_ci95_low,fpr_ci95_high
ACK Flag Cnt,"42,43,44,45,46",5,0.4279254386024289,0.0001040418622257163,0.4279663442275771,0.4277453337913661,0.42800732516882223,0.42783424188926344,0.4280166353155943,5,0.74762,0.0003114482300479608,0.7477,0.7471,0.7479,0.7473470035897671,0.7478929964102328,5,0.5443015710315794,0.0001663613901439361,0.5443558661861599,0.5440180586907449,0.5444420179078402,0.5441557488437196,0.5444473932194391,5,0.44611564211576604,5.5562109693798086e-05,0.44613939792823215,0.4460185388755296,0.44615667849376217,0.44606693977930056,0.4461643444522315,5,-0.3788581999818653,0.00030278907431068014,-0.37874683530624537,-0.3793930032512669,-0.3786604258871104,-0.37912360630744246,-0.3785927936562882,5,0.99946,5.477225575057139e-05,0.9995,0.9994,0.9995,0.9994119900010414,0.9995080099989586
Active Max,"42,43,44,45,46",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.4989709686331218,0.0001705952009705389,0.49894841636133325,0.4987790150944312,0.49918213815881335,0.4988214353464477,0.4991205019197959,5,-0.00624284676461473,0.003713213660120293,-0.007071244595190174,-0.010000500037503125,0.0,-0.009497622042946562,-0.002988071486282898,5,0.0001,7.071067811865475e-05,0.0001,0.0,0.0002,3.801935786069976e-05,0.00016198064213930025
Active Mean,"42,43,44,45,46",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.4989709686331218,0.0001705952009705389,0.49894841636133325,0.4987790150944312,0.49918213815881335,0.4988214353464477,0.4991205019197959,5,-0.00624284676461473,0.003713213660120293,-0.007071244595190174,-0.010000500037503125,0.0,-0.009497622042946562,-0.002988071486282898,5,0.0001,7.071067811865475e-05,0.0001,0.0,0.0002,3.801935786069976e-05,0.00016198064213930025
Active Min,"42,43,44,45,46",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.4989709686331218,0.0001705952009705389,0.49894841636133325,0.4987790150944312,0.49918213815881335,0.4988214353464477,0.4991205019197959,5,-0.00624284676461473,0.003713213660120293,-0.007071244595190174,-0.010000500037503125,0.0,-0.009497622042946562,-0.002988071486282898,5,0.0001,7.071067811865475e-05,0.0001,0.0,0.0002,3.801935786069976e-05,0.00016198064213930025
Active Std,"42,43,44,45,46",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,5,-0.0028284978380760696,0.0038730801744221452,0.0,-0.007071244595190174,0.0,-0.006223402294583416,0.0005664066184312764,5,4e-05,5.4772255750516614e-05,0.0,0.0,0.0001,-8.009998958550284e-06,8.80099989585503e-05
Bwd Blk Rate Avg,"42,43,44,45,46",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Byts/b Avg,"42,43,44,45,46",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Header Len,"42,43,44,45,46",5,0.991853514919206,0.0006263559778900873,0.9915219189412737,0.9912035599710235,0.9926141683137418,0.9913044896976932,0.9924025401407188,5,0.95686,0.0017938784797192579,0.957,0.9542,0.959,0.9552875961841818,0.9584324038158183,5,0.9740414871952521,0.0007569855340934417,0.9742155317093018,0.9730280936113802,0.9749898332655551,0.973377960119263,0.9747050142712411,5,0.974146697773584,0.0010324848690262394,0.9745592620960344,0.972637859059267,0.975280851881364,0.973241684883254,0.9750517106639139,5,0.9495930336878464,0.0013696123385064942,0.9498395148432254,0.9478100287513356,0.9513118673886066,0.9483925155414911,0.9507935518342018,5,0.00786,0.0006188699378706323,0.0082,0.0071,0.0085,0.007317536581878557,0.008402463418121444
Bwd IAT Max,"42,43,44,45,46",5,0.0963713670840586,0.010119973294437644,0.1,0.08241758241758242,0.10628019323671498,0.08750081938305534,0.10524191478506187,5,0.0018800000000000002,0.00032710854467592253,0.0019,0.0015,0.0022,0.0015932767187687754,0.0021667232812312247,5,0.00368773461283792,0.0006365895513425264,0.003729146221786065,0.0029463759575721863,0.004310767120603507,0.003129739268695271,0.004245729956980569,5,0.4834725033368975,0.0007690255362498139,0.483728102058042,0.48232124710930463,0.48432745799667287,0.48279842273370627,0.48414658394008875,5,-0.07979516198469146,0.0016379419380811039,-0.08003463744082517,-0.08202389726564413,-0.07804193672215476,-0.08123088139525632,-0.0783594425741266,5,0.01752,0.0011713240371477058,0.0171,0.0163,0.019,0.01649328921306923,0.01854671078693077
Bwd IAT Mean,"42,43,44,45,46",5,0.09657498485550707,0.010163349873566511,0.1,0.08241758241758242,0.10679611650485436,0.08766641590651489,0.10548355380449925,5,0.0018800000000000002,0.00032710854467592253,0.0019,0.0015,0.0022,0.0015932767187687754,0.0021667232812312247,5,0.0036878808629436516,0.0006366269397732576,0.003729146221786065,0.0029463759575721863,0.004311189496374682,0.0031298527463965095,0.004245908979490794,5,0.4821997504945408,0.0007866802292254892,0.4822422087943845,0.4810436248802546,0.4831423650939175,0.4815101948706523,0.4828893061184293,5,-0.07967166664293457,0.0016962668954379973,-0.08003463744082517,-0.08202389726564413,-0.07772650120418555,-0.08115851013271787,-0.07818482315315127,5,0.01748,0.0011777096416349829,0.0171,0.0162,0.019,0.016447691983950526,0.018512308016049472
Bwd IAT Min,"42,43,44,45,46",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.4794466885768025,0.0008877083267477197,0.47943915325803776,0.47816313327284293,0.48047959093073345,0.4786685779209847,0.4802247992326203,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
