min_top_score,n,known_n,unknown_n,known_accuracy,known_macro_f1,unknown_rejection_rate,false_rejection_rate_on_known,fallback_rate,coverage,selective_accuracy,overall_accuracy_with_unknown_class
0,31,28,3,1.0,1.0,0.0,0.0,0.0,1.0,0.9032258064516129,0.9032258064516129
20,31,28,3,1.0,1.0,0.3333333333333333,0.0,0.0,0.967741935483871,0.9333333333333333,0.9354838709677419
40,31,28,3,1.0,1.0,0.3333333333333333,0.0,0.0,0.967741935483871,0.9333333333333333,0.9354838709677419
60,31,28,3,1.0,1.0,0.3333333333333333,0.0,0.0,0.967741935483871,0.9333333333333333,0.9354838709677419
80,31,28,3,1.0,1.0,0.3333333333333333,0.0,0.0,0.967741935483871,0.9333333333333333,0.9354838709677419
90,31,28,3,1.0,1.0,1.0,0.0,0.0,0.9032258064516129,1.0,1.0
100,31,28,3,1.0,1.0,1.0,0.0,0.0,0.9032258064516129,1.0,1.0
110,31,28,3,0.9642857142857143,0.75,1.0,0.03571428571428571,0.0,0.8709677419354839,1.0,0.967741935483871
120,31,28,3,0.9642857142857143,0.75,1.0,0.03571428571428571,0.0,0.8709677419354839,1.0,0.967741935483871
140,31,28,3,0.9285714285714286,0.625,1.0,0.07142857142857142,0.0,0.8387096774193549,1.0,0.9354838709677419
160,31,28,3,0.8571428571428571,0.5625,1.0,0.14285714285714285,0.0,0.7741935483870968,1.0,0.8709677419354839
180,31,28,3,0.6785714285714286,0.45,1.0,0.32142857142857145,0.0,0.6129032258064516,1.0,0.7096774193548387
200,31,28,3,0.39285714285714285,0.325,1.0,0.6071428571428571,0.0,0.3548387096774194,1.0,0.45161290322580644
220,31,28,3,0.2857142857142857,0.25,1.0,0.7142857142857143,0.0,0.25806451612903225,1.0,0.3548387096774194
