category,dst_port,event,host,message,proto,severity,source,subcategory,timestamp_iso,user,end_to_end_run_id,condition,source_id,task_id,contract_id,agent_id,model,is_anomaly,anomaly_score,anomaly_rank
,,1008,andy-aaron,Service=BITS | Library=C:\Windows\System32\bitsperf.dll | Win32Error=2,,WARNING,Microsoft-Windows-Perflib,,2025-08-21T22:43:55.240263+00:00,S-1-5-21-3162627772-1273376818-3066158126-1001,multisource_cnp_model_inference_20260911T003432Z,H,windows_event,fb4c07170b9a4d84a9ea997b2485f790,b6485e9bfcc34807abb9431926d1efb8,agent-system,e2e_lightweight_candidate_rule_v1,1,0.65,1
,,1008,andy-aaron,Service=ESENT | Library=C:\WINDOWS\system32\esentprf.dll | Win32Error=5,,WARNING,Microsoft-Windows-Perflib,,2025-08-21T22:43:55.257315+00:00,S-1-5-21-3162627772-1273376818-3066158126-1001,multisource_cnp_model_inference_20260911T003432Z,H,windows_event,16477414ea23416383bb4d55f65675eb,ce58b8ce52444c9b95d1791f9b3ffe9f,agent-system,e2e_lightweight_candidate_rule_v1,1,0.65,2
,,1008,andy-aaron,Service=MSDTC | Library=C:\WINDOWS\system32\msdtcuiu.DLL | Win32Error=2147942402,,WARNING,Microsoft-Windows-Perflib,,2025-08-21T22:43:55.486652+00:00,S-1-5-21-3162627772-1273376818-3066158126-1001,multisource_cnp_model_inference_20260911T003432Z,H,windows_event,8e70eb514b694fb097394412762707b3,2f30ae63d280450cbcbf9075ed344dd1,agent-system,e2e_lightweight_candidate_rule_v1,1,0.65,3
,,1023,andy-aaron,Library=C:\WINDOWS\system32\sysmain.dll | Win32Error=126,,ERROR,Microsoft-Windows-Perflib,,2025-08-21T22:43:55.709059+00:00,S-1-5-21-3162627772-1273376818-3066158126-1001,multisource_cnp_model_inference_20260911T003432Z,H,windows_event,193defa9eced4de89fa122ad789d55ad,64c516c2c4ac460a89d5e335fbd0f1fa,agent-system,e2e_lightweight_candidate_rule_v1,1,0.65,4
,,1022,andy-aaron,Library=C:\Program Files (x86)\VMware\VMware Workstation\vmPerfmon.dll | Win32Error=193,,ERROR,Microsoft-Windows-Perflib,,2025-08-21T22:43:56.013308+00:00,S-1-5-21-3162627772-1273376818-3066158126-1001,multisource_cnp_model_inference_20260911T003432Z,H,windows_event,bf86897d8e534b7298df4527931f887c,f88463a4bbf64308bedd43ef95461d40,agent-system,e2e_lightweight_candidate_rule_v1,1,0.65,5
,,1018,andy-aaron,Service=VMware,,ERROR,Microsoft-Windows-Perflib,,2025-08-21T22:43:56.013317+00:00,S-1-5-21-3162627772-1273376818-3066158126-1001,multisource_cnp_model_inference_20260911T003432Z,H,windows_event,b7bbb91901a54c84bc5befc142c96ed3,f29be333d4794a6aa19226a91d6bf56a,agent-system,e2e_lightweight_candidate_rule_v1,1,0.65,6
,,1008,andy-aaron,Service=WmiApRpl | Library=C:\WINDOWS\system32\wbem\wmiaprpl.dll | Win32Error=21,,WARNING,Microsoft-Windows-Perflib,,2025-08-21T22:43:56.037674+00:00,S-1-5-21-3162627772-1273376818-3066158126-1001,multisource_cnp_model_inference_20260911T003432Z,H,windows_event,f90a3679276543708293e77852059d35,54a7d27724314f369a279cca1cb2bd74,agent-system,e2e_lightweight_candidate_rule_v1,1,0.65,7
,2222,,web-sgp-02,User mysql executed sudo with elevated privileges,N/A,,sudo,,2026-07-04T02:02:01.657068,mysql,multisource_cnp_model_inference_20260911T003432Z,H,linux_auth,55879700d094481ba2ec0e940a5fe02e,23231ed7f97942dea4b50b574b55188c,agent-security,e2e_lightweight_candidate_rule_v1,1,1.0,8
,49377,,backup-prk-01,Port scan detected from 163.113.118.232 on port 49377,TELNET,,login,,2024-02-07T10:13:10.598797,nginx,multisource_cnp_model_inference_20260911T003432Z,H,linux_auth,c78aa178843f4c28a53283fe82b5e4d8,ce42b41990c146fcaf3c1592deb474d2,agent-security,e2e_lightweight_candidate_rule_v1,1,1.0,9
,22,,vpn-thr-02,Login from unusual server vpn-thr-02,RDP,,cron,,2026-09-29T23:23:57.548062,nginx,multisource_cnp_model_inference_20260911T003432Z,H,linux_auth,1e161f8ee6ab43f389717dbca7f8964c,6baa2fbb8ca745d6a0887be14b6ac4f0,agent-security,e2e_lightweight_candidate_rule_v1,1,1.0,10
,80,,proxy-mow-01,Login from unusual server proxy-mow-01,TELNET,,ssh,,2023-10-02T11:33:55.236748,root,multisource_cnp_model_inference_20260911T003432Z,H,linux_auth,5ed2b10ab80040fa9ff3b78d355b32e1,f0c8c08cab8e499dbaae05f0d6fa831d,agent-security,e2e_lightweight_candidate_rule_v1,1,1.0,11
,2222,,srv-tok-03,User www-data executed sudo with elevated privileges,N/A,,sudo,,2025-07-24T20:32:39.446898,www-data,multisource_cnp_model_inference_20260911T003432Z,H,linux_auth,79950dffd2634a118fb598799a6946cf,ce50fb1d63864e3a912ff867d0e87121,agent-security,e2e_lightweight_candidate_rule_v1,1,1.0,12
,23859,,backup-prk-01,Port scan detected from 56.118.127.142 on port 23859,RDP,,login,,2024-11-03T16:09:28.112997,ubuntu,multisource_cnp_model_inference_20260911T003432Z,H,linux_auth,7e327bb7e3224a96a0dd394d4e7ae11d,17056a14dc62409390d86dba4b9cb60b,agent-security,e2e_lightweight_candidate_rule_v1,1,1.0,13
,80,,backup-prk-01,Login from unusual server backup-prk-01,SSH2,,login,,2025-06-05T20:20:38.705145,admin,multisource_cnp_model_inference_20260911T003432Z,H,linux_auth,20523e4219cd472cb8fe82fb0e2a217b,730534379f0e481286fd73b6db24b795,agent-security,e2e_lightweight_candidate_rule_v1,1,1.0,14
,22,,backup-prk-01,Login from unusual server backup-prk-01,RDP,,ssh,,2024-12-10T19:13:30.468848,ubuntu,multisource_cnp_model_inference_20260911T003432Z,H,linux_auth,b61340fd8a2c494691cb75874daabccf,01b38f10de394ad6ab85fe588b513ab5,agent-security,e2e_lightweight_candidate_rule_v1,1,1.0,15
