incident_id,start_time,end_time,host,user,source,category,subcategory,proto,dst_port,severity,priority,priority_score,event_count,min_anomaly_score,max_anomaly_rank,events,rationale,summary
INC-000001,2025-08-21T22:43:55.240263+00:00,2025-08-21T22:43:56.037674+00:00,andy-aaron,S-1-5-21-3162627772-1273376818-3066158126-1001,Microsoft-Windows-Perflib,UNKNOWN,UNKNOWN,,,ERROR,CRITICAL,86,7,0.65,7,"1008,1018,1022,1023","7 anomalie(s); categorie UNKNOWN; severite maximale ERROR; evenement(s) 1008,1018,1022,1023",7 anomalie(s) UNKNOWN sur andy-aaron via Microsoft-Windows-Perflib
INC-000013,,,machine-1,,wazuh,wazuh,wazuh,,,WARNING,HIGH,74,18,0.65,62,"202,203","18 anomalie(s); categorie WAZUH; severite maximale WARNING; evenement(s) 202,203",18 anomalie(s) wazuh sur machine-1 via wazuh
INC-000015,,,machine-2,,dpkg-decoder,package,dpkg-decoder,,,WARNING,HIGH,74,17,0.65,120,"2902,2904","17 anomalie(s); categorie PACKAGE; severite maximale WARNING; evenement(s) 2902,2904",17 anomalie(s) package sur machine-2 via dpkg-decoder
INC-000009,,,machine-1,,dpkg-decoder,package,dpkg-decoder,,,WARNING,HIGH,74,13,0.65,48,"2902,2904","13 anomalie(s); categorie PACKAGE; severite maximale WARNING; evenement(s) 2902,2904",13 anomalie(s) package sur machine-1 via dpkg-decoder
INC-000017,,,machine-2,,sca,security_configuration,sca,,,WARNING,HIGH,68,23,0.65,95,19007,23 anomalie(s); categorie SECURITY_CONFIGURATION; severite maximale WARNING; evenement(s) 19007,23 anomalie(s) security_configuration sur machine-2 via sca
INC-000018,,,machine-2,,syscheck_integrity_changed,file_integrity,syscheck_integrity_changed,,,WARNING,HIGH,68,19,0.65,139,550,19 anomalie(s); categorie FILE_INTEGRITY; severite maximale WARNING; evenement(s) 550,19 anomalie(s) file_integrity sur machine-2 via syscheck_integrity_changed
INC-000012,,,machine-1,,systemd,wazuh,systemd,,,WARNING,HIGH,68,12,0.65,96,40704,12 anomalie(s); categorie WAZUH; severite maximale WARNING; evenement(s) 40704,12 anomalie(s) wazuh sur machine-1 via systemd
INC-000022,,,ubuntu,,rootcheck,wazuh,rootcheck,,,WARNING,HIGH,66,7,0.65,34,510,7 anomalie(s); categorie WAZUH; severite maximale WARNING; evenement(s) 510,7 anomalie(s) wazuh sur ubuntu via rootcheck
INC-000010,,,machine-1,,rootcheck,wazuh,rootcheck,,,WARNING,HIGH,58,5,0.65,99,510,5 anomalie(s); categorie WAZUH; severite maximale WARNING; evenement(s) 510,5 anomalie(s) wazuh sur machine-1 via rootcheck
INC-000007,,,machine-1,,UNKNOWN,authentication,UNKNOWN,,,WARNING,HIGH,52,1,0.65,19,2501,1 anomalie(s); categorie AUTHENTICATION; severite maximale WARNING; evenement(s) 2501,1 anomalie(s) authentication sur machine-1 via UNKNOWN
INC-000008,,,machine-1,,auditd,linux_audit,auditd,,,ERROR,HIGH,52,1,0.65,97,80711,1 anomalie(s); categorie LINUX_AUDIT; severite maximale ERROR; evenement(s) 80711,1 anomalie(s) linux_audit sur machine-1 via auditd
INC-000019,,,machine-2,,syscheck_new_entry,file_integrity,syscheck_new_entry,,,WARNING,HIGH,50,3,0.65,104,554,3 anomalie(s); categorie FILE_INTEGRITY; severite maximale WARNING; evenement(s) 554,3 anomalie(s) file_integrity sur machine-2 via syscheck_new_entry
INC-000016,,,machine-2,,rootcheck,wazuh,rootcheck,,,WARNING,MEDIUM,46,2,0.65,101,510,2 anomalie(s); categorie WAZUH; severite maximale WARNING; evenement(s) 510,2 anomalie(s) wazuh sur machine-2 via rootcheck
INC-000011,,,machine-1,,syscheck_integrity_changed,file_integrity,syscheck_integrity_changed,,,WARNING,MEDIUM,42,1,0.65,20,550,1 anomalie(s); categorie FILE_INTEGRITY; severite maximale WARNING; evenement(s) 550,1 anomalie(s) file_integrity sur machine-1 via syscheck_integrity_changed
INC-000014,,,machine-1,,web-accesslog,web_attack,web-accesslog,GET,,WARNING,MEDIUM,42,1,0.65,33,31164,1 anomalie(s); categorie WEB_ATTACK; severite maximale WARNING; evenement(s) 31164; protocole GET,1 anomalie(s) web_attack sur machine-1 via web-accesslog
INC-000002,,,backup-prk-01,admin,login,UNKNOWN,UNKNOWN,SSH2,80,,LOW,4,1,1.0,14,,1 anomalie(s); categorie UNKNOWN; protocole SSH2; port destination 80,1 anomalie(s) UNKNOWN sur backup-prk-01 via login
INC-000003,,,backup-prk-01,nginx,login,UNKNOWN,UNKNOWN,TELNET,49377,,LOW,4,1,1.0,9,,1 anomalie(s); categorie UNKNOWN; protocole TELNET; port destination 49377,1 anomalie(s) UNKNOWN sur backup-prk-01 via login
INC-000004,,,backup-prk-01,ubuntu,login,UNKNOWN,UNKNOWN,RDP,23859,,LOW,4,1,1.0,13,,1 anomalie(s); categorie UNKNOWN; protocole RDP; port destination 23859,1 anomalie(s) UNKNOWN sur backup-prk-01 via login
INC-000005,,,backup-prk-01,ubuntu,ssh,UNKNOWN,UNKNOWN,RDP,22,,LOW,4,1,1.0,15,,1 anomalie(s); categorie UNKNOWN; protocole RDP; port destination 22,1 anomalie(s) UNKNOWN sur backup-prk-01 via ssh
INC-000006,,,db-ber-01,www-data,sudo,UNKNOWN,UNKNOWN,N/A,22,,LOW,4,1,1.0,16,,1 anomalie(s); categorie UNKNOWN; protocole N/A; port destination 22,1 anomalie(s) UNKNOWN sur db-ber-01 via sudo
INC-000020,,,proxy-mow-01,root,ssh,UNKNOWN,UNKNOWN,TELNET,80,,LOW,4,1,1.0,11,,1 anomalie(s); categorie UNKNOWN; protocole TELNET; port destination 80,1 anomalie(s) UNKNOWN sur proxy-mow-01 via ssh
INC-000021,,,srv-tok-03,www-data,sudo,UNKNOWN,UNKNOWN,N/A,2222,,LOW,4,1,1.0,12,,1 anomalie(s); categorie UNKNOWN; protocole N/A; port destination 2222,1 anomalie(s) UNKNOWN sur srv-tok-03 via sudo
INC-000023,,,vpn-thr-02,nginx,cron,UNKNOWN,UNKNOWN,RDP,22,,LOW,4,1,1.0,10,,1 anomalie(s); categorie UNKNOWN; protocole RDP; port destination 22,1 anomalie(s) UNKNOWN sur vpn-thr-02 via cron
INC-000024,,,web-sgp-02,mysql,sudo,UNKNOWN,UNKNOWN,N/A,2222,,LOW,4,1,1.0,8,,1 anomalie(s); categorie UNKNOWN; protocole N/A; port destination 2222,1 anomalie(s) UNKNOWN sur web-sgp-02 via sudo
