category,dst_port,event,host,message,proto,severity,source,subcategory,timestamp_iso,user,end_to_end_run_id,condition,source_id,task_id,contract_id,agent_id,model,is_anomaly,anomaly_score,anomaly_rank
,80,,web-sgp-02,User admin success login via sudo,N/A,,sudo,,2024-10-11T16:24:55.730499,admin,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,58f1f54849eb4d18ba21c25b73b5a90c,56e7fa12e3df4971bbb1931b1b8fbf2b,agent-security,models/random_forest_linux_auth.joblib,1,0.6990748713176032,1
,2222,,web-sgp-02,User mysql executed sudo with elevated privileges,N/A,,sudo,,2026-07-04T02:02:01.657068,mysql,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,ef668a11058545379bf0fe48efeb943d,ea62b43f1f9e4c32b829c8daf46e313f,agent-security,models/random_forest_linux_auth.joblib,1,0.6723989903581021,2
,49377,,backup-prk-01,Port scan detected from 163.113.118.232 on port 49377,TELNET,,login,,2024-02-07T10:13:10.598797,nginx,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,8af7af8c941a4fae8c4fb0c4797ff453,76e020e7a542440cbde9543e2bb24372,agent-security,models/random_forest_linux_auth.joblib,1,0.993605217261045,3
,22,,vpn-thr-02,Login from unusual server vpn-thr-02,RDP,,cron,,2026-09-29T23:23:57.548062,nginx,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,6189b8ab42be428a9aea6808a6bcac40,73df67fec3f24813ab4e31c0a9866a4f,agent-security,models/random_forest_linux_auth.joblib,1,0.731751165186879,4
,80,,proxy-mow-01,Login from unusual server proxy-mow-01,TELNET,,ssh,,2023-10-02T11:33:55.236748,root,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,4d3a8c662e8d48d6be045293bd7131d4,08ebedcc1bbb45268e51605cd5cdf12e,agent-security,models/random_forest_linux_auth.joblib,1,0.5593966659378431,5
,22,,srv-tok-03,User admin success login via sudo,N/A,,sudo,,2023-03-03T18:06:28.707041,admin,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,88e75256bb5546309d618970dc0b6133,b224671d2e70448ca25db99f5c017603,agent-security,models/random_forest_linux_auth.joblib,1,0.5233832054518123,6
,80,,monitor-car-01,User ec2-user success login via sudo,RDP,,sudo,,2025-11-06T01:00:43.719009,ec2-user,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,38792d002d504b1f93a3861874ab7b41,b9ab27099c6c4e6188618359c5839771,agent-security,models/random_forest_linux_auth.joblib,1,0.5439114678408855,7
,80,,web-sgp-02,User admin success login via sudo,N/A,,sudo,,2026-03-25T08:21:03.068716,admin,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,8cbadaacd4f74f75b57788df72d3a8ea,8975a65bc7aa452aaf0639293c63ebe4,agent-security,models/random_forest_linux_auth.joblib,1,0.5016719960041682,8
,80,,backup-prk-01,User nginx success login via sudo,SSH2,,sudo,,2026-02-24T21:38:18.478420,nginx,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,410c794ba18a4bf7b5f477584b29ec8e,f7bb8938c23c4e26bf73f6d346d163bb,agent-security,models/random_forest_linux_auth.joblib,1,0.7989177033421965,9
,80,,vpn-thr-02,User www-data success login via su,TELNET,,su,,2023-06-23T14:36:59.187050,www-data,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,f03ba1370bf240d7a18ff9b95c45b878,5f67de2e253d4e3a87a0d92fa477f700,agent-security,models/random_forest_linux_auth.joblib,1,0.5143094965271654,10
,2222,,srv-tok-03,User www-data executed sudo with elevated privileges,N/A,,sudo,,2025-07-24T20:32:39.446898,www-data,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,7adaa149b4f046449a2492ae8461ee72,3597bcd00207497ab34ea2eb0f5677db,agent-security,models/random_forest_linux_auth.joblib,1,0.739262818928648,11
,22,,db-ber-01,User root success login via sudo,N/A,,sudo,,2024-07-05T22:14:24.106463,root,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,719259ed289e45c6a6258770c131b072,55c2a657aa3f43ff81c27045b3d9c244,agent-security,models/random_forest_linux_auth.joblib,1,0.620585184510736,12
,2222,,vpn-thr-02,User www-data success login via sudo,RDP,,sudo,,2026-07-05T09:05:11.993476,www-data,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,cd7d8afe5ae54dc9923554b5f3abc1c0,791522cdd4a64f3a987516f0be5b92ff,agent-security,models/random_forest_linux_auth.joblib,1,0.6048983248437688,13
,22,,monitor-car-01,User root success login via su,SSH2,,su,,2026-05-01T23:00:49.745573,root,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,0002836f4ef74cef873dd4a83d1b7e24,23d56d09e099465d8fdee5bd22e60227,agent-security,models/random_forest_linux_auth.joblib,1,0.6342155462730379,14
,23859,,backup-prk-01,Port scan detected from 56.118.127.142 on port 23859,RDP,,login,,2024-11-03T16:09:28.112997,ubuntu,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,f0f7e12569054ec18735d27793395c92,8c774e521ba94826a890abf514541c82,agent-security,models/random_forest_linux_auth.joblib,1,0.9795268076306182,15
,22,,srv-nyc-01,User yangkevin success login via sudo,TELNET,,sudo,,2025-04-12T14:08:34.546938,yangkevin,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,d2fc1760373141e6876614591af93309,9d4a4a95e69344f594113d6bfb79fc91,agent-security,models/random_forest_linux_auth.joblib,1,0.658693781114044,16
,2222,,db-ber-01,User ec2-user success login via sudo,TELNET,,sudo,,2025-01-27T18:00:58.015686,ec2-user,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,b7088cc59e03494baec6fa2c926967b8,1051fe35642e4c41b98e7b45335fe127,agent-security,models/random_forest_linux_auth.joblib,1,0.8279771828955498,17
,22,,backup-prk-01,Login from unusual server backup-prk-01,RDP,,ssh,,2024-12-10T19:13:30.468848,ubuntu,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,5c6238c1fe9c4b94bcb0c1a4102babc4,f712283cbe044dd78ad245dbff899e3d,agent-security,models/random_forest_linux_auth.joblib,1,0.685899374064464,18
,80,,srv-nyc-01,User root success login via sudo,RDP,,sudo,,2024-08-29T03:15:26.138304,root,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,6aea92e0161c4f1193c4fcaa8fbcd1dc,143ab7cc12664e34a115e22b74463c74,agent-security,models/random_forest_linux_auth.joblib,1,0.5824952151310785,19
,22,,vpn-thr-02,User www-data success login via sudo,SSH2,,sudo,,2025-12-28T01:06:27.634449,www-data,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,c1ddb1728ed74c31a9a34bbb0570c959,cb58b23d8ba748b69767516a72b5a55b,agent-security,models/random_forest_linux_auth.joblib,1,0.6058912860194081,20
,80,,vpn-thr-02,User admin failed login via cron,SSH2,,cron,,2026-09-23T20:53:33.738134,admin,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,4a4501ae4077415690b54dc26cf17c6e,abf830fc43ba4ad38e06ca472a54592d,agent-security,models/random_forest_linux_auth.joblib,1,0.5841839259418026,21
,22,,srv-tok-03,User ubuntu success login via sudo,N/A,,sudo,,2026-11-03T22:11:05.703191,ubuntu,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,639d4b2c26074e7da4b82a607259bae9,7977abc43fc64dbc9336bf00fb070341,agent-security,models/random_forest_linux_auth.joblib,1,0.7070681779804711,22
,22,,vpn-thr-02,User root failed login via ssh,SSH2,,ssh,,2023-05-16T03:03:31.551709,root,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,0dcd6dda5def4fb3ad6290ab59145f66,44ae7b25f753454396c15e85238389aa,agent-security,models/random_forest_linux_auth.joblib,1,0.8891359648234907,23
,80,,vpn-thr-02,User ubuntu failed login via cron,SSH2,,cron,,2023-01-01T08:52:20.908771,ubuntu,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,09761cf4c97e457497135377041ee021,f60e355d874f454882b14893d55a54bd,agent-security,models/random_forest_linux_auth.joblib,1,0.6835465322513689,24
