incident_id,start_time,end_time,host,user,source,category,subcategory,proto,dst_port,severity,priority,priority_score,event_count,min_anomaly_score,max_anomaly_rank,events,rationale,summary
INC-000037,,,machine-2,,dpkg-decoder,package,dpkg-decoder,,,WARNING,CRITICAL,80,20,0.0116058884620408,123,"2901,2902,2904","20 anomalie(s); categorie PACKAGE; severite maximale WARNING; evenement(s) 2901,2902,2904",20 anomalie(s) package sur machine-2 via dpkg-decoder
INC-000033,,,machine-1,,dpkg-decoder,package,dpkg-decoder,,,WARNING,CRITICAL,80,18,0.0021208749478113,66,"2901,2902,2904","18 anomalie(s); categorie PACKAGE; severite maximale WARNING; evenement(s) 2901,2902,2904",18 anomalie(s) package sur machine-1 via dpkg-decoder
INC-000040,,,machine-2,,sca,security_configuration,sca,,,WARNING,HIGH,74,30,0.0013355581097239,97,"19007,19008","30 anomalie(s); categorie SECURITY_CONFIGURATION; severite maximale WARNING; evenement(s) 19007,19008",30 anomalie(s) security_configuration sur machine-2 via sca
INC-000041,,,machine-2,,syscheck_integrity_changed,file_integrity,syscheck_integrity_changed,,,WARNING,HIGH,68,19,0.0303093287577322,142,550,19 anomalie(s); categorie FILE_INTEGRITY; severite maximale WARNING; evenement(s) 550,19 anomalie(s) file_integrity sur machine-2 via syscheck_integrity_changed
INC-000044,,,ubuntu,,rootcheck,wazuh,rootcheck,,,WARNING,HIGH,66,7,0.0170746548839988,53,510,7 anomalie(s); categorie WAZUH; severite maximale WARNING; evenement(s) 510,7 anomalie(s) wazuh sur ubuntu via rootcheck
INC-000036,,,machine-1,sohaib,sudo,authentication,sudo,,,INFO,HIGH,50,3,0.0008471167464392,47,5402,3 anomalie(s); categorie AUTHENTICATION; severite maximale INFO; evenement(s) 5402,3 anomalie(s) authentication sur machine-1 via sudo
INC-000042,,,machine-2,,syscheck_new_entry,file_integrity,syscheck_new_entry,,,WARNING,HIGH,50,3,0.0337712387379669,105,554,3 anomalie(s); categorie FILE_INTEGRITY; severite maximale WARNING; evenement(s) 554,3 anomalie(s) file_integrity sur machine-2 via syscheck_new_entry
INC-000043,,,ubuntu,,ossec,wazuh,ossec,,,INFO,MEDIUM,48,5,0.0068819757213423,67,502,5 anomalie(s); categorie WAZUH; severite maximale INFO; evenement(s) 502,5 anomalie(s) wazuh sur ubuntu via ossec
INC-000039,,,machine-2,,rootcheck,wazuh,rootcheck,,,WARNING,MEDIUM,46,2,0.0112333570472911,102,510,2 anomalie(s); categorie WAZUH; severite maximale WARNING; evenement(s) 510,2 anomalie(s) wazuh sur machine-2 via rootcheck
INC-000034,,,machine-1,,pam,authentication,pam,,,INFO,MEDIUM,42,1,0.0005972307052269,41,5502,1 anomalie(s); categorie AUTHENTICATION; severite maximale INFO; evenement(s) 5502,1 anomalie(s) authentication sur machine-1 via pam
