replicate,resampling_unit,n,prevalence,precision,recall,f1,pr_auc,mcc,fpr,tp,fp,tn,fn,predicted_positive,threshold
1,block_id,2000,0.017,0.8717948717948718,1.0,0.9315068493150684,0.9102506577940688,0.9325114972849058,0.00254323499491353,34,5,1961,0,39,1.2729429339548877
2,block_id,2000,0.0155,0.775,1.0,0.8732394366197183,0.84280834914611,0.8783265865762251,0.0045708481462671405,31,9,1960,0,40,1.2729429339548877
3,block_id,2000,0.0175,0.7777777777777778,1.0,0.875,0.8398881633664242,0.879670177480097,0.005089058524173028,35,10,1955,0,45,1.2729429339548877
4,block_id,2000,0.0165,0.717391304347826,1.0,0.8354430379746836,0.8048464578899361,0.8441860161363662,0.0066090493136756485,33,13,1954,0,46,1.2729429339548877
5,block_id,2000,0.017,0.8947368421052632,1.0,0.9444444444444444,0.9261282872294704,0.9449425491884672,0.002034587995930824,34,4,1962,0,38,1.2729429339548877
6,block_id,2000,0.0115,0.7666666666666667,1.0,0.8679245283018868,0.8521739130434782,0.8740435435381205,0.0035407182599898838,23,7,1970,0,30,1.2729429339548877
7,block_id,2000,0.019,0.8085106382978723,1.0,0.8941176470588236,0.8161575558673761,0.8971075040941362,0.0045871559633027525,38,9,1953,0,47,1.2729429339548877
8,block_id,2000,0.0145,0.7631578947368421,1.0,0.8656716417910447,0.8277031135833314,0.8715923103673348,0.0045662100456621,29,9,1962,0,38,1.2729429339548877
9,block_id,2000,0.0135,0.7297297297297297,1.0,0.84375,0.7956559734337513,0.8520746154288459,0.00506842372022301,27,10,1963,0,37,1.2729429339548877
10,block_id,2000,0.0105,0.8076923076923077,1.0,0.8936170212765957,0.7516557516557518,0.8975809991401842,0.0025265285497726125,21,5,1974,0,26,1.2729429339548877
11,block_id,2000,0.0115,0.7666666666666667,1.0,0.8679245283018868,0.8233101936426744,0.8740435435381205,0.0035407182599898838,23,7,1970,0,30,1.2729429339548877
12,block_id,2000,0.016,0.8888888888888888,1.0,0.9411764705882353,0.9115758145363408,0.9418504149573725,0.0020325203252032522,32,4,1964,0,36,1.2729429339548877
13,block_id,2000,0.0115,0.7931034482758621,1.0,0.8846153846153846,0.8100235596487471,0.8892111433948315,0.0030349013657056147,23,6,1971,0,29,1.2729429339548877
14,block_id,2000,0.011,0.88,1.0,0.9361702127659575,0.9088311688311689,0.9373714943945858,0.0015166835187057635,22,3,1975,0,25,1.2729429339548877
15,block_id,2000,0.014,0.7777777777777778,1.0,0.875,0.8226802437328753,0.8801264072138905,0.004056795131845842,28,8,1964,0,36,1.2729429339548877
16,block_id,2000,0.013,0.7647058823529411,1.0,0.8666666666666667,0.7730195050047992,0.8727008481534332,0.004052684903748734,26,8,1966,0,34,1.2729429339548877
17,block_id,2000,0.0155,0.9393939393939394,1.0,0.96875,0.9455127706276213,0.968731002707062,0.001015744032503809,31,2,1967,0,33,1.2729429339548877
18,block_id,2000,0.02,0.8695652173913043,1.0,0.9302325581395349,0.9091370223978921,0.9310764109633277,0.003061224489795918,40,6,1954,0,46,1.2729429339548877
19,block_id,2000,0.0125,0.7575757575757576,1.0,0.8620689655172413,0.8204784688995215,0.868623679322207,0.004050632911392405,25,8,1967,0,33,1.2729429339548877
20,block_id,2000,0.0175,0.875,1.0,0.9333333333333333,0.9223443223443224,0.9342234940824783,0.002544529262086514,35,5,1960,0,40,1.2729429339548877
