architecture,architecture_label,ci95_high,ci95_low,ci_method,load,max,mean,median,metric,min,n,std
A,monolith,0.000217,0.000217,normal_approximation_1.96,4,0.000217,0.000217,0.000217,duration_sec,0.000217,1,0.0
A,monolith,18467.219022,18467.219022,normal_approximation_1.96,4,18467.219022,18467.219022,18467.219022,throughput_tasks_sec,18467.219022,1,0.0
A,monolith,0.0228,0.0228,normal_approximation_1.96,4,0.0228,0.0228,0.0228,latency_mean_ms,0.0228,1,0.0
A,monolith,0.01785,0.01785,normal_approximation_1.96,4,0.01785,0.01785,0.01785,latency_median_ms,0.01785,1,0.0
A,monolith,0.037175,0.037175,normal_approximation_1.96,4,0.037175,0.037175,0.037175,latency_p95_ms,0.037175,1,0.0
A,monolith,0.039755,0.039755,normal_approximation_1.96,4,0.039755,0.039755,0.039755,latency_p99_ms,0.039755,1,0.0
A,monolith,0.0,0.0,normal_approximation_1.96,4,0.0,0.0,0.0,cpu_time_sec,0.0,1,0.0
A,monolith,0.0,0.0,normal_approximation_1.96,4,0.0,0.0,0.0,cpu_core_equivalent_percent,0.0,1,0.0
A,monolith,0.0,0.0,normal_approximation_1.96,4,0.0,0.0,0.0,cpu_machine_normalized_percent,0.0,1,0.0
A,monolith,176.832031,176.832031,normal_approximation_1.96,4,176.832031,176.832031,176.832031,rss_peak_mb,176.832031,1,0.0
A,monolith,0.0,0.0,normal_approximation_1.96,4,0.0,0.0,0.0,messages_per_task,0.0,1,0.0
A,monolith,0.0,0.0,normal_approximation_1.96,4,0.0,0.0,0.0,reassignments,0.0,1,0.0
A,monolith,1.0,1.0,normal_approximation_1.96,4,1.0,1.0,1.0,jain_fairness,1.0,1,0.0
A,monolith,4.0,4.0,normal_approximation_1.96,4,4.0,4.0,4.0,successful_tasks,4.0,1,0.0
A,monolith,0.0,0.0,normal_approximation_1.96,4,0.0,0.0,0.0,failed_tasks,0.0,1,0.0
B,centralized_workers,0.004317,0.004317,normal_approximation_1.96,4,0.004317,0.004317,0.004317,duration_sec,0.004317,1,0.0
