ci95_high,ci95_low,cohen_dz,comparison,inferential_test,load,mean_difference,median_difference,metric,n_pairs,paired_unit,reason,std_difference
132.084724,-251.618775,-0.193087,D_memory_on_minus_C_memory_off,none_descriptive,100,-59.767026,-81.687301,throughput_tasks_sec,10,same_load_repetition_seed,N=10 et distribution des différences non établie pour ce microbenchmark,309.53495
3.200154,-4.229824,-0.085895,D_memory_on_minus_C_memory_off,none_descriptive,100,-0.514835,-0.8252,latency_p95_ms,10,same_load_repetition_seed,N=10 et distribution des différences non établie pour ce microbenchmark,5.993789
0.017772,-0.027889,-0.137336,D_memory_on_minus_C_memory_off,none_descriptive,100,-0.005059,0.0,jain_fairness,10,same_load_repetition_seed,N=10 et distribution des différences non établie pour ce microbenchmark,0.036835
0.546755,0.124338,0.984686,D_memory_on_minus_C_memory_off,none_descriptive,100,0.335547,0.314453,rss_peak_mb,10,same_load_repetition_seed,N=10 et distribution des différences non établie pour ce microbenchmark,0.340765
111.089247,-235.899173,-0.222941,D_memory_on_minus_C_memory_off,none_descriptive,500,-62.404963,-28.291492,throughput_tasks_sec,10,same_load_repetition_seed,N=10 et distribution des différences non établie pour ce microbenchmark,279.916768
1.786776,-5.281676,-0.306455,D_memory_on_minus_C_memory_off,none_descriptive,500,-1.74745,-3.09225,latency_p95_ms,10,same_load_repetition_seed,N=10 et distribution des différences non établie pour ce microbenchmark,5.702146
-0.016693,-0.063829,-1.058795,D_memory_on_minus_C_memory_off,none_descriptive,500,-0.040261,-0.050734,jain_fairness,10,same_load_repetition_seed,N=10 et distribution des différences non établie pour ce microbenchmark,0.038025
1.22654,-0.373415,0.330492,D_memory_on_minus_C_memory_off,none_descriptive,500,0.426563,0.064453,rss_peak_mb,10,same_load_repetition_seed,N=10 et distribution des différences non établie pour ce microbenchmark,1.29069
3.965071,-229.289717,-0.598734,D_memory_on_minus_C_memory_off,none_descriptive,1000,-112.662323,-104.92768,throughput_tasks_sec,10,same_load_repetition_seed,N=10 et distribution des différences non établie pour ce microbenchmark,188.16745
2.162232,-2.935352,-0.094002,D_memory_on_minus_C_memory_off,none_descriptive,1000,-0.38656,0.090325,latency_p95_ms,10,same_load_repetition_seed,N=10 et distribution des différences non établie pour ce microbenchmark,4.112238
0.017416,-0.02787,-0.143081,D_memory_on_minus_C_memory_off,none_descriptive,1000,-0.005227,-0.000341,jain_fairness,10,same_load_repetition_seed,N=10 et distribution des différences non établie pour ce microbenchmark,0.036532
2.883262,-0.662168,0.388288,D_memory_on_minus_C_memory_off,none_descriptive,1000,1.110547,0.322266,rss_peak_mb,10,same_load_repetition_seed,N=10 et distribution des différences non établie pour ce microbenchmark,2.860111
68.81624,-114.010619,-0.153215,D_memory_on_minus_C_memory_off,none_descriptive,5000,-22.59719,-64.947535,throughput_tasks_sec,10,same_load_repetition_seed,N=10 et distribution des différences non établie pour ce microbenchmark,147.487064
0.055614,-0.233384,-0.381259,D_memory_on_minus_C_memory_off,none_descriptive,5000,-0.088885,-0.009975,latency_p95_ms,10,same_load_repetition_seed,N=10 et distribution des différences non établie pour ce microbenchmark,0.233136
0.002043,-0.007952,-0.366441,D_memory_on_minus_C_memory_off,none_descriptive,5000,-0.002955,-0.000242,jain_fairness,10,same_load_repetition_seed,N=10 et distribution des différences non établie pour ce microbenchmark,0.008063
14.241431,-3.918775,0.352311,D_memory_on_minus_C_memory_off,none_descriptive,5000,5.161328,0.613281,rss_peak_mb,10,same_load_repetition_seed,N=10 et distribution des différences non établie pour ce microbenchmark,14.649902
