index,phase,preferred_agent,reassignments,run_id,status,utility_agent-alpha,utility_agent-beta,utility_agent-gamma,winner
0,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.845,0.845,0.845,agent-alpha
1,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.903332,0.845,0.845,agent-alpha
2,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.919998,0.845,0.845,agent-alpha
3,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.929998,0.845,0.845,agent-alpha
4,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.936663,0.845,0.845,agent-alpha
5,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.941425,0.845,0.845,agent-alpha
6,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.944997,0.845,0.845,agent-alpha
7,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.947775,0.845,0.845,agent-alpha
8,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.949997,0.845,0.845,agent-alpha
9,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.951815,0.845,0.845,agent-alpha
10,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.95333,0.845,0.845,agent-alpha
11,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.954612,0.845,0.845,agent-alpha
12,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.955711,0.845,0.845,agent-alpha
13,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.956664,0.845,0.845,agent-alpha
14,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.957497,0.845,0.845,agent-alpha
15,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.958233,0.845,0.845,agent-alpha
16,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.958886,0.845,0.845,agent-alpha
17,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.95947,0.845,0.845,agent-alpha
18,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.959997,0.845,0.845,agent-alpha
19,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.960473,0.845,0.845,agent-alpha
20,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.960906,0.845,0.845,agent-alpha
21,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.961301,0.845,0.845,agent-alpha
22,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.961664,0.845,0.845,agent-alpha
23,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.961997,0.845,0.845,agent-alpha
24,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.962305,0.845,0.845,agent-alpha
25,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.96259,0.845,0.845,agent-alpha
26,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.962854,0.845,0.845,agent-alpha
27,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.963101,0.845,0.845,agent-alpha
28,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.96333,0.845,0.845,agent-alpha
29,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.963546,0.845,0.845,agent-alpha
30,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.963747,0.845,0.845,agent-alpha
31,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.963937,0.845,0.845,agent-alpha
32,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.964115,0.845,0.845,agent-alpha
33,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.964283,0.845,0.845,agent-alpha
34,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.964442,0.845,0.845,agent-alpha
35,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.964592,0.845,0.845,agent-alpha
36,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.964734,0.845,0.845,agent-alpha
37,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.964869,0.845,0.845,agent-alpha
38,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.964997,0.845,0.845,agent-alpha
39,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.965119,0.845,0.845,agent-alpha
40,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.965235,0.845,0.845,agent-alpha
41,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.965346,0.845,0.845,agent-alpha
42,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.965452,0.845,0.845,agent-alpha
43,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.965553,0.845,0.845,agent-alpha
44,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.965649,0.845,0.845,agent-alpha
45,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.965742,0.845,0.845,agent-alpha
46,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.965831,0.845,0.845,agent-alpha
47,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.965916,0.845,0.845,agent-alpha
48,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.965997,0.845,0.845,agent-alpha
49,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.966076,0.845,0.845,agent-alpha
50,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.966151,0.845,0.845,agent-alpha
51,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.966224,0.845,0.845,agent-alpha
52,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.966293,0.845,0.845,agent-alpha
53,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.966361,0.845,0.845,agent-alpha
54,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.966426,0.845,0.845,agent-alpha
55,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.966488,0.845,0.845,agent-alpha
56,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.966549,0.845,0.845,agent-alpha
57,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.966607,0.845,0.845,agent-alpha
58,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.966664,0.845,0.845,agent-alpha
59,1,agent-alpha,0,ma_20260909T153833Z_42844,ok,0.966718,0.845,0.845,agent-alpha
60,2,agent-gamma,2,ma_20260909T153833Z_42844,ok,0.966771,0.845,0.845,agent-gamma
61,2,agent-gamma,1,ma_20260909T153833Z_42844,ok,0.963648,0.836665,0.90333,agent-gamma
62,2,agent-gamma,1,ma_20260909T153833Z_42844,ok,0.960622,0.836665,0.919997,agent-gamma
63,2,agent-gamma,1,ma_20260909T153833Z_42844,ok,0.957689,0.836665,0.929998,agent-gamma
64,2,agent-gamma,1,ma_20260909T153833Z_42844,ok,0.954846,0.836665,0.936665,agent-gamma
65,2,agent-gamma,1,ma_20260909T153833Z_42844,ok,0.952087,0.836665,0.941426,agent-gamma
66,2,agent-gamma,1,ma_20260909T153833Z_42844,ok,0.949409,0.836665,0.944998,agent-gamma
67,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.947776,agent-gamma
68,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.949998,agent-gamma
69,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.951816,agent-gamma
