run_id,architecture,load,repetition,seed,task_id,agent_id,status,latency_ms,error
ma_20260909T153833Z_42844,A,4,0,732341,paired-732341-4-0,monolith,ok,0.019600032828748226,
ma_20260909T153833Z_42844,A,4,0,732341,paired-732341-4-1,monolith,ok,0.007400056347250938,
ma_20260909T153833Z_42844,A,4,0,732341,paired-732341-4-2,monolith,ok,0.005700043402612209,
ma_20260909T153833Z_42844,A,4,0,732341,paired-732341-4-3,monolith,ok,0.005200039595365524,
ma_20260909T153833Z_42844,B,4,0,732341,paired-732341-4-0,central-worker-1,ok,0.018700025975704193,
ma_20260909T153833Z_42844,B,4,0,732341,paired-732341-4-1,central-worker-2,ok,0.022900057956576347,
ma_20260909T153833Z_42844,B,4,0,732341,paired-732341-4-2,central-worker-3,ok,0.01880002673715353,
ma_20260909T153833Z_42844,B,4,0,732341,paired-732341-4-3,central-worker-1,ok,0.02010003663599491,
ma_20260909T153833Z_42844,C,4,0,732341,paired-732341-4-0,agent-alpha,ok,0.786,
ma_20260909T153833Z_42844,C,4,0,732341,paired-732341-4-1,agent-beta,ok,0.727,
ma_20260909T153833Z_42844,C,4,0,732341,paired-732341-4-2,agent-gamma,ok,0.48500000000000004,
ma_20260909T153833Z_42844,C,4,0,732341,paired-732341-4-3,agent-gamma,ok,0.465,
ma_20260909T153833Z_42844,D,4,0,732341,paired-732341-4-0,agent-alpha,ok,0.5820000000000001,
ma_20260909T153833Z_42844,D,4,0,732341,paired-732341-4-1,agent-beta,ok,1.3760000000000001,
ma_20260909T153833Z_42844,D,4,0,732341,paired-732341-4-2,agent-gamma,ok,0.5760000000000001,
ma_20260909T153833Z_42844,D,4,0,732341,paired-732341-4-3,agent-gamma,ok,1.2349999999999999,
