task_id,task_type,winner,status,latency_ms,proposals,refusals,result_pid,result_host
multivm_cnp_20260909T201457Z_44324-task-0,parse.synthetic,debian-alpha,ok,182.054,"{""debian-alpha"": 0.86, ""ubuntu-beta"": 0.809}",{},2729,andy
multivm_cnp_20260909T201457Z_44324-task-1,route.synthetic,ubuntu-beta,ok,117.551,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.863}",{},3559,andy-VirtualBox
multivm_cnp_20260909T201457Z_44324-task-2,detect.synthetic,ubuntu-beta,ok,104.547,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.839}",{},3559,andy-VirtualBox
multivm_cnp_20260909T201457Z_44324-task-3,correlate.synthetic,ubuntu-beta,ok,105.981,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.821}",{},3559,andy-VirtualBox
multivm_cnp_20260909T201457Z_44324-task-4,parse.synthetic,debian-alpha,ok,115.532,"{""debian-alpha"": 0.91551, ""ubuntu-beta"": 0.809}",{},2729,andy
multivm_cnp_20260909T201457Z_44324-task-5,route.synthetic,ubuntu-beta,ok,92.309,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.919769}",{},3559,andy-VirtualBox
multivm_cnp_20260909T201457Z_44324-task-6,detect.synthetic,ubuntu-beta,ok,83.812,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.89589}",{},3559,andy-VirtualBox
multivm_cnp_20260909T201457Z_44324-task-7,correlate.synthetic,ubuntu-beta,ok,94.335,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.878126}",{},3559,andy-VirtualBox
multivm_cnp_20260909T201457Z_44324-task-8,parse.synthetic,debian-alpha,ok,123.233,"{""debian-alpha"": 0.932582, ""ubuntu-beta"": 0.809}",{},2729,andy
multivm_cnp_20260909T201457Z_44324-task-9,route.synthetic,ubuntu-beta,ok,125.391,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.936557}",{},3559,andy-VirtualBox
multivm_cnp_20260909T201457Z_44324-task-10,detect.synthetic,ubuntu-beta,ok,81.856,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.912733}",{},3559,andy-VirtualBox
multivm_cnp_20260909T201457Z_44324-task-11,correlate.synthetic,ubuntu-beta,ok,93.997,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.894695}",{},3559,andy-VirtualBox
multivm_cnp_20260909T201457Z_44324-task-12,parse.synthetic,debian-alpha,ok,88.236,"{""debian-alpha"": 0.942801, ""ubuntu-beta"": 0.809}",{},2729,andy
multivm_cnp_20260909T201457Z_44324-task-13,route.synthetic,ubuntu-beta,ok,88.531,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.94663}",{},3559,andy-VirtualBox
multivm_cnp_20260909T201457Z_44324-task-14,detect.synthetic,ubuntu-beta,ok,103.83,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.922769}",{},3559,andy-VirtualBox
multivm_cnp_20260909T201457Z_44324-task-15,correlate.synthetic,ubuntu-beta,ok,96.244,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.904724}",{},3559,andy-VirtualBox
multivm_cnp_20260909T201457Z_44324-task-16,parse.synthetic,debian-alpha,ok,80.463,"{""debian-alpha"": 0.94969, ""ubuntu-beta"": 0.809}",{},2729,andy
multivm_cnp_20260909T201457Z_44324-task-17,route.synthetic,ubuntu-beta,ok,84.71,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.953346}",{},3559,andy-VirtualBox
multivm_cnp_20260909T201457Z_44324-task-18,detect.synthetic,ubuntu-beta,ok,113.33,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.929382}",{},3559,andy-VirtualBox
multivm_cnp_20260909T201457Z_44324-task-19,correlate.synthetic,ubuntu-beta,ok,85.966,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.911402}",{},3559,andy-VirtualBox
multivm_cnp_20260909T201457Z_44324-task-20,parse.synthetic,debian-alpha,ok,77.007,"{""debian-alpha"": 0.954601, ""ubuntu-beta"": 0.809}",{},2729,andy
multivm_cnp_20260909T201457Z_44324-task-21,route.synthetic,ubuntu-beta,ok,104.772,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.958122}",{},3559,andy-VirtualBox
multivm_cnp_20260909T201457Z_44324-task-22,detect.synthetic,ubuntu-beta,ok,89.38,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.93389}",{},3559,andy-VirtualBox
multivm_cnp_20260909T201457Z_44324-task-23,correlate.synthetic,ubuntu-beta,ok,84.458,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.916176}",{},3559,andy-VirtualBox
multivm_cnp_20260909T201457Z_44324-task-24,parse.synthetic,debian-alpha,ok,77.181,"{""debian-alpha"": 0.958283, ""ubuntu-beta"": 0.809}",{},2729,andy
multivm_cnp_20260909T201457Z_44324-task-25,route.synthetic,ubuntu-beta,ok,75.687,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.96167}",{},3559,andy-VirtualBox
multivm_cnp_20260909T201457Z_44324-task-26,detect.synthetic,ubuntu-beta,ok,83.671,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.93748}",{},3559,andy-VirtualBox
multivm_cnp_20260909T201457Z_44324-task-27,correlate.synthetic,ubuntu-beta,ok,76.42,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.919754}",{},3559,andy-VirtualBox
multivm_cnp_20260909T201457Z_44324-task-28,parse.synthetic,debian-alpha,ok,67.718,"{""debian-alpha"": 0.961162, ""ubuntu-beta"": 0.809}",{},2729,andy
multivm_cnp_20260909T201457Z_44324-task-29,route.synthetic,ubuntu-beta,ok,71.838,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.964488}",{},3559,andy-VirtualBox
multivm_cnp_20260909T201457Z_44324-task-30,detect.synthetic,ubuntu-beta,ok,86.788,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.940323}",{},3559,andy-VirtualBox
multivm_cnp_20260909T201457Z_44324-task-31,correlate.synthetic,ubuntu-beta,ok,77.113,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.922566}",{},3559,andy-VirtualBox
multivm_cnp_20260909T201457Z_44324-task-32,parse.synthetic,debian-alpha,ok,68.213,"{""debian-alpha"": 0.963471, ""ubuntu-beta"": 0.809}",{},2729,andy
multivm_cnp_20260909T201457Z_44324-task-33,route.synthetic,ubuntu-beta,ok,88.36,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.966737}",{},3559,andy-VirtualBox
multivm_cnp_20260909T201457Z_44324-task-34,detect.synthetic,ubuntu-beta,ok,166.768,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.942598}",{},3559,andy-VirtualBox
