task_id,task_type,winner,status,latency_ms,proposals,refusals,result_pid,result_host
redis_cnp_20260909T162814Z_47940-task-0,parse.synthetic,redis-alpha,ok,101.157,"{""redis-alpha"": 0.86, ""redis-beta"": 0.809, ""redis-gamma"": 0.785}",{},45400,andy-aaron
redis_cnp_20260909T162814Z_47940-task-1,route.synthetic,redis-beta,ok,52.974,"{""redis-alpha"": 0.821, ""redis-beta"": 0.863, ""redis-gamma"": 0.803}",{},22104,andy-aaron
redis_cnp_20260909T162814Z_47940-task-2,detect.synthetic,redis-gamma,ok,59.512,"{""redis-alpha"": 0.785, ""redis-beta"": 0.839, ""redis-gamma"": 0.866}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-3,correlate.synthetic,redis-gamma,ok,45.807,"{""redis-alpha"": 0.791, ""redis-beta"": 0.821, ""redis-gamma"": 0.863}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-4,parse.synthetic,redis-alpha,ok,43.522,"{""redis-alpha"": 0.916788, ""redis-beta"": 0.809, ""redis-gamma"": 0.785}",{},45400,andy-aaron
redis_cnp_20260909T162814Z_47940-task-5,route.synthetic,redis-beta,ok,37.913,"{""redis-alpha"": 0.821, ""redis-beta"": 0.920746, ""redis-gamma"": 0.803}",{},22104,andy-aaron
redis_cnp_20260909T162814Z_47940-task-6,detect.synthetic,redis-gamma,ok,45.291,"{""redis-alpha"": 0.785, ""redis-beta"": 0.839, ""redis-gamma"": 0.923718}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-7,correlate.synthetic,redis-gamma,ok,46.198,"{""redis-alpha"": 0.791, ""redis-beta"": 0.821, ""redis-gamma"": 0.920789}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-8,parse.synthetic,redis-alpha,ok,54.977,"{""redis-alpha"": 0.933959, ""redis-beta"": 0.809, ""redis-gamma"": 0.785}",{},45400,andy-aaron
redis_cnp_20260909T162814Z_47940-task-9,route.synthetic,redis-beta,ok,44.167,"{""redis-alpha"": 0.821, ""redis-beta"": 0.937458, ""redis-gamma"": 0.803}",{},22104,andy-aaron
redis_cnp_20260909T162814Z_47940-task-10,detect.synthetic,redis-gamma,ok,50.859,"{""redis-alpha"": 0.785, ""redis-beta"": 0.839, ""redis-gamma"": 0.940392}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-11,correlate.synthetic,redis-gamma,ok,48.613,"{""redis-alpha"": 0.791, ""redis-beta"": 0.821, ""redis-gamma"": 0.937438}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-12,parse.synthetic,redis-alpha,ok,46.104,"{""redis-alpha"": 0.944069, ""redis-beta"": 0.809, ""redis-gamma"": 0.785}",{},45400,andy-aaron
redis_cnp_20260909T162814Z_47940-task-13,route.synthetic,redis-beta,ok,50.681,"{""redis-alpha"": 0.821, ""redis-beta"": 0.947468, ""redis-gamma"": 0.803}",{},22104,andy-aaron
redis_cnp_20260909T162814Z_47940-task-14,detect.synthetic,redis-gamma,ok,37.348,"{""redis-alpha"": 0.785, ""redis-beta"": 0.839, ""redis-gamma"": 0.950396}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-15,correlate.synthetic,redis-gamma,ok,34.136,"{""redis-alpha"": 0.791, ""redis-beta"": 0.821, ""redis-gamma"": 0.947436}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-16,parse.synthetic,redis-alpha,ok,39.986,"{""redis-alpha"": 0.950814, ""redis-beta"": 0.809, ""redis-gamma"": 0.785}",{},45400,andy-aaron
redis_cnp_20260909T162814Z_47940-task-17,route.synthetic,redis-beta,ok,32.382,"{""redis-alpha"": 0.821, ""redis-beta"": 0.954128, ""redis-gamma"": 0.803}",{},22104,andy-aaron
redis_cnp_20260909T162814Z_47940-task-18,detect.synthetic,redis-gamma,ok,38.835,"{""redis-alpha"": 0.785, ""redis-beta"": 0.839, ""redis-gamma"": 0.957108}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-19,correlate.synthetic,redis-gamma,ok,34.461,"{""redis-alpha"": 0.791, ""redis-beta"": 0.821, ""redis-gamma"": 0.954134}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-20,parse.synthetic,redis-alpha,ok,38.241,"{""redis-alpha"": 0.955657, ""redis-beta"": 0.809, ""redis-gamma"": 0.785}",{},45400,andy-aaron
redis_cnp_20260909T162814Z_47940-task-21,route.synthetic,redis-beta,ok,38.65,"{""redis-alpha"": 0.821, ""redis-beta"": 0.958915, ""redis-gamma"": 0.803}",{},22104,andy-aaron
redis_cnp_20260909T162814Z_47940-task-22,detect.synthetic,redis-gamma,ok,38.772,"{""redis-alpha"": 0.785, ""redis-beta"": 0.839, ""redis-gamma"": 0.961898}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-23,correlate.synthetic,redis-gamma,ok,37.69,"{""redis-alpha"": 0.791, ""redis-beta"": 0.821, ""redis-gamma"": 0.958924}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-24,parse.synthetic,redis-alpha,ok,37.908,"{""redis-alpha"": 0.959271, ""redis-beta"": 0.809, ""redis-gamma"": 0.785}",{},45400,andy-aaron
redis_cnp_20260909T162814Z_47940-task-25,route.synthetic,redis-beta,ok,38.309,"{""redis-alpha"": 0.821, ""redis-beta"": 0.962473, ""redis-gamma"": 0.803}",{},22104,andy-aaron
redis_cnp_20260909T162814Z_47940-task-26,detect.synthetic,redis-gamma,ok,32.42,"{""redis-alpha"": 0.785, ""redis-beta"": 0.839, ""redis-gamma"": 0.965478}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-27,correlate.synthetic,redis-gamma,ok,36.124,"{""redis-alpha"": 0.791, ""redis-beta"": 0.821, ""redis-gamma"": 0.962497}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-28,parse.synthetic,redis-alpha,ok,32.674,"{""redis-alpha"": 0.96208, ""redis-beta"": 0.809, ""redis-gamma"": 0.785}",{},45400,andy-aaron
redis_cnp_20260909T162814Z_47940-task-29,route.synthetic,redis-beta,ok,34.949,"{""redis-alpha"": 0.821, ""redis-beta"": 0.965261, ""redis-gamma"": 0.803}",{},22104,andy-aaron
redis_cnp_20260909T162814Z_47940-task-30,detect.synthetic,redis-gamma,ok,32.803,"{""redis-alpha"": 0.785, ""redis-beta"": 0.839, ""redis-gamma"": 0.968282}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-31,correlate.synthetic,redis-gamma,ok,33.472,"{""redis-alpha"": 0.791, ""redis-beta"": 0.821, ""redis-gamma"": 0.965294}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-32,parse.synthetic,redis-alpha,ok,42.032,"{""redis-alpha"": 0.964345, ""redis-beta"": 0.809, ""redis-gamma"": 0.785}",{},45400,andy-aaron
redis_cnp_20260909T162814Z_47940-task-33,route.synthetic,redis-beta,ok,66.701,"{""redis-alpha"": 0.821, ""redis-beta"": 0.967503, ""redis-gamma"": 0.803}",{},22104,andy-aaron
redis_cnp_20260909T162814Z_47940-task-34,detect.synthetic,redis-gamma,ok,43.076,"{""redis-alpha"": 0.785, ""redis-beta"": 0.839, ""redis-gamma"": 0.970517}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-35,correlate.synthetic,redis-gamma,ok,54.582,"{""redis-alpha"": 0.791, ""redis-beta"": 0.821, ""redis-gamma"": 0.967524}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-36,parse.synthetic,redis-alpha,ok,38.104,"{""redis-alpha"": 0.966165, ""redis-beta"": 0.809, ""redis-gamma"": 0.785}",{},45400,andy-aaron
redis_cnp_20260909T162814Z_47940-task-37,route.synthetic,redis-beta,ok,75.288,"{""redis-alpha"": 0.821, ""redis-beta"": 0.969288, ""redis-gamma"": 0.803}",{},22104,andy-aaron
