experiment_id,phase,run_id,dataset,protocol,status,started_at,completed_at,command,config_path,raw_result_path,summary_path,figure_path,error_path,git_commit,notes
dataset_strengthening_hdfs_block,1,ds_hdfs_block_20260910T081756Z,HDFS,block_level_first_occurrence_60_20_20,RUNNING,2026-09-10T08:17:56.986457+00:00,,scripts/run_hdfs_block_strengthening.py,experiments/phase_dataset_strengthening/configs/dataset_strengthening_protocol.json,,,,,60327fe,
dataset_strengthening_hdfs_block,1,ds_hdfs_block_20260910T081756Z,HDFS,block_level_first_occurrence_60_20_20,COMPLETED,2026-09-10T08:17:56.986457+00:00,2026-09-10T08:25:59.924304+00:00,scripts/run_hdfs_block_strengthening.py,experiments/phase_dataset_strengthening/configs/dataset_strengthening_protocol.json,experiments/phase_dataset_strengthening/raw/ds_hdfs_block_20260910T081756Z__hdfs_block_result.json,experiments/phase_dataset_strengthening/reports/HDFS_BLOCK_LEVEL_ANALYSIS.md,experiments/phase_dataset_strengthening/figures/dataset_01_hdfs_event_vs_block.png;experiments/phase_dataset_strengthening/figures/dataset_02_hdfs_block_aggregators.png,,60327fe,aggregator=mean; test_f1=0.892308
dataset_strengthening_bgl_known_unknown,2,ds_bgl_known_unknown_20260910T082706Z,BGL,known_unknown_template_analysis,RUNNING,2026-09-10T08:27:06.744612+00:00,,scripts/run_bgl_known_unknown_strengthening.py,experiments/phase_dataset_strengthening/configs/dataset_strengthening_protocol.json,,,,,60327fe,
dataset_strengthening_bgl_known_unknown,2,ds_bgl_known_unknown_20260910T082706Z,BGL,known_unknown_template_analysis,COMPLETED,2026-09-10T08:27:06.744612+00:00,2026-09-10T08:27:14.463266+00:00,scripts/run_bgl_known_unknown_strengthening.py,experiments/phase_dataset_strengthening/configs/dataset_strengthening_protocol.json,experiments/phase_dataset_strengthening/raw/ds_bgl_known_unknown_20260910T082706Z__bgl_known_unknown_result.json,experiments/phase_dataset_strengthening/reports/BGL_KNOWN_UNKNOWN_ANALYSIS.md,experiments/phase_dataset_strengthening/figures/dataset_03_bgl_known_unknown_f1.png;experiments/phase_dataset_strengthening/figures/dataset_04_bgl_novelty_baseline.png,,60327fe,unknown_rate=0.898081; histogram_f1=0.913698; baseline_f1=0.277885
dataset_03_cicids_temporal,3/7,cicids_temporal_20260910T083015Z,CICIDS2017,temporal_holdout_MonThu_vs_Fri,RUNNING,2026-09-10T08:30:15.265432+00:00,,python scripts/run_cicids_temporal_strengthening.py,experiments/phase_dataset_strengthening/configs/dataset_strengthening_protocol.json,,,,experiments/phase_dataset_strengthening/logs/cicids_temporal_20260910T083015Z_error.txt,fbaa317,
dataset_03_cicids_temporal,3/7,cicids_temporal_20260910T083015Z,CICIDS2017,temporal_holdout_MonThu_vs_Fri,COMPLETED,2026-09-10T08:30:15.265432+00:00,2026-09-10T09:10:24.587442+00:00,python scripts/run_cicids_temporal_strengthening.py,experiments/phase_dataset_strengthening/configs/dataset_strengthening_protocol.json,experiments/phase_dataset_strengthening/raw/cicids_temporal_20260910T083015Z_metrics.csv,experiments/phase_dataset_strengthening/aggregated/cicids_temporal_summary.csv,experiments/phase_dataset_strengthening/figures/dataset_05_cicids_protocol_comparison.png,experiments/phase_dataset_strengthening/logs/cicids_temporal_20260910T083015Z_error.txt,fbaa317,Les cinq graines partagent un pool parent figé; aucune date n'est une feature.
dataset_04_router_independent,4/7,router_independent_20260910T092757Z,multi-source router corpus,one_original_file_no_path_signal,RUNNING,2026-09-10T09:27:57.418368+00:00,,python scripts/run_router_independent_strengthening.py,experiments/phase_dataset_strengthening/configs/dataset_strengthening_protocol.json,,,,experiments/phase_dataset_strengthening/logs/router_independent_20260910T092757Z_error.txt,57ac7c0,
dataset_04_router_independent,4/7,router_independent_20260910T092757Z,multi-source router corpus,one_original_file_no_path_signal,COMPLETED,2026-09-10T09:27:57.418368+00:00,2026-09-10T09:29:07.804405+00:00,python scripts/run_router_independent_strengthening.py,experiments/phase_dataset_strengthening/configs/dataset_strengthening_protocol.json,experiments/phase_dataset_strengthening/raw/router_independent_20260910T092757Z_routes.csv,experiments/phase_dataset_strengthening/aggregated/router_independent_summary.json,experiments/phase_dataset_strengthening/figures/dataset_06_router_independent_confusion.png,experiments/phase_dataset_strengthening/logs/router_independent_20260910T092757Z_error.txt,57ac7c0,N files=23; source groups=8; confidence non calibrée
dataset_04_router_independent,4/7,router_independent_20260910T093225Z,multi-source router corpus,one_original_file_no_path_signal,RUNNING,2026-09-10T09:32:25.943822+00:00,,python scripts/run_router_independent_strengthening.py,experiments/phase_dataset_strengthening/configs/dataset_strengthening_protocol.json,,,,experiments/phase_dataset_strengthening/logs/router_independent_20260910T093225Z_error.txt,57ac7c0,
dataset_04_router_independent,4/7,router_independent_20260910T093225Z,multi-source router corpus,one_original_file_no_path_signal,COMPLETED,2026-09-10T09:32:25.943822+00:00,2026-09-10T09:34:25.045762+00:00,python scripts/run_router_independent_strengthening.py,experiments/phase_dataset_strengthening/configs/dataset_strengthening_protocol.json,experiments/phase_dataset_strengthening/raw/router_independent_20260910T093225Z_routes.csv,experiments/phase_dataset_strengthening/aggregated/router_independent_summary.json,experiments/phase_dataset_strengthening/figures/dataset_06_router_independent_confusion.png,experiments/phase_dataset_strengthening/logs/router_independent_20260910T093225Z_error.txt,57ac7c0,N files=31; source groups=9; confidence non calibrée
